speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on,language,register
Jos,e,5.151089666,13.67261036,15.17057082,30,0.085300405,0.294058928,-0.10008494800000001,-0.008499159,0.306921471,0.009386928,sp,cds
Jos,e,5.082904397,12.96669876,15.7219128,40,0.347635844,0.003373873,-0.162914105,-0.103107072,0.212428641,0.28485162,sp,cds
Jos,o,5.881086957,8.20377021,16.04478379,70,1.377962216,-0.293624037,0.490972812,-0.461587155,-0.182144081,-0.644204084,sp,cds
Jos,i,4.145374895,9.18022779,15.34169858,170,-1.12398936,-1.147252477,-0.052119522,-0.264181374,-1.171298722,-0.608083994,sp,cds
Jos,e,5.591968504,13.74479008,14.69032201,40,-0.008141689,-0.17688443,-0.163802798,-0.081770875,-0.754521993,0.25254746,sp,cds
Jos,e,5.03147594,13.20845771,16.35037037,50,0.025807924,0.161295787,-0.020597007,0,0.103230344,-0.383932686,sp,cds
Jos,o,5.542983425,8.333415301,14.41556107,80,-0.146264223,0.299109745,-1.177516005,-0.214977046,-0.067676528,2.117156417,sp,cds
Jos,e,4.814477124,13.99965412,15.68999597,30,0.123466442,0.180550497,0.04931567,-0.026338065,0.113733233,0.101461116,sp,cds
Jos,e,5.769617486,13.83680796,16.85611191,90,0.686713089,0.228040172,1.066748762,-0.096519447,-0.354567333,-0.629220766,sp,cds
Jos,e,6.322688948,8.693788487,14.78664917,130,0.037970531,-2.135579346,-0.030087306,0.157913916,5.181206791,0.931019173,sp,cds
Jos,e,5.632612967,14.3156102,15.72403375,50,-0.080811691,0.359156167,-0.22008899,-0.49002246,0.229776133,0.403802418,sp,cds
Jos,e,5.444314036,13.26994801,16.14741226,40,0.656174977,0.117002716,-0.12923727,0.16393144,0.00322031,-0.092670096,sp,cds
Jos,o,5.583820402,8.39449966,15.34397503,50,0.381878966,-0.222441517,0.131287579,0.241683685,1.134591829,0.409662794,sp,cds
Jos,e,6.774580549,7.874535902,14.80922943,90,1.338531363,-0.544281229,-0.321269195,-0.596952393,-0.48975345,-0.248141112,sp,cds
Jos,e,4.394285714,13.87206612,16.19408829,30,1.615001278,0.214597944,0.354700253,1.238327252,-0.127276039,-0.17929634,sp,cds
Jos,e,6.450716981,13.56276864,16.54896296,30,0.327065274,0.321875335,0.329770928,2.13052923,0.812473775,0.043057686,sp,cds
Jos,o,2.883918077,8.948997361,15.70916918,90,0.598255976,-1.221989763,0.270431818,0.911015599,-0.063105273,-0.107405312,sp,cds
Jos,e,7.371183879,14.21673095,16.00475557,100,-0.471061735,0.409458219,-0.121118823,0.094781033,0.112484428,0.169936735,sp,cds
Jos,e,5.32800638,15.03746684,15.77048,50,0.100730739,0.27096377,0.675580043,-0.008357397,0.031182618,1.210705631,sp,cds
Jos,e,6.636037383,13.82796209,15.22898002,30,0.55111809,-0.023561093,1.065097153,-0.192805975,-0.110142339,1.203268855,sp,cds
Jos,e,5.999181783,11.81204846,16.17274861,172.381,0.213565558,0.055984334,-0.119112257,-0.984904163,0.019889953,-1.469659819,sp,cds
Jos,e,5.01427762,11.22338109,14.81673647,388.502,0.008609604,-1.527370713,-0.081933657,0.051511641,0.628392662,-0.149465756,sp,cds
Jos,e,7.36437725,12.5384728,14.54538633,85.127,2.145539574,3.606640515,-0.47039073,-0.047783962,0.377437675,0.971074134,sp,cds
Jos,u,3.630172414,11.18011494,15.41856966,55.332,0.058729026,-0.213879392,0.063226622,-0.009767067,0.591988868,0.029107111,sp,cds
Jos,a,7.711943463,11.99687959,16.33909951,74.486,0.212358045,0.011656518,0.340375188,-0.118856692,-0.556642366,-0.535096318,sp,cds
Jos,e,6.100430108,12.00851711,15.21035601,53.204,-0.054100724,0.093634661,0.182518755,-0.023275167,-0.109360022,0.023270221,sp,cds
Jos,a,7.20646098,11.69559811,15.55818812,61.717,0.048586162,0.036521875,-0.017472906,-0.181719316,-0.180307301,-0.496719295,sp,cds
Jos,a,7.36437725,11.63462653,15.42754234,53.204,-0.020405203,-0.056922606,-0.150298803,-0.575326805,-0.16093817,-0.05858885,sp,cds
Jos,a,6.05382602,11.744011070000001,15.62989866,75.835,0.172739063,0.024166233,0.155491918,0.139170922,-0.036279506,-0.249629009,sp,cds
Jos,a,7.913135267,12.0278709,15.70065633,30,-0.215707565,0.156316195,0.275355774,-0.24064235,-0.291906325,-0.483308963,sp,cds
Jos,i,3.571443388,10.30808511,14.83421477,90,-0.414284232,-4.543554737,-0.543793531,0.611163845,3.51692556,0.615694548,sp,cds
Jos,a,9.421610523,12.27104239,14.94775933,140,1.406330718,0.535077816,0.324281066,-4.30455857,-2.484325502,-1.684256726,sp,cds
Jos,o,6.123651707,9.619378567,14.75640351,360,0.613454078,0.693275529,0.089132791,-2.062510058,1.986619758,0.799596491,sp,cds
Jos,a,6.650713485,10.64548646,13.33724138,150,0.833174544,0.376333507,-1.288822049,0.021973082,-0.519067772,0.157454484,sp,cds
Jos,i,6.435740181,12.31200425,16.83408952,30,-0.229627493,-0.521834027,0.058086626,-0.097903369,-0.432552348,-0.815288505,sp,cds
Jos,o,6.007006173,9.864004998,15.16116801,120,1.175006173,-0.535789501,0.581813743,0.398712435,0.414898777,0.173695563,sp,cds
Jos,e,6.022636854,11.38133258,15.06386339,30,0.023455071,-0.584420624,-0.03817447,0.038971457,-0.119223403,0.227512599,sp,cds
Jos,e,5.142590507,13.38488344,15.17995775,50,1.242317934,3.393662109,0.845308969,0.864415666,-0.317757461,0.09069802,sp,cds
Jos,a,7.302896352,12.29341496,15.46996091,100,1.70278616,0.08615197,0.144223994,-0.186864259,-0.184828119,-0.173991014,sp,cds
Jos,a,7.316593288,12.17704777,15.23594788,110,-0.115630529,0.083764835,-0.117123447,0.006841056,0.134956481,-0.434235339,sp,cds
Jos,a,6.982313625,11.91488245,15.08775293,290,-1.926578937,-1.296826081,-0.433115212,-0.207733075,-0.019662083,-0.211311956,sp,cds
Jos,e,8.333415301,13.53500849,16.03680312,76.614,0.766948064,1.101543403,0.894488579,-0.179527753,-0.191394506,-1.732099381,sp,cds
Jos,o,7.192604432,13.61182257,15.8497499,57.46,-0.486475214,-0.06985569,-0.543589704,-0.324351753,-0.306538614,-1.893295867,sp,cds
Jos,a,7.261686573,11.73596457,14.71328197,180,0.293557208,-0.044145803,-0.088430566,0.318099904,-0.722553765,-0.321879257,sp,cds
Jos,a,7.479427549,13.11347532,14.91344149,80,-0.040272558,-0.637292444,-1.474314536,-0.020201188,-1.159429518,-0.370676244,sp,cds
Jos,e,7.038842915,13.43845552,14.95020267,110,-1.164927295,-0.034427733,0.106024219,-0.915191208,-0.063072419,0.627638467,sp,cds
Jos,o,8.461213971,11.67938872,16.72936387,70.229,0.332371138,0.525353025,0.064661214,-0.313581121,0.168422322,0.041479419,sp,cds
Jos,e,7.479427549,13.30848679,16.8357872,117.344,1.969229921,2.384302106,2.452459153,0.749181176,0.278856202,-1.154335005,sp,cds
Jos,e,6.223664122,9.03431572,13.37855144,90,0.63984372,-2.915823358,-2.151121231,0,0.016962968,0.081834024,sp,cds
Jos,e,4.919186992,10.82482353,14.550625,90,-0.086481024,-0.085887205,-0.193129116,0.112288948,-0.240044557,-0.281505,sp,cds
Jos,e,5.336357114,10.02648933,15.34169858,100.024,-0.074858136,-2.135402127,-0.441377724,0.157408708,-0.561721329,-1.336307321,sp,cds
Jos,i,6.269489718,12.86473321,15.22200337,30,0.045825596,0.319077177,-0.241281936,0.655961479,0.199069603,-0.136634811,sp,cds
Jos,a,5.656923077,9.614094513,13.63924946,210,0.154938103,-1.18340696,-0.451560098,-0.454981641,1.44354164,0.602354207,sp,cds
Jos,e,5.600110193,10.71495261,14.31833371,80,-0.056812884,0.759152669,-0.255807521,-0.205483802,1.120957234,0.115949425,sp,cds
Jos,e,4.503124741,10.32263589,14.97944086,70,-0.125618564,0.836371912,-0.089208596,0.009021075,-1.248791755,-0.449798642,sp,cds
Jos,i,4.41250104,10.04155748,14.17225806,40,0.045595286,-1.314386856,0.078621701,-0.018215326,3.542718917,1.072966631,sp,cds
Jos,a,7.639489181,12.11622642,16.06468118,30,-0.589119545,-0.789479871,0.639380624,-0.153337535,0.240191179,0.820074763,sp,cds
Jos,a,8.569315807,13.06047799,14.61312611,120,0.824624449,-0.480709891,-1.234553064,-0.260451238,0.548289797,0.583220652,sp,cds
Jos,e,8.764133333,14.69032201,16.74323049,40,2.859317513,6.265435841,1.819962714,-0.71716595,-0.264055375,-0.142287407,sp,cds
Jos,i,6.123651707,14.97457831,16.24417112,60,-0.153455259,0.596639468,0.005753389,-0.394140561,-0.009737659,-0.038480939,sp,cds
Jos,a,8.687900904,13.68167825,16.25565815,40,0.18449089,0.641184427,0.485178146,-0.323891357,0.137425374,-0.267001663,sp,cds
Jos,a,6.861079084,13.49158433,16.32403183,50,0.050364004,-0.691822671,0.068373684,-0.144593603,-0.266888675,0.148652007,sp,cds
Jos,a,7.275443038,13.82501067,16.793161220000002,50,0.19442002,0.395976672,-0.059569314,0,0.375081288,0.233871708,sp,cds
Jos,a,6.911183192,10.85657763,12.83727808,80,0.558221493,0.631450839,-1.467425661,0.267544543,-0.164711719,0.410083035,sp,cds
Jos,i,4.014067797,13.46663741,15.61693182,40,0.34491117,2.106455691,0.138082897,-0.104267882,-0.520207565,-0.491166588,sp,cds
Jos,a,7.36437725,13.07708543,16.20762124,110,0.325534335,-1.265704214,-0.471136299,0.386849831,-4.860887421,-2.860823306,sp,cds
Jos,a,6.745576208,12.89889483,16.44330962,60,1.671225926,0.454492514,0.149550595,0.279165455,0.286761785,-0.119277792,sp,cds
Jos,a,8.497394247,12.4843581,14.55585899,90,1.332563399,-0.178746332,-1.273146577,-0.256391844,1.038273607,1.730303047,sp,cds
Jos,i,5.227275641,8.110013831,14.07098513,30,-0.084009275,1.378972165,0.237124401,-0.101703982,0.314872339,0.090103431,sp,cds
Jos,a,8.241002403,12.19972133,15.42305785,280,0.614747522,-0.505595127,-0.219776157,-0.79526763599999994,0.108569019,-0.368778851,sp,cds
Jos,a,7.764284708,12.38954269,15.31659503,223.288,0.543987283,-0.368172183,-0.195454146,-0.237889276,0.19548728,-0.164845776,sp,cds
Jos,a,7.718502296,12.14670253,14.11338736,259.083,0.484388487,1.746908028,-0.914449901,-0.178730541,-3.565456317,-0.486312954,sp,cds
Jos,a,4.858230738,7.282313811,12.89207643,219.201,-2.052952454,-5.677635492,-4.25556347,1.995669447,5.520486908,1.95956341,sp,cds
Jos,e,3.794933676,7.254800869,14.61830448,159.612,0.381600342,-1.807767938,0.044163249,-0.057876619,-0.069132264,0.046399319,sp,cds
Jos,a,2.7582453,9.135595432,13.70880383,120,-0.575204482,0.981707885,-0.541067967,3.457760809,-0.169466931,-0.718535745,sp,cds
Jos,i,4.070532544,14.62606343,15.56037536,30,-0.55821076,0.049315099,0.126113231,-0.420851235,0.087218544,0.050061191,sp,cds
Jos,e,3.957315208,14.24436097,14.52701409,60,0.085673417,5.080843056,0.238707382,0.418724809,-0.080478103,0.850994208,sp,cds
Jos,i,3.794933676,14.51648981,16.43409406,50,0.391555356,8.1032573,1.946643432,-0.145252366,-5.642120818,-1.899199112,sp,cds
Jos,a,5.125571659,8.810718085,13.54427533,150,0.550486983,-0.075174004,0.497113403,-0.461203086,-0.205659222,-0.207033948,sp,cds
Jos,i,3.766032562,9.940572139,14.58456265,30,-0.028901114,-0.497522525,0.013029676,-0.067725729,-0.432867064,-0.054920435,sp,cds
Jos,a,7.842245614,12.76119372,14.68520741,50,0.117189117,0.353316215,-0.168917396,0.038734778,-0.066405719,0.053479166,sp,cds
