speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on,language,register
HS10,o,4.979797325,8.954711507,15.78097902,233.363,-0.230595618,-0.499287853,0.443836164,-0.315428752,0,-0.095253215,sp,ads
HS10,o,5.785616225,8.729031396,15.21268745,60,0.374400974,-2.794551867,-0.743619036,-0.024007478,-0.899733643,0.147196177,sp,ads
HS10,e,3.775674518,12.33424628,16.08450136,40,-0.05767875,0.415437867,-0.303254666,-1.208490403,-0.835568366,-0.830015416,sp,ads
HS10,e,4.265923754,13.35316113,15.62773971,50,1.350797031,0.233091009,-0.03658352,-0.346604605,0.400593338,-0.104669088,sp,ads
HS10,i,3.98572762,13.15622378,14.80171254,50,-0.037770898,-0.817546716,-0.20681599,-0.133213749,0.993674654,0.578557115,sp,ads
HS10,e,4.691010682,13.5164343,15.4409736,60,1.237943784,0.624357864,-0.452072459,-0.425086928,0.073973817,-0.131244996,sp,ads
HS10,e,3.919319149,11.93840611,15.58002036,40,0.279388085,2.713777746,0.327848274,0.474966565,0.535077859,-0.123418921,sp,ads
HS10,u,3.84293766,9.073844139,15.64713881,60,-0.413759741,-0.676555358,0.078023441,-0.429604327,-0.789597563,-0.197229494,sp,ads
HS10,o,4.814477124,7.887420371,15.24058824,50,1.837182224,-0.115153542,0.716203448,0.328113383,1.490810571,0.107936832,sp,ads
HS10,a,5.386322068,10.11150769,15.1470339,55.873,0.294870455,-0.393169582,-0.276023953,-0.269270114,-0.771417428,-0.355359215,sp,ads
HS10,a,5.277761791,11.03555556,15.054279,49.147,0.033630486,-0.676216,-0.654890181,-0.084278645,-1.064556176,0.536624173,sp,ads
HS10,u,2.064516129,7.506295105,14.88386033,40,0.157243402,-1.396853043,0.152783411,0.341063153,0.212207191,-0.401704968,sp,ads
HS10,e,5.469069307,14.183407,16.20182585,80,0.233362459,0.340708773,0.482034857,0.057534169,-0.241420616,-0.187033902,sp,ads
HS10,e,5.277761791,13.95934349,15.50542547,139.79,3.069039848,1.198149771,-1.077656283,0.058595324,1.068493766,-0.218647224,sp,ads
HS10,a,6.014824528,12.36379237,15.72615385,70,0.512839553,-0.285182984,0.034024086,0.147411307,0.217667481,-0.229572685,sp,ads
HS10,i,3.620405347,13.80134885,15.2056902,80,0.438251501,1.894324778,0.284877403,0.212947921,0.387624921,0.156462303,sp,ads
HS10,e,5.551163708,13.97953184,15.7641705,40.356,-0.17030734,0.4167632,-0.008410981,-0.148239592,0.201089855,0.03356339,sp,ads
HS10,a,4.366905755,10.99564863,15.63852572,50,0.315162946,-0.444588588,0.047622546,0.324104927,0.643058528,-0.075964022,sp,ads
HS10,e,5.394626391,13.32128237,15.38026965,190,0.10008965,0.972247373,0.070541052,-0.46675967,-0.247515089,-0.027198329,sp,ads
HS10,u,3.423279687,7.92596577,14.95020267,100,0.738968955,0.534391363,-0.803435147,1.86287293,3.284461531,1.8154754,sp,ads
HS10,a,6.200672526,12.2223221,16.19795856,80,1.403746933,0.015059109,0.113457199,0.235067655,-0.144376151,-0.151181537,sp,ads
HS10,u,4.00462908,12.16568359,15.45214094,39.849,-0.261294674,0.235110131,0.067351394,-0.132987289,-1.072851219,-0.578175239,sp,ads
HS10,a,6.904041298,11.83193841,15.16116801,130,1.443217209,-0.80287852,-0.34646627,0.092435766,-0.007949415,0.121008636,sp,ads
HS10,o,4.875682281,8.209986245,14.71582746,38.865,-0.008715113,0.271207885,-0.412304963,0.164382392,0.852582562,1.368673893,sp,ads
HS10,o,5.640722702,12.13148088,15.94208932,40,1.029836104,0.189161647,-0.140433485,-1.101558449,-1.774996035,-0.878225924,sp,ads
HS10,a,6.322688948,12.70882231,16.09043242,60,0.886639761,0.095298257,0.045648628,0.364619031,-0.173943946,-0.203549511,sp,ads
HS10,i,4.430686071,14.91344149,15.98260631,50,-0.242570508,0.71890607,0.151522596,-0.829840149,0.104749682,-0.620453806,sp,ads
HS10,a,4.219714526,8.839707932,13.5842764,30,-0.119742677,-0.874213884,-1.054695692,0.533206408,1.085607972,3.007744254,sp,ads
HS10,e,5.713424658,14.11901875,15.67075308,107.967,0.435662867,-0.182955268,-0.209959369,0.056192829,-0.350352079,1.05513783,sp,ads
HS10,i,3.890737111,15.01819117,15.878654,91.67,1.915824993,0.541335824,0.203618681,0.047596222,0.026487042,0.484833452,sp,ads
