speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on,language,register
s01,ah,6.337836812,12.73680412,14.79418579,44.751,0.827639184,-0.445588698,15.14507414,0.349471167,0.613176191,-0.357232896,en,ads
s01,ih,4.682137279,13.60876778,15.79982449,53.756,0.233296398,0.498592345,16.15168755,-0.508826383,-0.098536921,-0.016748183,en,ads
s01,ah,5.436049187,11.30490738,13.41959863,75.941,-0.984691554,0.452858056,13.80197545,-0.26798169,0.811319034,0.548405119,en,ads
s01,iy,5.673098039,13.83975379,14.04824953,80.687,0.220525705,1.972150935,14.41689467,-0.064852563,0.949408688,2.404258414,en,ads
s01,eh,5.534796684,12.5132722,15.69852598,101.028,1.040700498,-1.043337966,16.04436469,-0.554999359,-1.62507068,-0.101103736,en,ads
s01,ah,5.567504927,13.19869554,16.11015289,82.721,0.13145574,-0.016262189,16.46060174,-0.390958742,-0.916457931,-1.186885117,en,ads
s01,ih,5.344701195,13.9708878,15.94615536,135.737,-0.456888828,-0.063108942,16.28555507,-0.47774113,-0.930393969,-0.213646326,en,ads
s01,ah,4.191895755,12.46985545,14.2305618,67.804,0.093238093,1.690622415,14.61392374,-0.009288522,0.039809117,-0.402599712,en,ads
s01,iy,3.688598452,14.24987179,15.04467821,102.384,0.15647724,-0.478666345,15.37471548,0.230720697,-0.610622336,-0.326306375,en,ads
s01,uh,3.343465735,12.81661286,16.15912173,50,0.120771571,-0.078873638,16.51388285,-0.553675838,0.190439424,-0.094440544,en,ads
s01,ah,5.697312965,12.97007092,16.14154737,82.043,1.321272948,-0.110330987,16.4938123,-1.149157465,-0.174186909,0.017574359,en,ads
s01,ah,4.752920934,13.1068739,14.99400344,106.453,-0.278555006,0.106530209,15.34734903,0.992651555,0.072253496,1.278836023,en,ads
s01,ah,5.2103929430000004,11.11474747,16.28806237,46.785,-0.757430791,-0.528038041,16.65974613,-0.953695542,0.160226826,-0.063094899,en,ads
s01,ah,5.713424658,12.06642142,16.29186086,43.395,0.427272041,-0.278919336,16.65405121,0.563682309,-0.139767503,-0.154227201,en,ads
s01,ae,7.254800869,13.08702988,14.89867013,33.224,2.206154404,-0.069193899,15.24991168,0.529035808,-0.157538007,0.063733486,en,ads
s01,ih,3.766032562,13.98816374,15.5625617,58.312,0.283255989,0.406955429,15.90806856,-1.393038932,0.181303877,0.573113979,en,ads
s01,eh,4.311939799,14.23332416,15.80191426,131.541,-0.71094046,1.054196764,16.15284668,0.563742482,-0.047133139,0.417277778,en,ads
s01,ae,6.636037383,13.35951807,15.80400319,161.374,-0.381645901,0.073484442,16.15349284,0.296539936,0.11024302,-0.03772868,en,ads
s01,ah,6.208342246,12.30829035,15.2798744,208.16,3.387092246,1.879753395,15.66798188,-1.63325757,-1.357228505,-0.999783053,en,ads
s01,iy,3.775674518,14.26087832,16.00073552,59.784,0.33252806,0.133422257,16.33887502,0.095967273,-0.046917352,-0.068825323,en,ads
s01,ah,5.201941436,13.44786325,16.19408829,49.498,0.825901419,4.10231378,16.59686116,-1.838470001,-0.252425001,-0.274419522,en,ads
