,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,learned_cats
0,HS10,e,250,2373,2886,60.0,-4.0,-133.0,-142.0,54.0,82.0,161.0,sp,ads,6
1,HS10,e,447,2252,3067,50.252,-36.0,131.0,214.0,-38.0,23.0,5.0,sp,ads,6
2,HS10,e,430,2051,3104,182.645,-9.0,88.0,-104.0,227.0,240.0,261.0,sp,ads,5
3,HS10,e,289,2193,2938,54.117,57.0,-171.0,-43.0,69.0,-217.0,104.0,sp,ads,5
4,HS10,e,269,2740,3309,24.159,-10.0,37.0,-95.0,0.9,-22.0,58.0,sp,ads,0
5,HS10,e,401,2127,2991,94.705,14.0,244.0,-17.0,37.0,214.0,48.0,sp,ads,5
6,HS10,i,367,2013,2888,60.766,-6.0,-25.0,-41.0,46.0,87.0,-146.0,sp,ads,5
7,HS10,u,248,1598,2995,50.0,-32.0,-139.0,-221.0,49.0,-224.0,-457.0,sp,ads,5
8,HS10,i,203,2611,2968,100.0,8.0,-76.0,-43.0,0.6,254.0,80.0,sp,ads,0
9,HS10,e,579,1835,2902,140.0,-61.0,-70.0,-31.0,87.0,-0.1,0.3,sp,ads,2
10,HS10,a,679,1697,3169,150.0,27.0,-35.0,-308.0,144.0,56.0,356.0,sp,ads,6
11,HS10,e,288,1837,2914,50.0,258.0,-53.0,-30.0,-163.0,41.0,-115.0,sp,ads,5
12,HS10,a,579,1678,3353,90.0,18.0,-21.0,-39.0,103.0,56.0,-228.0,sp,ads,6
13,HS10,e,261,918,2861,30.0,14.0,858.0,399.0,-23.0,-1330.0,-291.0,sp,ads,4
14,HS10,o,455,939,2295,70.0,9.0,93.0,300.0,4.0,-10.0,-68.0,sp,ads,4
15,HS10,o,498,1371,3013,60.0,-56.0,-246.0,-30.0,129.0,-255.0,206.0,sp,ads,4
16,HS10,e,492,1697,2846,40.0,-46.0,-30.0,73.0,-32.0,-36.0,-29.0,sp,ads,6
17,HS10,a,433,1798,3199,152.739,203.0,-70.0,-313.0,173.0,167.0,250.0,sp,ads,6
18,HS10,o,351,1608,2514,38.471,7.0,206.0,-227.0,38.0,104.0,-124.0,sp,ads,5
19,HS10,e,405,1700,2128,30.0,-17.0,-167.0,159.0,-2.0,19.0,-73.0,sp,ads,6
20,HS10,o,552,1557,2731,144.434,-106.0,173.0,-475.0,120.0,246.0,-227.0,sp,ads,6
21,HS10,e,500,2193,3721,247.542,-7.0,51.0,-1103.0,39.0,48.0,578.0,sp,ads,6
22,HS10,a,806,1704,2960,250.0,-201.0,-142.0,6.0,191.0,1026.0,271.0,sp,ads,2
23,HS10,o,484,996,2570,58.504,-17.0,-24.0,-200.0,63.0,18.0,153.0,sp,ads,7
24,HS10,a,528,1608,2991,70.0,-32.0,64.0,48.0,87.0,45.0,-24.0,sp,ads,5
25,HS10,e,436,1835,2873,53.297,34.0,61.0,-30.0,53.0,132.0,-66.0,sp,ads,6
26,HS10,e,551,2290,2956,19.058,-4.0,84.0,30.0,7.0,117.0,24.0,sp,ads,3
27,HS10,e,515,2227,3207,50.0,0.8,-113.0,427.0,256.0,757.0,574.0,sp,ads,3
28,HS10,e,447,2005,2186,40.0,-17.0,194.0,243.0,-36.0,260.0,-789.0,sp,ads,6
29,HS10,e,369,960,2031,117.895,-4.0,-188.0,448.0,158.0,-144.0,-448.0,sp,ads,4
30,HS10,e,617,2386,3007,70.0,1.0,-117.0,-165.0,144.0,-31.0,87.0,sp,ads,3
31,HS10,o,488,1170,2609,70.0,-64.0,-186.0,-532.0,-15.0,-361.0,736.0,sp,ads,4
32,HS10,a,781,1691,3053,190.0,-13.0,53.0,-104.0,66.0,-114.0,6.0,sp,ads,2
33,HS10,a,794,1623,2769,110.0,-118.0,-339.0,-87.0,14.0,-136.0,-102.0,sp,ads,2
34,HS10,a,713,1759,2714,200.0,-116.0,-48.0,101.0,72.0,26.0,124.0,sp,ads,2
35,HS10,e,500,2127,2827,71.752,-90.0,33.0,-47.0,-7.0,129.0,700.0,sp,ads,6
36,HS10,a,585,1765,2808,73.644,20.0,-5.0,-56.0,42.0,9.0,-100.0,sp,ads,6
37,HS10,u,480,1983,2787,52.268,-57.0,143.0,-22.0,-84.0,153.0,-40.0,sp,ads,6
38,HS10,a,608,1752,2822,74.46,67.0,-82.0,-63.0,171.0,114.0,-116.0,sp,ads,6
39,HS10,e,533,2145,2909,227.135,22.0,34.0,-8.0,90.0,374.0,28.0,sp,ads,6
40,HS10,e,571,1566,2576,50.0,-45.0,444.0,321.0,-30.0,210.0,598.0,sp,ads,6
41,HS10,a,842,1785,2672,68.889,-63.0,73.0,8.0,12.0,171.0,2.0,sp,ads,2
42,HS10,a,698,1201,2423,80.0,-133.0,159.0,-552.0,313.0,-563.0,-933.0,sp,ads,4
43,HS10,e,406,1351,2825,30.0,29.0,100.0,21.0,16.0,52.0,-56.0,sp,ads,4
44,HS10,u,385,1174,3045,40.0,-47.0,-196.0,-439.0,-24.0,-168.0,303.0,sp,ads,4
45,HS10,a,493,1179,2778,39.903,-11.0,98.0,-336.0,55.0,66.0,78.0,sp,ads,4
46,HS10,a,541,1228,2127,47.094,22.0,76.0,201.0,94.0,-74.0,-101.0,sp,ads,4
47,HS10,a,492,1298,2747,40.0,31.0,121.0,-761.0,46.0,-132.0,-187.0,sp,ads,4
48,HS10,u,214,1047,2772,35.989,1.0,-48.0,244.0,-2.0,-14.0,174.0,sp,ads,4
49,HS10,e,551,2502,3118,100.0,-118.0,6.0,48.0,12.0,-99.0,-25.0,sp,ads,3
50,HS10,e,452,2341,3101,110.0,2.0,-117.0,-43.0,22.0,304.0,122.0,sp,ads,0
51,HS10,e,605,2032,3272,35.463,6.0,99.0,-70.0,59.0,38.0,-105.0,sp,ads,6
52,HS10,e,596,1849,3447,46.039,-21.0,110.0,44.0,26.0,0.3,184.0,sp,ads,6
53,HS10,u,282,869,2739,70.842,-27.0,-141.0,-115.0,15.0,73.0,14.0,sp,ads,4
54,HS10,o,507,1073,3045,233.363,-36.0,0.8,-45.0,-27.0,-91.0,203.0,sp,ads,4
55,HS10,o,604,1034,2788,60.0,-2.0,-146.0,63.0,46.0,-567.0,-342.0,sp,ads,4
56,HS10,a,675,1612,1655,65.773,-2.0,14.0,1441.0,84.0,-62.0,-1590.0,sp,ads,2
57,HS10,e,375,1808,3194,40.0,-119.0,-213.0,-388.0,-6.0,109.0,-158.0,sp,ads,5
58,HS10,e,427,2105,2973,50.0,-36.0,130.0,-48.0,138.0,72.0,-17.0,sp,ads,0
59,HS10,i,397,2044,2618,50.0,-14.0,328.0,243.0,-4.0,-266.0,-84.0,sp,ads,5
60,HS10,e,474,2157,2888,60.0,-47.0,24.0,-58.0,132.0,192.0,-212.0,sp,ads,3
61,HS10,e,390,1704,2951,40.0,52.0,142.0,-57.0,29.0,582.0,146.0,sp,ads,5
62,HS10,u,382,1094,2982,60.0,-44.0,-134.0,-89.0,-45.0,-126.0,36.0,sp,ads,4
63,HS10,o,488,897,2800,50.0,38.0,251.0,47.0,193.0,-18.0,289.0,sp,ads,7
