speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register
Jos,e,527,2208,2770,30,-1,104,4,9,94,-43,sp,ids
Jos,e,519,1987,3017,40,-12,63,138,39,2,-78,sp,ids
Jos,o,616,947,3174,70,-57,-29,-303,163,-48,234,sp,ids
Jos,e,879,2631,4907,80,-129,-1845,-2475,248,1634,2048,sp,ids
Jos,i,414,1113,2844,170,-27,-197,-253,-128,-221,-23,sp,ids
Jos,e,580,2232,2574,40,-9,-237,101,-0.8,-60,-65,sp,ids
Jos,e,513,2060,3332,50,-0.1,33,-197,3,48,-11,sp,ids
Jos,o,574,968,2469,80,-26,-11,963,-18,48,-489,sp,ids
Jos,e,300,898,2513,90,497,1776,1614,-279,16,46,sp,ids
Jos,e,488,2319,3002,30,-3,40,48,14,62,23,sp,ids
Jos,e,602,2263,3616,90,-13,-116,-349,83,76,567,sp,ids
Jos,a,892,1569,1757,120,86,283,1593,69,133,-1277,sp,ids
Jos,e,673,1028,2612,130,21,1248,402,5,-413,-12,sp,ids
Jos,e,585,2432,3018,50,-59,86,199,-10,128,-107,sp,ids
Jos,e,562,2079,3226,40,20,2,-47,77,36,-67,sp,ids
Jos,o,579,978,2845,50,30,199,188,46,-37,57,sp,ids
Jos,e,734,895,2621,90,-80,-74,-97,172,-87,-132,sp,ids
Jos,e,441,2275,3250,30,144,-43,-91,166,73,177,sp,ids
Jos,e,690,2172,3440,30,319,282,24,43,102,177,sp,ids
Jos,o,286,1072,3011,90,91,-12,-50,56,-229,125,sp,ids
Jos,e,819,2396,3154,100,13,41,86,-71,143,-61,sp,ids
Jos,e,548,2714,3040,50,-1,14,651,12,110,302,sp,ids
Jos,e,715,2260,2795,30,-26,-37,581,73,-8,418,sp,ids
Jos,o,922,1844,2848,1004.441,-207,-618,-483,153,707,1172,sp,ids
Jos,e,506,1530,2628,258.531,23,85,-110,-887,-1160,-1146,sp,ids
Jos,e,580,1843,2411,648,44,109,257,65,-214,-394,sp,ids
Jos,a,770,1644,3128,405.22,505,983,561,105,10,218,sp,ids
Jos,e,631,1672,3239,172.381,-120,5,-661,27,15,-62,sp,ids
Jos,e,511,1530,2624,388.502,6,152,-59,0.7,-394,-33,sp,ids
Jos,e,818,1864,2518,85.127,-7,108,404,283,795,-187,sp,ids
Jos,u,360,1520,2878,55.332,-1,142,12,6,-50,29,sp,ids
Jos,a,870,1719,3326,74.486,-18,-138,-270,32,3,175,sp,ids
Jos,e,644,1722,2787,53.204,-3,-28,10,-7,24,77,sp,ids
Jos,a,795,1643,2941,61.717,-26,-44,-217,6,8,-8,sp,ids
Jos,a,818,1628,2882,53.204,-82,-39,-26,-3,-14,-68,sp,ids
Jos,a,638,1655,2974,75.835,18,-9,-113,22,6,71,sp,ids
Jos,e,488,2002,3521,50,49,20,578,124,100,18,sp,ids
Jos,i,347,2565,4048,50,12,-646,-1193,-0.5,883,961,sp,ids
Jos,a,901,1727,3007,30,-36,-73,-217,-34,39,126,sp,ids
Jos,i,354,1330,2631,90,65,929,261,-43,-1309,-229,sp,ids
Jos,a,1157,1791,2677,140,-634,-566,-600,240,138,129,sp,ids
Jos,o,647,1194,2600,360,-242,427,340,77,126,34,sp,ids
Jos,a,717,1401,2100,150,3,-108,50,109,79,-449,sp,ids
Jos,i,688,1802,3603,30,-13,-113,-443,-31,-146,34,sp,ids
Jos,o,632,1241,2766,120,52,83,75,142,-108,235,sp,ids
Jos,e,634,1567,2725,30,5,-27,97,4,-144,-16,sp,ids
Jos,e,526,2115,2774,50,106,-99,39,138,849,335,sp,ids
Jos,e,1127,1965,2581,30,-257,-30,-8,-84,8,-1,sp,ids
Jos,a,809,1797,2901,100,-28,-49,-77,228,22,64,sp,ids
Jos,a,811,1766,2798,110,1,36,-180,-17,23,-51,sp,ids
Jos,a,763,1698,2735,290,-29,-5,-87,-302,-363,-189,sp,ids
Jos,o,225,2274,2738,92.365,1314,586,1914,-1118,-107,-887,sp,ids
Jos,e,968,2163,3170,76.614,-29,-61,-742,120,328,413,sp,ids
Jos,o,793,2188,3078,57.46,-46,-98,-774,-73,-23,-277,sp,ids
Jos,a,803,1653,2583,180,47,-172,-123,42,-10,-35,sp,ids
Jos,a,835,2031,2663,80,-2,-323,-146,-6,-202,-689,sp,ids
Jos,e,771,2132,2678,110,-124,-20,272,-176,-11,43,sp,ids
Jos,o,989,1639,3542,70.229,-51,42,24,54,125,36,sp,ids
Jos,e,665,1265,2460,80.572,246,1028,1369,-271,-1608,-1379,sp,ids
Jos,e,835,2091,3604,117.344,116,90,-607,265,629,1148,sp,ids
Jos,e,660,1087,2113,90,-0.3,3,26,81,-619,-815,sp,ids
Jos,e,500,1440,2520,90,13,-52,-104,-11,-19,-75,sp,ids
Jos,e,559,2083,3929,100,-18,-840,-1345,11,888,1269,sp,ids
Jos,e,549,1273,2844,100.024,18,-108,-523,-9,-489,-202,sp,ids
Jos,i,666,1957,2792,30,88,60,-58,6,91,-106,sp,ids
Jos,a,588,1193,2197,210,-55,299,208,19,-241,-154,sp,ids
Jos,e,581,1416,2433,80,-24,262,44,-7,158,-97,sp,ids
Jos,e,453,1333,2690,70,1,-239,-178,-14,164,-37,sp,ids
Jos,i,443,1276,2380,40,-2,903,422,5,-285,29,sp,ids
Jos,a,859,1750,3184,30,-23,64,449,-92,-219,303,sp,ids
Jos,a,1007,2015,2544,120,-42,172,237,132,-150,-533,sp,ids
Jos,e,1040,2574,3550,40,-118,-101,-82,421,1591,883,sp,ids
Jos,i,647,2688,3276,60,-51,-4,-21,-20,234,3,sp,ids
Jos,a,1027,2211,3282,40,-54,46,-135,31,202,242,sp,ids
Jos,a,746,2149,3318,50,-20,-84,80,7,-235,36,sp,ids
Jos,e,647,2103,3731,30,-66,235,134,-43,1380,1119,sp,ids
Jos,a,805,2259,3579,50,0.7,131,140,27,130,-35,sp,ids
