vowel,n,mean_f1,mean_f2,mean_f3,mean_df1_on,mean_df2_on,mean_df3_on,mean_df1_off,mean_df2_off,mean_df3_off,sd_f1,sd_f2,sd_f3,sd_df1_on,sd_df2_on,sd_df3_on,sd_df1_off,sd_df2_off,sd_df3_off
a,809,718.4103831891224,1707.8924598269468,2809.6501854140915,-12.846576019777503,-13.110383189122373,-11.027194066749074,87.31831891223733,7.80238566131026,-34.920148331273175,140.30289790087264,215.01660551808777,326.7334313344358,75.84889129814549,183.29185997108522,322.92144425627356,117.51099799442474,206.16125847359254,332.65803644264923
e,1106,528.0849909584086,2049.6654611211575,2911.23869801085,-8.511534358047017,-8.0298191681736,-11.201627486437612,32.73689873417722,58.523178119349005,-0.648508137432188,103.37535179255842,312.92299404110815,255.70891430306042,55.10113334440758,229.06130214867966,205.45820778608518,94.32676539328043,265.15154061439006,238.09253311648948
i,279,392.44444444444446,2521.3010752688174,3066.326164874552,-2.999283154121864,-42.142652329749104,-8.89605734767025,11.084587813620072,179.22186379928314,49.132616487455195,65.42783626708992,336.09380493883566,247.31933540557384,33.0554559464789,308.05577126586354,206.7229229062495,59.498371410140194,319.00990420469145,251.27410649370242
o,686,519.427113702624,1265.7244897959183,2843.145772594752,-2.475801749271137,13.356268221574345,-30.387755102040817,53.810787172011665,-58.189212827988335,13.28935860058309,123.43225249992228,294.5116381490106,354.6656272977162,71.03715276636501,202.42040709579462,371.82386312998966,90.94195967457732,232.19608589901924,369.7717931320402
u,147,375.31972789115645,1173.9251700680272,2715.986394557823,8.832312925170068,-11.32857142857143,-9.387755102040817,20.491156462585035,-107.30408163265307,-1.3741496598639455,110.12346659915796,393.10826854759057,303.61791025903335,86.94568525823864,306.1269055943419,312.0800838777526,116.59304234814314,424.6724740988033,323.6204908019716
