word,count,pronunciation
number,446,N AH M B ER
makes,446,M EY K S
song,444,S AO NG
set,442,S EH T
eric,442,EH R IH K
favorite,440,F EY V ER IH T
yay,439,Y EY
putting,439,P AH T IH NG
mouse,436,M AW S
eight,435,EY T
both,433,B OW TH
gave,432,G EY V
mr,432,M IH S T ER
left,431,L EH F T
having,430,HH AE V IH NG
o,430,OW
break,430,B R EY K
touch,430,T AH CH
purple,430,P ER P AH L
letter,430,L EH T ER
sometimes,429,S AH M T AY M Z
ice,429,AY S
toy,428,T OY
michael,427,M AY K AH L
stuck,426,S T AH K
black,426,B L AE K
chocolate,425,CH AO K L AH T
ethan,423,IY TH AH N
pig,422,P IH G
egg,422,EH G
cake,421,K EY K
nope,421,N OW P
live,417,L AY V
tired,416,T AY ER D
kids,416,K IH D Z
matter,414,M AE T ER
tea,413,T IY
pink,413,P IH NG K
seen,412,S IY N
pretend,412,P R IY T EH N D
game,411,G EY M
build,408,B IH L D
lots,405,L AA T S
happens,403,HH AE P AH N Z
either,398,IY DH ER
blow,397,B L OW
fine,395,F AY N
kitchen,392,K IH CH AH N
moon,392,M UW N
brown,392,B R AW N
elephant,390,EH L AH F AH N T
broken,390,B R OW K AH N
second,390,S EH K AH N D
run,388,R AH N
child,387,CH AY L D
soup,386,S UW P
yup,386,Y AH P
jump,383,JH AH M P
noise,382,N OY Z
count,381,K AW N T
haven't,380,HH AE V AH N T
likes,379,L AY K S
airplane,378,EH R P L EY N
bet,376,B EH T
nine,376,N AY N
catch,375,K AE CH
taking,374,T EY K IH NG
cute,374,K Y UW T
miss,373,M IH S
behind,372,B IH HH AY N D
wouldn't,372,W UH D AH N T
friend,371,F R EH N D
round,371,R AW N D
whose,370,HH UW Z
doggie,369,D AO G IY
needs,369,N IY D Z
fast,369,F AE S T
sun,368,S AH N
n,368,EH N
gets,367,G EH T S
eggs,364,EH G Z
its,364,IH T S
party,363,P AA R T IY
aw,362,AO
cream,361,K R IY M
drive,356,D R AY V
button,354,B AH T AH N
front,353,F R AH N T
brush,353,B R AH SH
yeh,349,Y EH
word,348,W ER D
dad,346,D AE D
everybody,345,EH V R IY B AA D IY
you'd,344,Y UW D
every,344,EH V ER IY
snow,344,S N OW
also,342,AO L S OW
forgot,342,F ER G AA T
nothing,342,N AH TH IH NG
rest,342,R EH S T
hole,341,HH OW L
it'll,341,IH T AH L
thanks,340,TH AE NG K S
ok,339,OW K EY
pictures,339,P IH K CH ER Z
bite,337,B AY T
bigger,337,B IH G ER
anymore,337,EH N IY M AO R
cars,336,K AA R Z
i'd,336,AY D
means,334,M IY N Z
boo,334,B UW
camera,333,K AE M ER AH
wonder,330,W AH N D ER
clothes,330,K L OW DH Z
roll,329,R OW L
kinda,329,K IH N D AH
puzzle,329,P AH Z AH L
wheels,328,W IY L Z
nathaniel,328,N AH TH AE N Y AH L
window,327,W IH N D OW
pieces,325,P IY S AH Z
cool,325,K UW L
welcome,323,W EH L K AH M
what'd,323,W AH T IH D
until,322,AH N T IH L
policeman,322,P AH L IY S M AH N
finger,321,F IH NG G ER
slide,320,S L AY D
grandma,319,G R AE N D M AA
being,318,B IY IH NG
bobbi,318,B AA B IY
woo,317,W UW
beautiful,316,B Y UW T AH F AH L
pants,316,P AE N T S
wheel,315,W IY L
half,314,HH AE F
heard,313,HH ER D
taste,312,T EY S T
rabbit,312,R AE B AH T
tiny,311,T AY N IY
block,310,B L AA K
flowers,310,F L AW ER Z
yum,310,Y AH M
broke,310,B R OW K
butter,309,B AH T ER
sound,308,S AW N D
tv,308,T IY V IY
eve,308,IY V
yummy,307,Y AH M IY
bottle,307,B AA T AH L
change,306,CH EY N JH
bowl,305,B OW L
full,305,F UH L
how's,304,HH AW Z
week,304,W IY K
elephants,302,EH L AH F AH N T S
where'd,301,W EH R D
boat,301,B OW T
wee,301,W IY
nomi,300,N OW M IY
puppy,300,P AH P IY
soon,299,S UW N
bath,299,B AE TH
once,297,W AH N S
lion,296,L AY AH N
circle,296,S ER K AH L
couldn't,295,K UH D AH N T
tickle,294,T IH K AH L
eye,294,AY
engine,294,EH N JH AH N
children,294,CH IH L D R AH N
doll,292,D AA L
asked,292,AE S K T
hafta,290,HH AE F T AH
pen,290,P EH N
god,288,G AA D
apart,288,AH P AA R T
dear,285,D IH R
twenty,285,T W EH N T IY
tail,285,T EY L
meat,285,M IY T
mess,284,M EH S
ta,284,T AA
matthew,283,M AE TH Y UW
oop,282,UW P
year,282,Y IH R
shoe,280,SH UW
pete,280,P IY T
corn,280,K AO R N
megan,280,M EY G AH N
cereal,280,S IH R IY AH L
best,279,B EH S T
colors,278,K AH L ER Z
bro,278,B R OW
paul,278,P AO L
pencil,277,P EH N S AH L
such,277,S AH CH
sister,276,S IH S T ER
person,276,P ER S AH N
tonight,276,T AH N AY T
ring,275,R IH NG
minutes,275,M IH N AH T S
luke,274,L UW K
ears,274,IH R Z
high,273,HH AY
care,273,K EH R
boys,273,B OY Z
scared,273,S K EH R D
words,273,W ER D Z
monkey,273,M AH NG K IY
looked,272,L UH K T
warm,271,W AO R M
she'll,271,SH IY L
fingers,270,F IH NG G ER Z
owl,270,AW L
doctor,269,D AA K T ER
ain't,269,EY N T
roman,269,R OW M AH N
dump,268,D AH M P
poor,268,P UW R
thomas,267,T AA M AH S
special,267,S P EH SH AH L
backpack,266,B AE K P AE K
sounds,266,S AW N D Z
caterpillar,266,K AE T AH P IH L ER
friends,266,F R EH N D Z
lost,265,L AO S T
animal,264,AE N AH M AH L
hope,264,HH OW P
bottom,263,B AA T AH M
press,262,P R EH S
own,261,OW N
boom,261,B UW M
mister,260,M IH S T ER
max,259,M AE K S
doo,258,D UW
each,257,IY CH
brought,257,B R AO T
june,256,JH UW N
bang,256,B AE NG
flower,256,F L AW ER
telephone,255,T EH L AH F OW N
neat,254,N IY T
marky,254,M AA R K IY
sleepy,254,S L IY P IY
easy,254,IY Z IY
brother,253,B R AH DH ER
nap,252,N AE P
dress,251,D R EH S
far,250,F AA R
recorder,250,R IH K AO R D ER
screw,249,S K R UW
cook,249,K UH K
anyway,249,EH N IY W EY
he'll,248,HH IY L
snake,248,S N EY K
supper,248,S AH P ER
candy,248,K AE N D IY
sick,247,S IH K
happen,247,HH AE P AH N
crayons,246,K R EY AA N Z
monster,245,M AA N S T ER
dinosaur,245,D AY N AH S AO R
bubbles,244,B AH B AH L Z
birds,244,B ER D Z
music,244,M Y UW Z IH K
sleeping,243,S L IY P IH NG
started,243,S T AA R T AH D
lookit,242,L UH K IH T
babies,242,B EY B IY Z
forget,242,F ER G EH T
hang,241,HH AE NG
e,241,IY
carry,241,K AE R IY
arm,241,AA R M
seat,240,S IY T
samantha,240,S AH M AE N TH AH
toast,239,T OW S T
violet,237,V AY AH L IH T
sweet,237,S W IY T
letters,236,L EH T ER Z
hurry,236,HH ER IY
days,236,D EY Z
few,236,F Y UW
quack,236,K W AE K
check,234,CH EH K
girls,233,G ER L Z
la,233,L AA
street,233,S T R IY T
christmas,233,K R IH S M AH S
turtle,233,T ER T AH L
fly,233,F L AY
dry,233,D R AY
present,232,P R EH Z AH N T
da,232,D AA
walking,232,W AO K IH NG
someone,231,S AH M W AH N
wipe,231,W AY P
star,231,S T AA R
elmo,230,EH L M OW
wearing,230,W EH R IH NG
butterfly,230,B AH T ER F L AY
sheep,230,SH IY P
mrs,230,M IH S IH Z
class,229,K L AE S
excuse,229,IH K S K Y UW S
delicious,229,D IH L IH SH AH S
quiet,229,K W AY AH T
sad,229,S AE D
believe,229,B IH L IY V
upstairs,228,AH P S T EH R Z
shut,228,SH AH T
socks,228,S AA K S
leg,226,L EH G
banana,226,B AH N AE N AH
knew,226,N UW
tunnel,225,T AH N AH L
y,224,W AY
hum,224,HH AH M
hee,223,HH IY
sugar,223,SH UH G ER
dance,223,D AE N S
pie,223,P AY
somewhere,222,S AH M W EH R
beans,222,B IY N Z
instead,222,IH N S T EH D
quite,222,K W AY T
couple,221,K AH P AH L
toes,220,T OW Z
dark,219,D AA R K
beep,219,B IY P
tall,218,T AO L
ear,217,IY R
blanket,217,B L AE NG K AH T
mickey,216,M IH K IY
paint,215,P EY N T
pocket,215,P AA K AH T
busy,214,B IH Z IY
zoo,214,Z UW
understand,212,AH N D ER S T AE N D
thirty,212,TH ER D IY
glasses,211,G L AE S AH Z
working,211,W ER K IH NG
nobody,211,N OW B AA D IY
beach,210,B IY CH
square,210,S K W EH R
reading,210,R IY D IH NG
we've,209,W IY V
air,209,EH R
sky,208,S K AY
works,208,W ER K S
sticky,208,S T IH K IY
trees,207,T R IY Z
moo,206,M UW
teacher,206,T IY CH ER
sally,206,S AE L IY
turned,205,T ER N D
rain,203,R EY N
legs,203,L EH G Z
sandwich,203,S AE N D W IH CH
swimming,202,S W IH M IH NG
coat,202,K OW T
wall,202,W AO L
diaper,201,D AY P ER
baby's,201,B EY B IY Z
dollars,200,D AA L ER Z
sunday,200,S AH N D EY
dressed,200,D R EH S T
shake,200,SH EY K
heavy,200,HH EH V IY
times,200,T AY M Z
problem,199,P R AA B L AH M
anybody,199,EH N IY B AH D IY
es,199,EH S
cry,197,K R AY
kid,197,K IH D
glass,197,G L AE S
smell,197,S M EH L
stairs,197,S T EH R Z
jello,196,JH EH L OW
riding,196,R AY D IH NG
lives,196,L IH V Z
snack,195,S N AE K
ere,195,EH R
thinking,194,TH IH NG K IH NG
along,194,AH L AO NG
learn,194,L ER N
jenny,193,JH EH N IY
upside,193,AH P S AY D
without,193,W IH TH AW T
usually,193,Y UW ZH AH W AH L IY
whoop,192,W UW P
knock,192,N AA K
basket,192,B AE S K AH T
farm,192,F AA R M
hammer,192,HH AE M ER
tire,192,T AY ER
park,192,P AA R K
movie,191,M UW V IY
tractor,191,T R AE K T ER
question,191,K W EH S CH AH N
machine,191,M AH SH IY N
scary,190,S K EH R IY
dat,190,D AE T
bug,190,B AH G
hundred,190,HH AH N D R AH D
quick,189,K W IH K
dropped,189,D R AA P T
giving,189,G IH V IH NG
bought,189,B AA T
nina,188,N IY N AH
tiger,188,T AY G ER
fat,188,F AE T
interesting,187,IH N T AH R EH S T IH NG
knows,187,N OW Z
pumpkin,185,P AH M P K IH N
ow,184,OW
bridge,183,B R IH JH
downstairs,183,D AW N S T EH R Z
crying,183,K R AY IH NG
ran,183,R AE N
line,183,L AY N
hide,182,HH AY D
cover,182,K AH V ER
balloon,182,B AH L UW N
running,182,R AH N IH NG
couch,181,K AW CH
alone,181,AH L OW N
tower,181,T AW ER
julia,180,JH UW L Y AH
holding,180,HH OW L D IH NG
hiding,180,HH AY D IH NG
watching,180,W AA CH IH NG
mail,179,M EY L
sort,179,S AO R T
yogurt,178,Y OW G ER T
abe,178,EY B
potato,177,P AH T EY T OW
writing,177,R AY T IH NG
chew,177,CH UW
wake,177,W EY K
able,177,EY B AH L
loves,176,L AH V Z
drawing,176,D R AO IH NG
grow,176,G R OW
step,176,S T EH P
falling,176,F AA L IH NG
shape,175,SH EY P
space,175,S P EY S
aah,175,AA
rock,175,R AA K
comb,175,K OW M
ago,175,AH G OW
caught,175,K AA T
road,175,R OW D
driving,175,D R AY V IH NG
feed,174,F IY D
