speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2
s01,ae,826,2041,3338,353.939,-46,102,67,208,36,-9,en,ads,1.1280562748148881,0.18657273875757624
s01,iy,694,2865,3273,48.819,-101,138,-19,16,251,-36,en,ads,0.4496270655320399,2.1197511676976757
s01,ah,577,2057,3207,82.721,-47,-264,-540,16,-5,38,en,ads,-0.15170791542321202,0.2241101839797141
s01,aa,1008,1739,2895,145.78,-253,77,217,70,42,-227,en,ads,2.0634662451897245,-0.5219465398102757
s01,ao,937,1071,2994,242.279,-140,-27,-61,192,-48,40,en,ads,1.6985535644391017,-2.0891348778345313
s01,ih,550,2309,3125,135.737,-56,-300,-103,-56,-22,-192,en,ads,-0.29047752641288554,0.8153249462283854
s01,ah,419,1845,2401,67.804,-0.4,11,-142,10,415,201,en,ads,-0.9637671204738941,-0.2732609652136125
s01,iy,366,2408,2717,102.384,24,-211,-132,15,-181,-295,en,ads,-1.2361667272314014,1.0475878885403633
s01,uh,331,1943,3232,50,-54,56,-48,12,-23,-71,en,ads,-1.416053259995793,-0.043344113228018115
s01,ah,593,1988,3223,82.043,-135,-52,9,154,-33,15,en,ads,-0.06947407187377586,0.0622299514592446
s01,ah,481,2029,2696,106.453,118,21,595,-31,33,-392,en,ads,-0.645110976719829,0.15841965484097287
s01,ah,1079,1886,2946,109.936,-644,-23,-340,312,55,-42,en,ads,2.4283789259403474,-0.17707126183188424
s01,ah,534,1505,3299,46.785,-108,37,-33,-93,-125,-0.8,en,ads,-0.3727113699623217,-1.070931676184042
s01,ah,595,1737,3301,43.395,72,-36,-79,51,-74,-102,en,ads,-0.05919484143009633,-0.526638720463043
s01,ae,802,2023,2657,33.224,79,-47,26,287,-21,33,en,ads,1.004705509490734,0.14434311288267115
s01,ih,374,2315,2943,58.312,-135,64,277,29,137,-224,en,ads,-1.1950498054566834,0.829401488186687
s01,eh,432,2402,3055,131.541,63,-17,209,-80,351,590,en,ads,-0.8969521225899773,1.0335113465820616
s01,ae,715,2107,3056,161.374,41,35,-18,-53,23,31,en,ads,0.5575589851906748,0.3414147002988949
s01,ah,658,1801,2817,208.16,-197,-333,-398,378,446,157,en,ads,0.26460091754580856,-0.3764889395744916
s01,iy,375,2412,3152,59.784,11,-17,-34,34,48,59,en,ads,-1.1899101902348435,1.0569722498458978
s01,ah,533,2135,3250,49.498,-200,-79,-138,94,992,676,en,ads,-0.37785098518416144,0.40710522943763616
s01,ah,504,1750,3207,44.073,-67,36,-62,10,-54,-52,en,ads,-0.5268998266175144,-0.496139546220056
s01,aa,1047,1414,3128,148.453,-63,78,89,-104,85,-130,en,ads,2.2639112388414753,-1.284425895884951
s01,ah,923,1612,3092,141.033,-302,-399,107,177,21,54,en,ads,1.626598951333345,-0.819900011260995
s01,eh,544,2155,3202,56.277,11,-91,-49,15,150,16,en,ads,-0.3213152177439241,0.45402703596530847
s01,eh,537,2227,3135,71.872,13,-127,97,-35,-34,142,en,ads,-0.3572925242968024,0.6229455394649288
s01,ah,752,1878,3336,43.633,15,-111,-13,118,759,1260,en,ads,0.747724748398746,-0.19583998444295314
s01,ih,423,2213,3117,87.467,-58,-49,-55,-25,-158,318,en,ads,-0.9432086595865351,0.5901002748955582
s01,ah,610,1554,2785,153.916,243,85,67,-128,-43,-587,en,ads,0.01789938689750007,-0.9559732501912447
s01,ah,567,1726,2872,40,-102,-103,-58,-19,18,120,en,ads,-0.2031040676416096,-0.5524457140532628
s01,ah,426,1746,2449,44.751,42,64,-260,-75,-64,-165,en,ads,-0.9277898139210158,-0.5055239075255905
s01,eh,429,2278,2433,41.361,-31,-559,37,-34,48,-655,en,ads,-0.9123709682554965,0.7425961461104932
s01,ah,501,1929,3225,51.531,-138,-35,-155,89,0.7,-83,en,ads,-0.5423186722830338,-0.07618937779738874
s01,ah,410,1947,3264,61.702,-22,-7,17,8,-22,-32,en,ads,-1.010023657470452,-0.033959751922483655
s01,ah,593,1902,3249,46.785,-170,-20,-1273,127,106,122,en,ads,-0.06947407187377586,-0.13953381660974637
s01,iy,504,2903,3274,197.311,-12,-217,-73,-66,-51,-45,en,ads,-0.5268998266175144,2.208902600100253
s01,ah,972,1985,3095,109.844,-143,-119,44,249,-79,16,en,ads,1.8784400972034931,0.05519168048009375
s01,iy,401,2775,3389,50.175,42,-290,-116,26,59,-93,en,ads,-1.0562801944670097,1.9086030383231503
s01,iy,560,2113,2752,50,-65,395,229,-29,264,202,en,ads,-0.23908137419448794,0.3554912422571966
s01,ah,533,1687,2071,52.209,40,36,-79,49,-166,-38,en,ads,-0.37785098518416144,-0.6439432367822238
s01,ae,1002,1806,2798,146.458,-116,-300,15,436,65,68,en,ads,2.032628553858686,-0.3647584879425735
s01,ah,860,2100,2911,37.971,-282,-182,-119,-68,-249,-153,en,ads,1.3028031923574401,0.3249920680142096
s01,ae,591,2029,3034,57.398,269,108,-153,169,168,88,en,ads,-0.07975330231745537,0.15841965484097287
s01,ah,723,1816,3028,74.12,-129,-117,-351,12,152,-89,en,ads,0.598675906965393,-0.34129758467873733
s01,ah,691,1540,3288,52.888,-70,-114,17,102,121,-23,en,ads,0.43420821986652064,-0.9888185147606153
s01,ah,741,1656,3273,185.784,58,27,-73,35,156,-202,en,ads,0.6911889809585087,-0.7166720369001159
s01,ih,618,2685,3370,62.38,-131,132,-21,-13,102,-46,en,ads,0.05901630867221815,1.6974549089486248
s01,aa,551,1624,2752,114.589,10,458,591,-127,-77,-447,en,ads,-0.2853379111910458,-0.7917469273443916
s01,iy,422,2530,2753,88.909,27,-999,-236,19,14,-493,en,ads,-0.9483482748083748,1.3338109083591645
s01,ah,613,1982,2662,68.483,-28,216,633,20,166,513,en,ads,0.03331823256301935,0.048153409500942906
s01,eh,516,2003,2459,122.726,86,-262,103,0.3,-125,-930,en,ads,-0.4652244439554374,0.09742130635499884
s01,ah,415,1407,2768,301.729,387,199,393,16,21,82,en,ads,-0.9843255813612531,-1.3008485281696363
s01,iy,432,2482,2940,76.619,56,-1491,-471,-3,-38,-114,en,ads,-0.8969521225899773,1.2211985726927508
s01,aa,752,1755,2931,81.365,102,-291,-147,232,-62,233,en,ads,0.747724748398746,-0.4844090945881379
s01,ah,660,1896,2950,76.619,-96,34,149,98,132,468,en,ads,0.27488014798948807,-0.15361035856804806
s01,ah,572,1691,2996,39.327,-15,-135,-39,126,-29,-46,en,ads,-0.17740599153241082,-0.6345588754766893
s01,iy,393,2427,2761,38.648,20,-36,-268,23,243,-239,en,ads,-1.0973971162417278,1.092163604741652
s01,ih,530,2127,2282,55.6,-51,118,863,10,353,-218,en,ads,-0.39326983084968076,0.38833650682656723
s01,ih,399,1927,3297,46.495,59,18,-119,111,-17,79,en,ads,-1.0665594249106893,-0.08088155845015597
s01,ih,590,1961,3268,85.434,-10,10,-8,106,-105,71,en,ads,-0.08489291753929513,-0.0011144873531130303
s01,ah,658,1954,3359,114.589,-65,180,32,80,8,261,en,ads,0.26460091754580856,-0.017537119637798342
s01,uw,454,1236,2848,94.248,2,1313,77,16,149,193,en,ads,-0.7838805877095025,-1.7020299739812346
s01,ah,504,1525,3077,256.301,308,112,-7,-2,100,295,en,ads,-0.5268998266175144,-1.0240098696563695
s01,ah,521,1755,3312,56.278,-9,-42,-22,60,-55,-2,en,ads,-0.43952636784623855,-0.4844090945881379
s01,ah,629,1893,3213,42.038,-36,79,55,28,-2,81,en,ads,0.1155520761124555,-0.1606486295471989
s01,ih,557,2248,2988,64.414,43,-138,53,162,-15,53,en,ads,-0.2545002198600072,0.6722134363189848
s01,ah,349,2022,3163,40.683,61,23,33,101,125,97,en,ads,-1.3235401860026772,0.14199702255628754
s01,ah,426,1806,3112,44.763,-14,170,43,156,-255,-30,en,ads,-0.9277898139210158,-0.3647584879425735
s01,ae,804,1923,3230,82.194,83,-31,6,84,-32,-76,en,ads,1.0149847399344134,-0.09026591975569044
s01,ih,589,2319,2919,60,31,-302,-799,155,-115,129,en,ads,-0.09003253276113489,0.8387858494922215
s01,eh,594,2297,3363,81.366,8,21,-45,-6,-134,54,en,ads,-0.06433445665193609,0.7871718623117819
s01,iy,346,2259,3013,35.258,52,-287,-399,43,45,12,en,ads,-1.3389590316681965,0.6980204299092045
s01,ah,653,1733,1831,52.887,-77,135,1162,3,46,-11,en,ads,0.23890284143660975,-0.5360230817685775
s01,eh,730,2052,3136,138.321,-34,-108,-93,138,-10,-41,en,ads,0.6346532135182713,0.21237973234779603
s01,uh,411,1447,3292,30.512,108,15,-6,62,-187,189,en,ads,-1.0048840422486123,-1.2070049151142916
s01,ah,589,1835,3274,38.648,11,270,19,-116,217,-2,en,ads,-0.09003253276113489,-0.29672186847744864
s01,ao,654,1379,2733,73.907,322,-61,4,115,46,-110,en,ads,0.2440424566584495,-1.3665390573083775
s01,ah,698,1421,3117,82.721,-231,80,-56,119,29,-87,en,ads,0.4701855264193989,-1.2680032636002656
s01,ah,581,1759,3092,35.936,-60,-2,67,35,-32,123,en,ads,-0.13114945453585297,-0.4750247332826035
s01,iy,389,2498,3113,52.21,-24,80,153,-10,808,124,en,ads,-1.117955577129087,1.2587360179148888
s01,ah,752,1409,3077,55.6,3,-339,-121,19,-96,-34,en,ads,0.747724748398746,-1.2961563475168691
s01,ae,717,1794,3177,38.649,-126,-76,-112,-11,-85,-24,en,ads,0.5678382156343544,-0.3929115718591769
s01,ah,732,1976,3049,33.902,72,-19,30,194,24,-29,en,ads,0.6449324439619508,0.03407686754264121
s01,ae,633,1898,3172,72.551,111,-0.8,-253,-6,-41,153,en,ads,0.13611053699981454,-0.14891817791528084
s01,ih,579,2022,2936,67.804,-14,-43,-281,-13,-256,29,en,ads,-0.14142868497953248,0.14199702255628754
s01,ih,518,2279,3418,84.077,-24,-25,-116,59,34,100,en,ads,-0.4549452135117579,0.7449422364368768
s01,iy,414,2641,3165,140.355,44,-165,-203,44,143,80,en,ads,-0.9894651965830928,1.5942269345877458
s01,iy,455,2680,3372,40.004,-88,14,29,-47,133,31,en,ads,-0.7787409724876627,1.685724457316707
s01,ah,766,2199,3129,77.297,-78,191,161,34,242,-15,en,ads,0.8196793615045026,0.5572550103261875
s01,ah,639,1652,3003,46.107,-23,199,86,91,199,97,en,ads,0.1669482283308531,-0.7260563982056504
s01,ah,594,1672,2304,44.625,-13,-198,374,51,-127,-23,en,ads,-0.06433445665193609,-0.6791345916779781
s01,ah,604,2065,3266,67.805,-397,-1505,-1247,-12,74,24,en,ads,-0.01293830443353849,0.24287890659078304
s01,ah,529,1871,3141,60.853,-97,41,-5,65,-50,-64,en,ads,-0.3984094460715205,-0.21226261672763846
s01,ah,731,1632,2644,67.126,2,17,-88,152,-26,36,en,ads,0.639792828740111,-0.7729782047333227
s01,ah,762,2044,3154,72.835,-81,-38,112,88,520,855,en,ads,0.7991209006171436,0.1936110097367271
s01,iy,376,2842,3349,196.145,151,-222,-70,15,-29,11,en,ads,-1.1847705750130038,2.0657910901908525
s01,ah,350,1575,2257,181.038,122,58,187,31,172,81,en,ads,-1.3184005707808375,-0.9067053533371888
s01,uh,313,1310,2782,39.327,-18,-75,114,33,-236,-421,en,ads,-1.5085663339889086,-1.5284192898288471
s01,iy,338,2788,3323,80.009,2357,381,1237,-276,-97,-28,en,ads,-1.3800759534429146,1.9391022125661375
s01,eh,595,2662,3382,39.327,37,189,44,-4,134,123,en,ads,-0.05919484143009633,1.6434948314418019
s01,ah,435,1805,2714,27.8,-78,114,92,-91,-93,-230,en,ads,-0.8815332769244579,-0.3671045782689571
s01,ah,725,1515,3289,46.785,-62,-162,29,126,9,45,en,ads,0.6089551374090725,-1.0474707729202057
s01,ae,960,1970,3167,139.135,-167,-86,-38,250,-34,-73,en,ads,1.816764714541416,0.020000325584339514
s01,ah,606,1992,2133,96.282,35,244,1373,43,481,-141,en,ads,-0.00265907398985897,0.07161431276477906
s01,eh,790,1989,3370,61.702,387,-21,19,115,-22,-34,en,ads,0.9430301268286568,0.06457604178562822
s01,iy,632,2648,3415,62.38,-23,-96,-21,22,-12,94,en,ads,0.13097092177797479,1.6106495668724312
s01,ah,646,2178,3223,74.585,-61,216,132,-61,134,13,en,ads,0.20292553488373144,0.5079871134721317
s01,ah,624,1727,3085,38.649,-3,100,73,94,148,232,en,ads,0.0898540000032567,-0.55009962372687915
s01,ah,623,1662,3193,51.531,144,-215,-168,101,-256,1092,en,ads,0.08471438478141695,-0.7025954949418142
s01,ih,630,2307,3304,136.287,-49,15,61,70,228,29,en,ads,0.12069169133429528,0.8106327655756181
s01,ah,505,1729,2670,153.916,598,342,554,-439,227,-97,en,ads,-0.5217602113956747,-0.5454074430741119
s01,ah,662,1439,2817,91.633,194,19,5,-12,-226,726,en,ads,0.2851593784331676,-1.2257736377253605
s01,ah,543,1521,2819,30,-50,-28,-147,-59,-42,46,en,ads,-0.32645483296576383,-1.033394230961904
s01,ah,362,2055,2388,31.19,-57,-155,123,-9,-70,-384,en,ads,-1.2567251881187604,0.21941800332694686
