speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2
Jos,e,527,2208,2770,30,-1,104,4,9,94,-43,sp,ids,-0.634120818681731,0.9357262777719744
Jos,e,519,1987,3017,40,-12,63,138,39,2,-78,sp,ids,-0.6710419726078871,0.5048322837737699
Jos,o,616,947,3174,70,-57,-29,-303,163,-48,234,sp,ids,-0.22337298125324434,-1.5229041585707221
Jos,e,879,2631,4907,80,-129,-1845,-2475,248,1634,2048,sp,ids,0.9904099540691377,1.760469080764013
Jos,i,414,1113,2844,170,-27,-197,-253,-128,-221,-23,sp,ids,-1.1556321178886861,-1.1992462264272745
Jos,e,580,2232,2574,40,-9,-237,101,-0.8,-60,-65,sp,ids,-0.38951817392094684,0.9825201956722319
Jos,e,513,2060,3332,50,-0.1,33,-197,3,48,-11,sp,ids,-0.6987328380525042,0.6471637840537198
Jos,o,574,968,2469,80,-26,-11,963,-18,48,-489,sp,ids,-0.4172090393655639,-1.481959480407997
Jos,e,300,898,2513,90,497,1776,1614,-279,16,46,sp,ids,-1.6817585613364106,-1.6184417409504146
Jos,e,488,2319,3002,30,-3,40,48,14,62,23,sp,ids,-0.8141114440717421,1.1521481480606655
Jos,e,602,2263,3616,90,-13,-116,-349,83,76,567,sp,ids,-0.28798500062401755,1.0429623396267311
Jos,a,892,1569,1757,120,86,283,1593,69,133,-1277,sp,ids,1.0504068291991413,-0.3101617863223818
Jos,e,673,1028,2612,130,21,1248,402,5,-413,-12,sp,ids,0.03969024047061792,-1.3649746856573532
Jos,e,585,2432,3018,50,-59,86,199,-10,128,-107,sp,ids,-0.36644245271709924,1.3724695115077112
Jos,e,562,2079,3226,40,20,2,-47,77,36,-67,sp,ids,-0.47259077025479806,0.6842089690580903
Jos,o,579,978,2845,50,30,199,188,46,-37,57,sp,ids,-0.3941333181617163,-1.462462014616223
Jos,e,734,895,2621,90,-80,-74,-97,172,-87,-132,sp,ids,0.32121403915755825,-1.6242909806879469
Jos,e,441,2275,3250,30,144,-43,-91,166,73,177,sp,ids,-1.031023223387909,1.06635929857686
Jos,e,690,2172,3440,30,319,282,24,43,102,177,sp,ids,0.11814769256369964,0.8655354009215881
Jos,o,286,1072,3011,90,91,-12,-50,56,-229,125,sp,ids,-1.7463705807071837,-1.2791858361735478
Jos,e,819,2396,3154,100,13,41,86,-71,143,-61,sp,ids,0.7135012996229668,1.302278634657325
Jos,e,548,2714,3040,50,-1,14,651,12,110,302,sp,ids,-0.5372027896255712,1.922298046835737
Jos,e,715,2260,2795,30,-26,-37,581,73,-8,418,sp,ids,0.23352629858293747,1.037113099889199
Jos,o,922,1844,2848,1004.441,-207,-618,-483,153,707,1172,sp,ids,1.1888611564222267,0.22601852295140218
Jos,e,506,1530,2628,258.531,23,85,-110,-887,-1160,-1146,sp,ids,-0.7310388477378909,-0.38620190291030027
Jos,e,580,1843,2411,648,44,109,257,65,-214,-394,sp,ids,-0.38951817392094684,0.22406877637222478
Jos,a,770,1644,3128,405.22,505,983,561,105,10,218,sp,ids,0.4873592318252607,-0.16393079288407708
Jos,e,631,1672,3239,172.381,-120,5,-661,27,15,-62,sp,ids,-0.15414581764170163,-0.10933788866710997
Jos,e,511,1530,2624,388.502,6,152,-59,0.7,-394,-33,sp,ids,-0.7079631265340433,-0.38620190291030027
Jos,e,818,1864,2518,85.127,-7,108,404,283,795,-187,sp,ids,0.7088861553821973,0.2650134545349501
Jos,u,360,1520,2878,55.332,-1,142,12,6,-50,29,sp,ids,-1.4048499068902398,-0.4056993687020742
Jos,a,870,1719,3326,74.486,-18,-138,-270,32,3,175,sp,ids,0.9488736559022121,-0.017699799445772352
Jos,e,644,1722,2787,53.204,-3,-28,10,-7,24,77,sp,ids,-0.09414894251169796,-0.011850559708240165
Jos,a,795,1643,2941,61.717,-26,-44,-217,6,8,-8,sp,ids,0.6027378378444985,-0.16588053946325446
Jos,a,818,1628,2882,53.204,-82,-39,-26,-3,-14,-68,sp,ids,0.7088861553821973,-0.1951267381509154
Jos,a,638,1655,2974,75.835,18,-9,-113,22,6,71,sp,ids,-0.12183980795631505,-0.1424835805131257
Jos,e,488,2002,3521,50,49,20,578,124,100,18,sp,ids,-0.8141114440717421,0.5340784824614307
Jos,i,347,2565,4048,50,12,-646,-1193,-0.5,883,961,sp,ids,-1.4648467820202433,1.6317858065383049
Jos,a,901,1727,3007,30,-36,-73,-217,-34,39,126,sp,ids,1.091943127366067,-0.0021018268123531836
Jos,i,354,1330,2631,90,65,929,261,-43,-1309,-229,sp,ids,-1.4325407723348569,-0.7761512187457795
Jos,a,1157,1791,2677,140,-634,-566,-600,240,138,129,sp,ids,2.273420053003062,0.12268195425500017
Jos,o,647,1194,2600,360,-242,427,340,77,126,34,sp,ids,-0.08030350978938942,-1.0413167535139054
Jos,a,717,1401,2100,150,3,-108,50,109,79,-449,sp,ids,0.2427565870644765,-0.6377192116241843
Jos,i,688,1802,3603,30,-13,-113,-443,-31,-146,34,sp,ids,0.10891740408216062,0.14412916662595154
Jos,o,632,1241,2766,120,52,83,75,142,-108,235,sp,ids,-0.14953067340093212,-0.9496786642925678
Jos,e,634,1567,2725,30,5,-27,97,4,-144,-16,sp,ids,-0.1403003849193931,-0.3140612794807366
Jos,e,526,2115,2774,50,106,-99,39,138,849,335,sp,ids,-0.6387359629225006,0.7543998459084765
Jos,e,1127,1965,2581,30,-257,-30,-8,-84,8,-1,sp,ids,2.134965725779977,0.4619378590318671
Jos,a,809,1797,2901,100,-28,-49,-77,228,22,64,sp,ids,0.6673498572152717,0.13438043373006456
Jos,a,811,1766,2798,110,1,36,-180,-17,23,-51,sp,ids,0.6765801456968108,0.07393828977556527
Jos,a,763,1698,2735,290,-29,-5,-87,-302,-363,-189,sp,ids,0.4550532221398741,-0.058644477608497676
