,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,learned_cats
5512,JoseAntonio,a,759,1550,2160,120.0,154.0,-25.0,294.0,-38.0,-384.0,-800.0,sp,ids,2
5515,JoseAntonio,a,973,1795,2495,110.0,-51.0,-88.0,-123.0,223.0,-32.0,-382.0,sp,ids,2
5517,JoseAntonio,i,745,2291,3120,30.0,45.0,-439.0,-469.0,-39.0,33.0,6.0,sp,ids,1
5520,JoseAntonio,a,313,1379,2673,48.848,-20.0,94.0,-154.0,-941.0,-515.0,-275.0,sp,ids,1
5522,JoseAntonio,a,603,1623,2091,96.926,-198.0,-284.0,-337.0,-165.0,-27.0,-2.0,sp,ids,2
5523,JoseAntonio,a,799,1383,2001,60.0,31.0,525.0,468.0,28.0,-684.0,-438.0,sp,ids,2
5524,JoseAntonio,i,544,1721,2706,60.0,-91.0,-847.0,-132.0,-171.0,-62.0,-202.0,sp,ids,2
5525,JoseAntonio,a,1359,1879,3481,30.0,-76.0,-236.0,-537.0,33.0,85.0,107.0,sp,ids,1
5526,JoseAntonio,a,896,1719,2565,130.0,-172.0,105.0,142.0,-33.0,76.0,-31.0,sp,ids,2
5527,JoseAntonio,a,741,1614,2656,60.0,20.0,3.0,54.0,18.0,-37.0,-330.0,sp,ids,2
5529,JoseAntonio,a,988,1271,2863,30.0,-11.0,200.0,-83.0,182.0,51.0,-5.0,sp,ids,2
5530,JoseAntonio,a,990,2719,3135,30.0,-26.0,19.0,597.0,-37.0,1638.0,385.0,sp,ids,1
5531,JoseAntonio,a,933,1663,2718,100.0,-103.0,-8.0,-54.0,35.0,40.0,-20.0,sp,ids,2
5535,JoseAntonio,a,819,1810,2828,42.899,-55.0,-74.0,47.0,-26.0,170.0,378.0,sp,ids,2
5536,JoseAntonio,a,792,1610,2817,13.956,-181.0,-389.0,-594.0,13.0,18.0,-87.0,sp,ids,2
5537,JoseAntonio,a,883,1671,2995,96.92,-33.0,166.0,104.0,228.0,-25.0,181.0,sp,ids,2
5539,JoseAntonio,a,860,1289,1695,80.0,-26.0,433.0,917.0,316.0,259.0,-1149.0,sp,ids,2
5540,JoseAntonio,a,803,1666,2434,30.0,-41.0,-136.0,-386.0,-149.0,-396.0,-1143.0,sp,ids,2
5542,JoseAntonio,a,857,1009,1744,70.0,-36.0,51.0,44.0,37.0,-454.0,-1771.0,sp,ids,2
5543,JoseAntonio,a,802,1510,2672,30.0,9.0,49.0,-266.0,-56.0,-37.0,218.0,sp,ids,2
5549,JoseAntonio,a,868,1510,2553,80.0,14.0,337.0,385.0,50.0,310.0,-78.0,sp,ids,2
5551,JoseAntonio,a,922,1687,2774,110.0,-147.0,-134.0,181.0,23.0,-113.0,-205.0,sp,ids,2
5552,JoseAntonio,a,788,1907,3128,180.0,163.0,-26.0,-297.0,-175.0,467.0,913.0,sp,ids,2
5563,JoseAntonio,a,858,1618,2878,60.0,12.0,-47.0,-170.0,126.0,64.0,106.0,sp,ids,2
5567,JoseAntonio,i,207,818,2692,80.0,210.0,1848.0,581.0,-205.0,-1509.0,-723.0,sp,ids,1
5571,JoseAntonio,a,874,1294,2858,60.0,34.0,40.0,-23.0,92.0,48.0,63.0,sp,ids,2
5576,JoseAntonio,a,754,1638,2971,60.0,114.0,-128.0,-289.0,457.0,32.0,203.0,sp,ids,2
5578,JoseAntonio,i,418,2686,3154,90.0,-34.0,-135.0,-206.0,50.0,263.0,109.0,sp,ids,3
5579,JoseAntonio,i,757,1778,2644,30.0,167.0,97.0,-169.0,4.0,-224.0,18.0,sp,ids,2
5587,JoseAntonio,a,659,1208,2042,40.0,68.0,296.0,661.0,91.0,157.0,-804.0,sp,ids,2
5588,JoseAntonio,a,1090,2041,3634,30.0,-336.0,-107.0,-664.0,87.0,-214.0,566.0,sp,ids,2
5590,JoseAntonio,a,657,1587,2949,50.0,205.0,-113.0,-653.0,-0.7,-50.0,42.0,sp,ids,2
5593,JoseAntonio,i,381,2836,3160,100.0,10.0,-125.0,-145.0,-20.0,483.0,340.0,sp,ids,3
5594,JoseAntonio,i,806,2253,2840,30.0,73.0,7.0,80.0,-179.0,410.0,-136.0,sp,ids,2
5618,JoseAntonio,a,817,1773,3115,65.13,-316.0,-15.0,-86.0,68.0,88.0,111.0,sp,ids,2
5620,JoseAntonio,a,780,1470,2543,220.202,59.0,-20.0,-87.0,-24.0,-261.0,-233.0,sp,ids,2
5621,JoseAntonio,i,670,1637,2743,52.724,17.0,-34.0,-178.0,40.0,-17.0,-121.0,sp,ids,2
5628,JoseAntonio,i,546,1674,2476,53.5,16.0,-15.0,-77.0,27.0,-18.0,5.0,sp,ids,2
5629,JoseAntonio,a,805,1637,2453,83.054,-87.0,59.0,16.0,-349.0,50.0,-17.0,sp,ids,2
5630,JoseAntonio,i,661,2444,3261,81.02,-224.0,-441.0,-435.0,-45.0,30.0,65.0,sp,ids,3
5631,JoseAntonio,a,822,2861,3271,99.246,-17.0,-864.0,-56.0,36.0,310.0,45.0,sp,ids,1
5641,JoseAntonio,a,605,835,2333,30.0,6.0,24.0,-111.0,-2.0,-260.0,-289.0,sp,ids,0
5642,JoseAntonio,a,747,1415,2691,60.0,44.0,271.0,53.0,117.0,225.0,-252.0,sp,ids,2
5644,JoseAntonio,a,765,1675,2249,40.0,66.0,-4.0,736.0,-60.0,7.0,-527.0,sp,ids,2
5648,JoseAntonio,a,746,1826,3257,50.0,42.0,52.0,-708.0,77.0,606.0,1050.0,sp,ids,2
5649,JoseAntonio,a,608,1012,2594,50.0,152.0,304.0,-383.0,203.0,-150.0,-122.0,sp,ids,0
5651,JoseAntonio,a,803,1623,2785,40.0,115.0,-210.0,-265.0,35.0,-63.0,-447.0,sp,ids,2
5653,JoseAntonio,a,914,1514,2323,190.0,-65.0,79.0,75.0,253.0,420.0,-352.0,sp,ids,2
5654,JoseAntonio,a,779,1409,2806,60.0,-55.0,-120.0,-568.0,209.0,-266.0,-134.0,sp,ids,2
5657,JoseAntonio,a,1006,1755,2780,140.0,-50.0,-98.0,-177.0,437.0,-137.0,-419.0,sp,ids,2
5659,JoseAntonio,a,902,1804,3422,120.956,-16.0,42.0,-466.0,-278.0,-193.0,424.0,sp,ids,2
5660,JoseAntonio,a,1038,1700,2462,190.0,-11.0,-124.0,156.0,81.0,-38.0,-855.0,sp,ids,2
5661,JoseAntonio,a,987,1706,2440,200.0,119.0,-56.0,309.0,66.0,-39.0,-476.0,sp,ids,2
5662,JoseAntonio,i,376,2610,3343,50.0,58.0,-277.0,-256.0,77.0,1016.0,787.0,sp,ids,3
5663,JoseAntonio,a,918,2025,3086,30.0,-50.0,38.0,1.0,-15.0,28.0,219.0,sp,ids,2
5664,JoseAntonio,i,384,550,2502,90.0,-39.0,645.0,106.0,-8.0,-383.0,-160.0,sp,ids,0
5665,JoseAntonio,a,1089,2111,3104,50.0,-41.0,-22.0,-174.0,-25.0,99.0,286.0,sp,ids,2
