f1,f2,vowel,learned_cat
721.8436404343227,1440.8778861411433,ah,1
544.1245933774026,1559.6306835279922,ah,1
488.66064979396,631.4593516565262,iy,0
1009.1682653731419,1117.830943207969,aa,1
658.4650818185613,1320.7347547623021,ah,0
562.6789327148576,1630.705870819358,ah,0
344.19661309575446,2301.778662820693,ah,0
632.752063402607,1523.2767772210211,aa,1
425.5894168990943,1230.6358712472138,uw,1
875.378554883747,1262.6802137951395,ae,1
592.2972797370279,2022.0536093292917,ah,0
544.3526411907295,1919.125930718765,ah,1
549.1125199564856,1316.9835762091493,aa,0
749.9281881522585,1286.8609566841324,eh,0
858.6362662643156,2342.201364420692,eh,1
343.8553016714816,2300.2731422227525,iy,1
755.4788442137483,2147.7261979271916,ah,1
462.7376349755973,1597.4127303517291,ah,0
641.7993645875754,1311.3211792284465,uh,1
759.3863562109517,990.0623787290195,aa,1
624.2972291652569,1216.3961511923699,ih,0
655.2923660308625,2272.3810282300688,ih,0
717.7046745689859,919.2309487522638,ah,0
585.4975311831595,1842.1111536208348,uh,1
910.5732759996772,1547.2111888369802,aa,1
308.42650162470113,1654.3862321872093,uw,0
842.1534488218822,2080.020046265473,ae,1
711.7656410186684,1378.0403445155669,ah,1
550.8286471004939,2190.7253208624725,ah,1
652.16472742442,1610.0320253763587,eh,1
430.6960267107998,1274.7851296135334,ah,0
608.6993812767122,1140.7339175341174,ah,0
645.8666922295175,2233.7113093512557,eh,0
544.8934264560784,1772.7385801770417,ao,0
851.0115674107817,1895.6514515128388,ae,1
612.662777549206,1602.114902248406,aa,0
409.23062397007476,1946.7893706223163,ah,1
755.1593107005103,2128.7211725591173,eh,1
536.8796966364939,2326.0633966486566,ah,0
460.7096145438459,1779.192640508298,ah,1
494.65562484793196,1573.0027032404462,ah,0
741.9016759943003,1881.6430338349821,ih,1
587.5044523891106,1837.150852081912,ih,1
691.5065979312126,1890.4058101429302,ih,1
515.1041623583172,2409.3979187452874,iy,0
662.417062738854,1589.0072077304337,ah,1
488.49500484297846,1546.9799404921341,ah,1
787.5469586693918,1980.219597877121,ae,0
686.1249451719779,1146.188138683546,aa,1
579.5656110163894,2194.2974296498323,ih,0
362.4753822318441,2068.5463259896133,uw,0
766.0408066273196,1675.058633017474,ae,1
717.5131871194849,1928.590018230179,ah,1
389.33160175527377,1749.9970614655424,iy,1
616.5548863197134,1538.7558631308566,ih,0
983.3735503421556,1620.0544730901947,ae,1
647.1266746844639,1826.014049274143,ah,1
667.0656604140933,1634.003893275214,ah,0
505.1636289164348,1355.0126859975148,uw,0
514.2301884636267,1727.8723383156873,eh,1
333.7447034801719,2189.1142579115267,iy,1
499.367998574453,2000.2984207405812,uh,0
431.4773871030037,2266.089909975261,iy,0
640.1318517500822,2197.430124343102,ih,0
419.4531209872246,1546.2500279395333,ih,1
645.993649274283,1536.7998889360133,ih,0
444.1682807794902,1628.983189979734,ah,0
585.2666120543743,2731.5753231588133,iy,0
932.7880598398175,2471.7533283838425,ah,0
675.6895102333231,956.3017531472669,uw,1
508.24249111348416,3278.4487638186783,iy,0
446.8713298758232,1934.3559730704424,ah,0
675.2018884388726,1420.854803533437,ae,1
653.2845001560768,1704.808546731575,ih,1
624.4619296018609,1836.7006792824543,iy,1
677.1645562631453,1799.4815119646335,ah,0
571.3264958280247,2302.3733978357704,uh,1
456.67499104140063,2355.8271230053333,iy,0
575.5378394292401,1452.5484961580828,ah,1
445.47673362067485,1924.896559455312,ah,0
451.336145922645,1782.025860591406,uw,0
313.69190560604625,1116.6653540069242,iy,0
457.089857481192,1835.3326375032293,ah,0
560.0631973759647,1793.164890136272,ah,0
696.979746963726,2359.8803451411445,ih,0
294.96634756942115,1341.4336088930063,ah,1
380.61081693627347,1689.8936756868554,uw,1
261.58767483483183,1815.4912409405235,ah,0
399.0014552134096,2120.0368934145317,ih,0
666.6036428379192,1442.5405499878266,ae,0
622.1679566159929,1581.215512052946,ae,0
661.6439593013866,1546.4791912608905,ah,1
649.123522759493,1583.1993584258194,ah,1
601.1506771253139,1697.6261079109167,ah,0
372.9410546383681,1821.150333019004,ih,0
664.0923155401164,1520.4428201529745,ah,0
527.0237274991164,2307.0093455457877,iy,0
432.6278468533902,1216.973718196693,iy,0
759.6770308995042,2025.8724115568261,ae,1
556.9008829293862,1644.7083169559558,ih,0
462.75775476164733,1111.955961797249,ao,0
719.4625074096422,2256.0538765558067,ae,0
425.8735470862449,2352.100952607582,iy,0
700.6274785082513,1539.4250827740875,ah,1
707.095566759949,1965.357836117495,eh,0
612.7707977138627,1357.3503109906753,ah,0
466.45071101853296,1736.2973744194676,ah,0
615.3232538756524,2261.9286051718545,ih,1
485.0878235695278,1517.3976828939876,iy,0
507.3999168609929,2203.3236282787952,iy,0
603.5612834385795,1382.6740310537589,ih,1
524.1966479492987,1901.5968655411816,ih,1
591.5060620561653,1873.6827079349337,uw,0
814.783971932438,1200.0315599817427,eh,1
407.86770400575546,2771.1130456181954,iy,0
636.364201345385,1860.5523648710944,ae,0
327.4839920347014,2829.5723993023244,ah,0
275.2584791110489,2024.9899355758728,iy,1
753.7095429497413,901.5243989195167,ao,0
543.0073626626912,3143.9561024048817,iy,0
537.9995764493865,2005.9543991166393,ah,1
762.0515329195465,1483.8698013585197,ih,1
720.2228958159372,2037.587666600139,eh,1
496.5563919654088,2245.3383095872687,ah,0
800.54413386611,1713.661968669726,ah,1
790.0985537498693,1717.0584621821386,ah,1
583.223934951573,1671.8969261022883,ah,0
670.4407005282721,1588.081219169247,ah,1
642.5978415572326,1631.514031227274,ah,0
490.47237516940453,1480.0992014906192,aa,1
546.3235946263101,1321.8781263100186,ah,1
939.1138027505323,1219.5820224981674,aa,1
499.0271316591533,1114.4877732777184,uw,0
800.87394721564,1939.1436640178777,ae,1
728.2343015623753,2481.261340253987,ae,1
644.8529336414011,1940.1083112815966,ae,1
559.7488273429694,1246.199199765098,ah,1
818.3759115825216,1383.4536956440993,ae,1
522.3987480864703,1720.0679701053357,ih,1
1019.621795141374,1707.5415921818703,ae,1
382.065846743889,2013.7601540718385,ah,1
932.0097439272782,1609.890558728665,ae,1
414.9941776817841,2462.7936881067412,ah,0
810.7140512215701,1614.145597003617,ah,1
912.6336851277217,1955.1744581279959,ah,1
433.88915592781154,1644.5878518022841,ah,1
526.9990320883549,1527.506894965261,ao,1
583.9395242638539,1175.0452913586114,iy,1
462.15145227799985,1797.3178770398379,ih,1
511.7327506288613,1408.4460582188162,ah,0
375.9023235061398,1935.4374900662128,iy,0
475.234470730734,1372.5089452837199,ah,1
813.1727609640143,1034.135889053066,ao,1
746.4373856649278,1871.2139677433656,ih,1
803.5958237035661,1098.8077768069768,ah,1
470.5684831223972,2001.3353662069826,ah,1
639.3534704738447,2354.5402729852817,iy,0
704.4215814319318,2133.8895836228835,ah,1
468.6316104054839,1505.9961523588127,ah,0
436.75521759560615,1042.4566422081623,iy,0
507.3468515225835,1298.3751551521582,ah,1
785.3954437504844,1639.8894342627257,ah,1
441.6521254415975,2078.811955725709,ah,0
559.3482727633797,3238.979270657025,iy,0
