f1-f1,f1-f2,f2-f1,f2-f2,vowel
50440743.30007606,56443111.185024925,56443111.185024925,225309091.47924408,0
23524229.991429567,18524684.930430572,18524684.930430572,860996464.534588,1
40452044.78596986,-12744316.79013831,-12744316.79013831,170915284.78224376,2
