f1-f1,f1-f2,f2-f1,f2-f2,vowel
48161591.08919642,46842446.52314103,46842446.52314103,283652442.88697565,0
6857208.026227525,5258984.413098469,5258984.413098469,73752606.08654618,1
5728520.853317098,-5242863.816678651,-5242863.816678651,157657378.60820323,2
22685336.847761195,-7812146.022730732,-7812146.022730732,42548040.331055656,3
