iteration,log_likelihood
1600,-92436.32930816468
1610,-92168.84835182181
1620,-92391.41113519136
1630,-92202.69464992337
1640,-92204.91275923746
1650,-92260.05518327572
1660,-92253.83495324894
1670,-92137.5026468632
1680,-92157.61202401463
1690,-92187.76798667651
1700,-91967.47501293133
1710,-92157.601352085
1720,-92015.46524701559
1730,-92165.69678769629
1740,-91911.26907212399
1750,-92007.43401571373
1760,-92071.73970349044
1770,-91997.98491618414
1780,-92101.76338497298
1790,-91994.95218513774
1800,-92082.50226823558
1810,-91946.72937860701
1820,-91837.42603624686
1830,-91660.73119190565
1840,-91725.10994716472
1850,-91529.87431645603
1860,-91416.79371353667
1870,-91721.17022727638
1880,-91696.27276663459
1890,-91515.68626001732
1900,-91557.02040454617
1910,-91488.69003874049
1920,-91606.9961934244
1930,-91466.98245273212
1940,-91593.4728195737
1950,-91470.0743351547
1960,-91515.69920321961
1970,-91362.41774826474
1980,-91442.88758570777
1990,-91396.49476496689
2000,-91274.99827242657
2010,-91397.43181274542
2020,-91042.80105042158
2030,-91195.75164525834
2040,-91169.26364013518
2050,-90898.69263953583
2060,-90920.75458917508
2070,-90956.83729738306
2080,-91164.95819379631
2090,-90978.67897413607
2100,-91020.2508034768
2110,-91021.50031198798
2120,-91017.58997743866
2130,-90850.2766124788
2140,-90877.38358122608
2150,-90676.96846077361
2160,-90575.41256799168
2170,-90860.22622317422
2180,-90670.25619348744
2190,-90727.8273818672
2200,-90739.29867524159
2210,-90666.00159052713
2220,-90722.1873747396
2230,-90711.39178032402
2240,-90377.040539678
2250,-90541.89615980818
2260,-90584.97279617088
2270,-90572.06058456897
2280,-90638.69101599851
2290,-90382.73017688213
2300,-90496.62432555214
2310,-90473.34037345994
2320,-90364.77177911528
2330,-90099.71537157879
2340,-90562.50639536385
2350,-90547.28804866776
2360,-90269.38177485604
2370,-90355.71337535346
2380,-90211.41135204615
2390,-90363.38084327732
2400,-90205.39947301487
2410,-90250.59915111889
2420,-90116.24102283988
2430,-90189.22370227416
2440,-90253.45274424698
2450,-90054.48097485267
2460,-90122.47791293071
2470,-89970.1217022533
2480,-90104.82813819722
2490,-90119.9459492859
2500,-90084.15448005532
2510,-89938.22058466938
2520,-89879.16034467774
2530,-89721.7592552815
2540,-89633.73779418656
2550,-89750.69834388427
2560,-89764.0840954526
2570,-89759.22961694337
2580,-89647.11554818266
2590,-89704.28456024242
2600,-89525.05307412491
2610,-89692.70439010976
2620,-89375.89726301152
2630,-89458.52255690165
2640,-89565.06688759291
2650,-89652.38684284614
2660,-89763.83074810494
2670,-89629.7975549347
2680,-89607.35295043091
2690,-89620.08042231399
2700,-89554.78389310375
2710,-89491.85710902783
2720,-89478.910118156
2730,-89502.08721655185
2740,-89423.25288672079
2750,-89463.07115423375
2760,-89375.25991805794
2770,-89594.37173939461
