f1,f2,vowel,learned_cat
443.27489308603856,1680.5796522107216,e,1
636.3765339396286,1893.656613251422,e,1
697.5409163093518,1094.2986571322685,o,0
725.6231681358992,1305.0676856706277,o,0
606.8199981360933,2565.166605546018,e,1
443.21883692337,2179.52625248987,e,1
353.12788280456505,1845.3221882475145,e,2
426.46889820560057,2769.583030876096,i,2
510.54776138977513,2688.449567169986,e,1
963.8716601209298,1757.1840408154012,a,3
485.043981899811,2240.137857456313,e,2
675.2005758440845,1973.4104798151338,a,1
492.24654673210375,1566.0951082798415,e,1
325.53781418352867,717.3931086247842,u,0
492.0577055455653,2185.1620962583966,e,1
463.4193567975015,1477.3693923291087,a,0
821.6046395096173,1806.7434466820755,a,3
494.6006377695248,880.5296500153091,u,0
574.8564577963604,1940.202312253124,e,3
489.8726502996141,1902.9362982231983,e,3
505.62784281515206,2371.5320742578374,e,2
733.276473916903,1283.3396842973732,o,0
453.4145070729372,2157.671800068484,e,2
407.40380564313364,1935.9389424623841,e,2
535.5276109570714,2239.39198504423,e,1
701.4408469163983,1816.9430409393335,e,0
566.4422959147663,2060.283641699997,e,1
523.3929151166838,1894.4776637286072,e,1
525.6189808599531,1570.0941016762506,e,0
647.1985153745909,1791.9560514726577,e,3
440.86205243998774,3098.5633722926004,i,2
659.4093335279862,1634.0507997651994,o,3
766.663287606952,1441.9608521301086,o,3
475.72623591306353,1965.3849886718922,e,2
381.7159914137668,1310.9022293693467,o,0
875.556059030696,1716.9133207847042,a,3
550.9574399127372,1860.890018553369,e,0
487.2164823978475,1486.0055865046575,o,0
444.163892148783,1205.84950820762,u,0
713.0805667556087,1553.4780915559854,a,0
931.7423785800293,1594.524292917633,a,0
676.7881054268556,1403.6486382953753,a,0
506.353452476258,2259.450116529822,e,1
311.53615554841895,2363.5217178085827,i,2
679.5396784702547,2114.85188363864,e,1
256.42358547577874,484.697449518495,u,0
795.6546557229781,1194.2463484195878,o,0
521.7435667014096,1906.2446661064262,a,3
495.7747907431782,1241.5527171571866,o,0
660.3790058431691,2265.5486347305286,a,1
506.5063522518716,1637.5867566573436,o,0
692.2490258069058,1561.465949353058,a,3
291.82417078959554,2741.7881444566738,i,2
353.0865843610667,3086.3892702286257,i,2
445.34970478990675,1302.0282827450892,o,0
505.32198850706135,1414.755095527421,o,0
625.6023412739844,1809.1674130420365,a,3
719.629516744077,1738.7857714281186,a,0
559.7377378626072,1742.3184162967768,e,3
809.2353672179421,2109.6857972452767,a,0
514.6193374342699,2308.739840009739,e,1
536.4443774011575,1669.0611571302325,a,0
776.7640537764797,1794.5393023908737,a,0
749.9636524460739,1254.9271981642933,a,0
529.9794650744684,1405.3997222773964,o,1
583.5620287880772,2219.54045983218,e,1
368.002427670058,920.0630145454254,u,0
582.3984861652071,2458.13662764993,e,1
408.29725453773824,1969.4738920293375,o,3
586.7311901721075,2587.0354943044968,e,1
357.0212540823165,1369.0003299529064,a,0
514.3944995153205,1953.6946411031495,e,1
428.77992878287375,1239.2709738577848,u,0
560.6082422808864,1070.509633608955,o,0
446.54207123061383,1286.4738574229964,o,0
517.4924676516526,1149.6718494514241,o,0
369.6181303649559,1371.8345406994088,u,0
923.3132556540006,1824.8156708938611,a,0
526.6182921393377,2316.4569371311864,e,1
714.4576243029503,1513.3044492881277,a,0
462.2959582724433,2067.5282794794903,e,1
613.9406047021666,1956.7273399626165,e,3
466.41267482863003,1775.5850246312093,e,0
513.6704552687928,2146.4594306704994,e,2
698.8434675559446,1948.684739863717,a,3
625.989752337292,1355.412962168114,o,0
503.4495742095034,2320.4961859588825,e,2
518.4832772260628,1373.1481831748222,o,0
366.6869845570386,2400.4433072140055,i,2
576.6899960427484,1833.8286501723999,o,0
618.4229806118854,1521.2842829016604,a,3
414.07776244312447,927.7075078045705,o,0
627.8485584481637,2248.1426635726307,e,1
480.5885397305423,1532.636066793698,e,0
616.9341109718621,2344.260318210475,e,2
611.9434551015831,1977.9386994480235,e,3
640.3126275269324,1861.3828650953976,a,3
740.8707970282087,1665.7238643607009,a,0
802.9698997435177,1988.0946186272263,a,3
496.8660444840526,1550.8164041773143,o,2
717.4815709308648,1397.2467056751648,a,0
531.8446495207842,1288.8973706727493,o,0
484.56697322067123,1856.3817126045442,e,0
582.0279563153559,1509.8377820856465,e,0
325.8192599475915,2435.5915131861966,i,2
402.30771828483716,1403.8081358533295,u,0
410.53454662597665,1407.0529299567656,o,0
649.4223328798628,1573.8720692822976,e,0
945.1828344861171,1266.2094030711528,a,0
507.91566111209465,1605.6800418787686,u,0
633.6482552448791,1075.4512975522453,o,0
601.3722524409751,2305.702285244993,e,1
429.7578792537224,1340.5785137491637,o,0
540.5078792984582,1825.2767242600048,a,3
514.705654668329,1806.4108725825163,e,1
426.85104203783266,1225.4619218633122,o,0
606.9371787700179,1744.4542932756265,o,0
634.0462329404994,1877.440998313832,e,3
358.81016173926787,2456.4924999823847,e,2
512.9847177617195,2908.5017766014253,e,2
861.7785364953364,1735.6401425436607,a,3
370.95073853452004,1639.1651383744133,o,0
427.15054735157526,1885.8287327237729,e,2
319.98780494710843,1470.7820224748718,o,0
529.8222750582626,2354.2842149869894,e,1
619.9576232586442,1720.5523906472956,a,3
697.1505070944718,1784.4630962979045,a,0
789.0235892953493,1551.0803479959186,a,0
522.7020703092569,1882.9891978391602,a,1
593.1961587702948,1674.2379395038483,a,0
593.2052811973481,1416.2530594176649,o,3
445.84670104229065,1439.1832637830257,u,0
549.2500016694905,1616.7106748153592,e,3
536.7482611032656,2414.990852276447,e,1
436.06934753310094,1560.947146418158,a,2
536.1711073688491,1321.5551740393284,o,0
519.4960374768017,2043.729842695369,e,1
488.59238093047594,1159.7227050362105,o,0
429.0781794676451,2015.4340147851883,e,2
479.81344609366414,1834.9595575139908,e,0
498.93466914238235,2402.7158406611657,i,1
