f1,f2,vowel,learned_cat
667.1382323874634,2210.922689412311,ah,1
411.82164195210163,2514.3523328697024,iy,2
595.3020196698355,1600.3865902161758,ih,1
495.93293652650743,1415.9930718300934,uw,2
732.9139660961229,1977.0141185427801,ae,1
696.7525984716392,2246.5048987779533,ih,1
722.8548294282347,935.3357352746231,ah,1
539.257242931277,867.9759251377221,uw,0
661.2483072151012,2233.2961646201497,eh,2
773.586610069683,1909.0913840181186,ae,1
438.4935949422078,1570.012807185352,ah,1
635.9364247163314,1445.2469092168622,ih,1
571.1705339382908,1668.651080024993,uw,1
883.4913307015936,1341.8064928510985,ah,1
548.125229178028,1880.5761727130082,ih,2
668.0805740609179,1930.8879730695207,eh,1
718.604716045364,1461.2423028059422,ah,1
849.4098954902263,1493.7309552528163,ae,1
725.693134147588,2002.9773627860031,ae,1
617.9668443307634,1503.1883982718582,ih,2
624.328378557948,2535.8386371644706,ih,2
558.0094667873035,2409.9370515656865,ih,2
659.7314039902585,1016.3282244635707,aa,2
747.8777854546695,1666.4647027950175,ah,1
886.1016903333805,1472.8105308735296,ah,1
471.1698304076442,1848.6281594447194,ih,1
675.6532750076345,2019.6049168101613,eh,1
923.4771370668918,1296.1264794700433,ae,1
656.1140894704113,1342.096409373717,aa,1
484.45700673194165,2118.6514754393784,uw,2
521.0622849606332,2963.045526251769,iy,2
814.1329404018254,2243.418510669895,ae,1
770.4804845765487,1718.5285963896404,ah,1
568.5283538875512,1685.8392364762567,eh,1
605.4310063297464,1841.288553438495,ih,1
310.8280623789225,1359.6324353768143,ah,0
411.2461940379057,2116.493457256371,iy,2
433.2551928805227,1646.820991189857,ih,0
348.6266990354295,1700.1316999635212,ah,0
686.9592443441537,1814.3560044225537,ah,1
356.79206104227734,1585.6045901984928,ah,1
744.8130573869731,1831.4649712364817,ae,1
549.2569487065213,1631.6511869216495,eh,2
773.5623163281053,1418.4663760336389,ah,1
660.2924984500279,1446.8838880063036,ah,2
661.5258169378333,1744.4562547022506,ah,2
418.4646465164141,1395.056983895315,ah,0
341.4809355130936,1457.8408302029852,ah,0
765.931089859451,1373.012284499368,aa,1
922.7210593217659,1766.7518751801026,ae,1
539.7545716861003,1693.5341418746707,ah,0
718.9427855779148,1995.2916171636311,ih,1
535.4412187241624,2243.3860724655065,ih,2
660.3980193165531,1638.038861683034,ah,1
522.2332754518416,1243.1862829683766,ah,1
682.8933191728595,1654.5417998628564,ah,1
711.5239950322813,2360.6257193193524,ih,2
644.8474489327045,823.8870593811455,ao,2
201.48677494772738,1821.0856684337298,ah,0
509.1491108069858,2380.821196560727,ih,2
859.8378086714104,1612.4531567622248,aa,1
383.61062035802246,2501.482487696274,iy,2
407.6142906878197,2592.770218216803,iy,2
449.47329616642907,2356.959573293204,ih,2
508.54487556373385,1875.8531159536985,ih,2
683.333898527124,1853.516904614354,ah,1
668.8264216025084,1772.392203162082,ah,1
596.3396313891844,1841.391554911293,ih,2
264.7367343119133,1694.5713878173428,ah,1
786.1702850763199,964.299896237323,uw,2
530.8557965183732,1303.8197866880105,ih,2
823.4390682510459,2054.3139739261605,eh,1
492.19838212212085,2097.075429836698,ih,2
713.9707614606074,2083.7702856244564,ah,1
808.0694288629879,2042.88993361241,eh,1
597.0654507633941,2099.475830757583,ih,2
699.7920107388594,1250.4665622089733,ao,1
430.96256859576414,1942.3954482692236,ih,2
532.3042109369214,2093.7573557667074,eh,2
651.9530376347723,1145.448876209166,ah,1
421.55971100921,2279.178801625636,iy,2
437.3098792290204,1236.3883455055825,aa,0
376.8327974265213,1687.48674771738,uw,1
628.2619326105233,2043.8725482652276,eh,1
382.3056673993156,1476.42770019827,eh,0
376.4359972652168,2081.492564726773,uh,0
556.1165291113745,2512.622296812694,ih,2
298.6795518414314,3021.8803323664742,iy,2
654.3825455618606,2545.744014484875,ih,2
612.5201828804139,1572.4074738526035,ah,1
388.7668969244832,1741.8608858408816,ih,0
575.6999455977212,1641.8841541036982,eh,2
685.299024728376,1904.6644957515973,eh,2
565.6052895568067,1947.1043919950025,ih,2
738.437440117993,1264.6324374848414,ah,1
456.4540826123856,1665.0682564662511,ah,2
712.6925497185799,2022.4763759704974,eh,2
514.9934080005238,2351.262923423596,iy,2
759.8771779510308,1365.1915635393675,ah,1
342.24292851021113,1340.0553911015397,uw,1
356.7786364509617,2556.3648826507574,iy,2
454.19292518961896,2377.219692367057,iy,2
597.034315160514,1474.187060954624,ah,2
457.8523972927377,1611.5644526658316,ah,1
982.874031706589,1841.529716430404,ae,1
351.75095522013595,1813.3016013970062,ah,1
464.9568892684074,1264.8029486743292,ao,1
850.5424010873783,1672.555177717329,eh,1
575.5093795943877,2495.128101866295,ih,2
544.4218968000059,2344.4961627045554,iy,2
649.3550511239702,2095.6993787825004,ah,1
505.80021938100816,1303.2931238827632,ih,2
1039.6603834047428,1616.565107537071,ae,1
677.5874747481225,1859.1168267033786,ae,2
835.2165621255076,1527.9424566154123,ah,1
451.4220898476245,2405.7042302879277,iy,2
500.36765059442007,2720.4907566816255,ih,2
386.60265046526274,2528.23952663258,iy,2
678.4496685454048,1892.8986555688477,eh,1
506.7096451454228,2627.178872587396,iy,2
630.7559255320116,1413.2014488292798,ih,1
514.9305086142859,1854.634771432632,ih,0
592.3042776429803,1641.7177429672472,ah,1
369.78439323272596,2328.2728806338196,ih,1
425.5683065128218,1637.0414201091598,eh,0
459.5540984350274,1958.1897762222966,iy,0
385.4905634733245,1847.6197020245518,ih,0
630.4518754151363,2081.330867470899,eh,2
602.1162637791714,2003.3231099402813,ih,1
532.1386395368711,2052.2682924082637,eh,2
478.49351223724375,2097.7350329131427,ah,2
695.8294342387433,1650.281973289332,ah,1
283.8584408259367,1373.3848765108257,ah,0
760.3951834578789,1834.2609936263564,ae,1
660.3705450232952,1575.3764776329622,aa,1
989.247909702445,1660.704353669904,aa,1
741.727577247633,1325.678658196196,ah,1
573.6634660089408,2701.5251746171016,ih,2
674.6713327509269,1819.7671584322532,ah,1
652.8163718288315,1916.4794393050715,ih,1
489.6551230228617,1790.358536256979,ih,2
486.8565987668061,1512.24064552388,uh,0
697.8723253898746,2197.412230714655,ih,1
544.7107558173385,1480.9778329733817,ah,2
593.6893272976646,1731.8173883823918,eh,0
768.3219012857255,1481.5088187688855,ah,1
286.79359527206384,1699.8621189814644,ah,1
485.1145002244546,2875.3130747523246,ih,2
551.2333721095544,1747.442384558351,ih,1
572.173188806243,1992.3445813852843,ah,1
866.5563133224484,1364.7119644574802,aa,1
561.2335938742918,967.0251048603477,ao,2
1022.5384622285503,1582.2141538994276,ah,1
759.5586193944297,1613.251073901294,ae,1
606.6395164274908,1355.2323414705088,ao,2
788.4064704566318,1324.049734120177,ah,1
439.2466695715136,1949.2816580781518,ah,0
737.7121675836554,1419.2525664762884,eh,1
531.68134869558,2324.294659343362,ih,2
799.3662818327796,2032.6035151234566,eh,1
592.8453071167452,1137.2629942203707,ah,1
929.4282086330187,1577.423580687677,ae,1
790.054524045903,1627.3252618973254,ah,1
711.9662647666469,1645.5159258516946,ah,2
611.4795326252873,2043.8851127978885,uh,1
546.8607619264841,2264.976940549419,ih,2
556.7040692397725,2115.480961636321,ih,2
810.5807542481361,1938.7536727148577,ae,1
445.787951488583,1074.0084461997976,ah,1
657.032988934308,1698.8567090168044,eh,2
515.1333482208187,2358.718329622232,ih,2
591.3353562762773,1708.970874689579,eh,1
569.7942421360148,1624.365119344891,ah,1
523.6760314684714,1700.0167948879625,ih,2
730.3086074415045,1832.978483170303,ae,1
282.12739157642807,2587.429501945465,iy,2
367.1454252784196,1855.1799548368915,eh,1
421.98468690438705,1745.5925694280802,ah,0
527.4462169394362,2286.9325727754563,ih,2
556.8548785965985,1560.4646224044413,ah,1
905.171946491241,1865.1079418472452,ah,1
1079.1764818464615,1719.632781023046,ae,1
503.62795300531894,2487.602020672795,ih,2
715.5407168256057,1720.4555084879212,eh,1
554.3422355291976,2316.290172592787,iy,2
399.4312091810771,2405.5636645412555,iy,2
640.9166023422132,1130.288851126827,ih,1
646.717860838226,1542.3354770391493,ah,2
622.1019226697671,1642.4337723297688,ah,2
599.9822318312204,2095.9509538805182,ih,2
879.7536893591131,1454.4629017578645,aa,1
458.45764238477955,1612.4614928654576,ah,2
623.0622613843028,1636.2652359587014,ih,1
493.46705860579397,1944.6770869775912,ih,1
497.86137306753653,1594.0538932592506,ah,1
436.8790553557725,2558.220997418894,iy,2
619.2155730916335,2016.9182106142898,ah,2
448.57760419338905,1618.2012636386623,uh,2
583.9323910977985,1903.0742172618823,eh,1
634.7243981987929,2099.4540458729466,ih,2
240.92685590340687,1343.6824336155212,ah,1
630.423550621143,2053.8844085055407,ih,1
554.300319197456,2518.00344507403,iy,2
542.117948463411,1928.1543582871213,ih,1
562.1839857943162,2057.8507639689306,eh,2
680.3040493031732,1322.3069239503811,ah,1
688.5268737998211,1757.1743269651201,ah,2
633.944179865641,2143.8489431847215,ih,2
636.6782792247446,1628.9895305881707,eh,1
527.4721964409456,2302.7401968766562,ih,2
519.7845696890902,1939.1928554238652,eh,2
643.1881410093068,1286.5241751893882,aa,1
761.1333785981815,1400.3719449500918,aa,1
404.17159210924797,1980.0051130511267,ih,0
631.484591009478,1956.725228818566,ih,1
635.7963893661334,1849.8973053914535,ah,1
662.9658926705314,1172.9821555637773,ah,2
547.6835743856531,2042.5016712298886,ah,2
416.1238772065024,2111.7224916135847,uh,2
554.8748806290945,2131.461311930127,ah,2
358.51422041228614,2184.7243632843,iy,0
794.5750484911582,1420.5462271671,ao,1
624.9284948145036,1663.335899257603,eh,2
629.2987004538953,2046.1852571682857,eh,1
436.3611375594751,1640.1740464936329,ih,1
960.3304489200361,2314.189115540731,ae,1
723.0980203500483,1876.6254711276886,eh,1
629.6713767497229,1812.6010316086915,ih,2
772.2076773029627,1326.5724966345122,aa,1
527.5006351204021,2353.318967525167,ih,2
424.96808028380724,1112.7339188080223,ah,0
443.29201338384644,2007.5402372589317,uw,2
330.18514190111966,2299.927873962531,iy,2
362.7705838776323,1216.2112768968864,ah,0
700.6327905621365,1404.7919429224933,ah,1
477.5487202288463,2355.8951740879215,iy,1
445.58194615745225,1705.942413395228,ah,2
504.7875067761072,2610.826321069725,ih,2
695.0481874136201,2013.673564179612,ae,1
279.25325410367816,2908.6348422023993,iy,2
590.315181538647,1713.1297717498146,ah,2
463.8037871676153,2304.130124117186,iy,2
558.0786349324319,1323.2751946493722,ah,1
961.9839269400409,1542.0451330989933,aa,1
