speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2
HS10,o,604,1034,2788,60,-2,-146,63,46,-567,-342,sp,ads,0.5886339795696863,-1.528131593278293
HS10,a,675,1612,1655,65.773,-2,14,1441,84,-62,-1590,sp,ads,1.101037141473468,-0.3438717580210335
HS10,e,375,1808,3194,40,-119,-213,-388,-6,109,-158,sp,ads,-1.0640466412185678,0.057711161893192996
HS10,e,427,2105,2973,50,-36,130,-48,138,72,-17,sp,ads,-0.688765452218615,0.6662322191101586
HS10,i,397,2044,2618,50,-14,328,243,-4,-266,-84,sp,ads,-0.9052738304878185,0.5412497797490984
HS10,e,474,2157,2888,60,-47,24,-58,132,192,-212,sp,ads,-0.34956899293019594,0.7727746264343411
HS10,e,390,1704,2951,40,52,142,-57,29,582,146,sp,ads,-0.955792452083966,-0.15537365275517206
HS10,u,382,1094,2982,60,-44,-134,-89,-45,-126,36,sp,ads,-1.0135280196224203,-1.405198046365775
HS10,o,488,897,2800,50,38,251,47,193,-18,289,sp,ads,-0.24853174973790093,-1.8088298587285434
HS10,a,555,1290,2760,55.873,-31,-148,-146,34,-81,-120,sp,ads,0.23500362839665376,-1.0036151264515485
HS10,a,542,1487,2721,49.147,-9,-225,234,4,-160,-289,sp,ads,0.14118333114666554,-0.5999833140887799
HS10,u,210,839,2651,40,31,32,-157,14,-225,61,sp,ads,-2.2548427216991875,-1.9276656207439777
HS10,e,565,2384,3254,80,7,-84,-95,28,118,238,sp,ads,0.30717308781972164,1.2378732122533687
HS10,e,542,2305,2917,139.79,8,404,-96,319,378,-543,sp,ads,0.14118333114666554,1.0760107088185529
HS10,a,633,1816,3019,70,19,60,-106,64,-78,16,sp,ads,0.7979254118965831,0.07410230148152877
HS10,i,359,2251,2785,80,22,134,69,44,555,118,sp,ads,-1.1795177762954765,0.9653705165972865
HS10,e,575,2312,3037,40.356,-18,71,16,-21,139,-4,sp,ads,0.3793425472427895,1.0903529559583467
HS10,a,438,1478,2978,50,36,152,-35,33,-103,22,sp,ads,-0.6093790468532403,-0.6184233461256577
HS10,e,556,2095,2861,190,-55,-76,-12,12,283,31,sp,ads,0.24222057433896055,0.6457432946247389
HS10,u,339,903,2678,100,204,624,885,72,82,-354,sp,ads,-1.3238566951416122,-1.7965365040372914
HS10,a,657,1778,3252,80,31,-39,-77,171,5,58,sp,ads,0.9711321145119459,-0.0037556115630661613
HS10,u,399,1763,2893,39.849,-14,-263,-246,-27,61,30,sp,ads,-0.890839938603205,-0.03448899829119574
HS10,a,752,1677,2766,130,13,-1,52,189,-214,-153,sp,ads,1.6567419790310907,-0.2106937488658053
HS10,o,495,948,2584,38.865,19,144,610,-0.4,43,-167,sp,ads,-0.19801312814175343,-1.7043363438529027
HS10,o,586,1754,3123,40,-129,-414,-399,121,49,-69,sp,ads,0.45872895260816415,-0.05292903032807349
HS10,a,673,1912,3197,60,49,-48,-101,112,27,23,sp,ads,1.0866032495888545,0.27079597654155807
HS10,i,445,2663,3143,50,-87,44,-290,-27,275,74,sp,ads,-0.5588604252570928,1.809514205396579
HS10,o,458,1378,1762,30,-30,65,293,-4,49,261,sp,ads,-0.46504012800710454,-0.8233125909798549
HS10,a,422,1053,2179,30,59,200,1286,-13,-159,-375,sp,ads,-0.7248501819301488,-1.4892026367559956
HS10,e,595,2361,2993,107.967,7,-121,546,52,-66,-100,sp,ads,0.5236814660889252,1.1907486859369034
HS10,i,387,2706,3092,91.67,5,11,248,186,214,97,sp,ads,-0.9774432899108864,1.8976165806838836
HS10,a,756,1536,3522,582.25,23,54,-612,361,384,672,sp,ads,1.685609762800318,-0.49958758411022336
HS10,o,337,1499,3326,70,196,20,265,124,55,293,sp,ads,-1.3382905870262256,-0.5753966047062763
HS10,e,561,1964,2940,30,-285,-72,-93,-20,-31,-145,sp,ads,0.2783053040504945,0.3773383838657406
HS10,e,372,1948,3333,30,15,-30,214,123,1175,613,sp,ads,-1.085697479045488,0.34455610468906905
HS10,o,627,1422,3259,60,-153,-173,-537,143,-274,343,sp,ads,0.7546237362427424,-0.7331613232440081
HS10,o,285,1502,2170,30,78,45,578,47,-52,-266,sp,ads,-1.7135717760261786,-0.5692499273606504
HS10,u,298,922,2900,90,24,-4,-301,75,4,138,sp,ads,-1.6197514787761904,-1.757607547514994
HS10,a,733,1680,2847,140,-93,-34,-57,83,-101,-107,sp,ads,1.5196200061272618,-0.2045470715201794
HS10,e,577,2079,3087,70.664,-85,215,-96,90,148,-131,sp,ads,0.39377643912740307,0.6129610154480674
HS10,a,740,1589,3229,80,-33,-150,72,142,-88,-116,sp,ads,1.5701386277234093,-0.39099628433749883
HS10,e,478,964,2175,30.034,46,1140,702,69,-530,7,sp,ads,-0.3207012091609688,-1.6715540646762312
HS10,i,386,2744,3788,102.749,4,-146,-596,6,195,-84,sp,ads,-0.9846602358531932,1.9754744937284785
HS10,o,517,1164,2539,91.406,-12,43,44,-12,-306,-511,sp,ads,-0.03924031741100413,-1.2617755749678368
HS10,o,415,1334,3035,40,30,109,-17,135,148,126,sp,ads,-0.7753688035262963,-0.9134638587157017
HS10,a,545,1286,2635,52.47,-60,-135,-244,-29,182,1143,sp,ads,0.16283416897358588,-1.0118106962457163
HS10,a,548,1396,2972,40,18,45,16,-0.6,-358,-118,sp,ads,0.18448500680050625,-0.7864325269060994
HS10,u,236,876,2513,38.808,12,-20,46,33,-193,19,sp,ads,-2.067202127199211,-1.8518566001479246
HS10,e,513,2276,3064,54.859,-241,-34,-155,0.9,89,19,sp,ads,-0.06810810118023128,1.0165928278108358
HS10,e,432,1849,2704,100,19,674,-36,42,-116,-219,sp,ads,-0.652680722507081,0.14171575228341385
HS10,o,358,741,2447,106.57,78,145,63,163,-650,-215,sp,ads,-1.186734722237783,-2.1284570807010907
HS10,e,494,1783,2943,50,12,-22,178,79,89,-21,sp,ads,-0.20523007408406022,0.006488850679643697
HS10,e,488,2224,3158,26.061,7,12,-29,-5,122,448,sp,ads,-0.24853174973790093,0.9100504204866533
HS10,e,538,2313,2986,42.115,-29,-192,-23,-31,-175,-283,sp,ads,0.11231554737743839,1.0924018484068887
HS10,e,435,2570,2985,50,29,-146,-8,102,306,84,sp,ads,-0.6310298846801606,1.6189672076821755
HS10,i,422,2367,2994,50,-3,-72,257,1,199,134,sp,ads,-0.7248501819301488,1.2030420406281552
