speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register
s01,ih,423,2213,3117,87.467,-58,-49,-55,-25,-158,318,en,ads
s01,ah,610,1554,2785,153.916,243,85,67,-128,-43,-587,en,ads
s01,ah,567,1726,2872,40,-102,-103,-58,-19,18,120,en,ads
s01,ah,426,1746,2449,44.751,42,64,-260,-75,-64,-165,en,ads
s01,eh,429,2278,2433,41.361,-31,-559,37,-34,48,-655,en,ads
s01,ah,501,1929,3225,51.531,-138,-35,-155,89,0.7,-83,en,ads
s01,ah,410,1947,3264,61.702,-22,-7,17,8,-22,-32,en,ads
s01,ah,593,1902,3249,46.785,-170,-20,-1273,127,106,122,en,ads
s01,iy,504,2903,3274,197.311,-12,-217,-73,-66,-51,-45,en,ads
s01,ah,972,1985,3095,109.844,-143,-119,44,249,-79,16,en,ads
s01,iy,401,2775,3389,50.175,42,-290,-116,26,59,-93,en,ads
s01,iy,560,2113,2752,50,-65,395,229,-29,264,202,en,ads
s01,ah,533,1687,2071,52.209,40,36,-79,49,-166,-38,en,ads
s01,ae,1002,1806,2798,146.458,-116,-300,15,436,65,68,en,ads
s01,ah,860,2100,2911,37.971,-282,-182,-119,-68,-249,-153,en,ads
s01,ae,591,2029,3034,57.398,269,108,-153,169,168,88,en,ads
s01,ah,723,1816,3028,74.12,-129,-117,-351,12,152,-89,en,ads
s01,ah,691,1540,3288,52.888,-70,-114,17,102,121,-23,en,ads
s01,ah,741,1656,3273,185.784,58,27,-73,35,156,-202,en,ads
s01,ih,618,2685,3370,62.38,-131,132,-21,-13,102,-46,en,ads
s01,aa,551,1624,2752,114.589,10,458,591,-127,-77,-447,en,ads
s01,iy,422,2530,2753,88.909,27,-999,-236,19,14,-493,en,ads
s01,ah,613,1982,2662,68.483,-28,216,633,20,166,513,en,ads
s01,eh,516,2003,2459,122.726,86,-262,103,0.3,-125,-930,en,ads
s01,ah,415,1407,2768,301.729,387,199,393,16,21,82,en,ads
s01,iy,432,2482,2940,76.619,56,-1491,-471,-3,-38,-114,en,ads
s01,aa,752,1755,2931,81.365,102,-291,-147,232,-62,233,en,ads
s01,ah,660,1896,2950,76.619,-96,34,149,98,132,468,en,ads
s01,ah,572,1691,2996,39.327,-15,-135,-39,126,-29,-46,en,ads
s01,iy,393,2427,2761,38.648,20,-36,-268,23,243,-239,en,ads
s01,ih,530,2127,2282,55.6,-51,118,863,10,353,-218,en,ads
s01,ih,399,1927,3297,46.495,59,18,-119,111,-17,79,en,ads
s01,ih,590,1961,3268,85.434,-10,10,-8,106,-105,71,en,ads
s01,ah,658,1954,3359,114.589,-65,180,32,80,8,261,en,ads
s01,uw,454,1236,2848,94.248,2,1313,77,16,149,193,en,ads
s01,ah,504,1525,3077,256.301,308,112,-7,-2,100,295,en,ads
s01,ah,521,1755,3312,56.278,-9,-42,-22,60,-55,-2,en,ads
s01,ah,629,1893,3213,42.038,-36,79,55,28,-2,81,en,ads
s01,ih,557,2248,2988,64.414,43,-138,53,162,-15,53,en,ads
s01,ah,349,2022,3163,40.683,61,23,33,101,125,97,en,ads
s01,ah,426,1806,3112,44.763,-14,170,43,156,-255,-30,en,ads
s01,ae,804,1923,3230,82.194,83,-31,6,84,-32,-76,en,ads
s01,ih,589,2319,2919,60,31,-302,-799,155,-115,129,en,ads
s01,eh,594,2297,3363,81.366,8,21,-45,-6,-134,54,en,ads
s01,iy,346,2259,3013,35.258,52,-287,-399,43,45,12,en,ads
s01,ah,653,1733,1831,52.887,-77,135,1162,3,46,-11,en,ads
s01,eh,730,2052,3136,138.321,-34,-108,-93,138,-10,-41,en,ads
s01,uh,411,1447,3292,30.512,108,15,-6,62,-187,189,en,ads
s01,ah,589,1835,3274,38.648,11,270,19,-116,217,-2,en,ads
s01,ao,654,1379,2733,73.907,322,-61,4,115,46,-110,en,ads
s01,ah,698,1421,3117,82.721,-231,80,-56,119,29,-87,en,ads
s01,ah,581,1759,3092,35.936,-60,-2,67,35,-32,123,en,ads
s01,iy,389,2498,3113,52.21,-24,80,153,-10,808,124,en,ads
s01,ah,752,1409,3077,55.6,3,-339,-121,19,-96,-34,en,ads
s01,ae,717,1794,3177,38.649,-126,-76,-112,-11,-85,-24,en,ads
s01,ah,732,1976,3049,33.902,72,-19,30,194,24,-29,en,ads
s01,ae,633,1898,3172,72.551,111,-0.8,-253,-6,-41,153,en,ads
s01,ih,579,2022,2936,67.804,-14,-43,-281,-13,-256,29,en,ads
s01,ih,518,2279,3418,84.077,-24,-25,-116,59,34,100,en,ads
s01,iy,414,2641,3165,140.355,44,-165,-203,44,143,80,en,ads
s01,iy,455,2680,3372,40.004,-88,14,29,-47,133,31,en,ads
s01,ah,766,2199,3129,77.297,-78,191,161,34,242,-15,en,ads
s01,ah,639,1652,3003,46.107,-23,199,86,91,199,97,en,ads
s01,ah,594,1672,2304,44.625,-13,-198,374,51,-127,-23,en,ads
s01,ah,604,2065,3266,67.805,-397,-1505,-1247,-12,74,24,en,ads
s01,ah,529,1871,3141,60.853,-97,41,-5,65,-50,-64,en,ads
s01,ah,731,1632,2644,67.126,2,17,-88,152,-26,36,en,ads
s01,ah,762,2044,3154,72.835,-81,-38,112,88,520,855,en,ads
s01,iy,376,2842,3349,196.145,151,-222,-70,15,-29,11,en,ads
s01,ah,350,1575,2257,181.038,122,58,187,31,172,81,en,ads
s01,uh,313,1310,2782,39.327,-18,-75,114,33,-236,-421,en,ads
s01,iy,338,2788,3323,80.009,2357,381,1237,-276,-97,-28,en,ads
s01,eh,595,2662,3382,39.327,37,189,44,-4,134,123,en,ads
s01,ah,435,1805,2714,27.8,-78,114,92,-91,-93,-230,en,ads
s01,ah,725,1515,3289,46.785,-62,-162,29,126,9,45,en,ads
s01,ae,960,1970,3167,139.135,-167,-86,-38,250,-34,-73,en,ads
s01,ah,606,1992,2133,96.282,35,244,1373,43,481,-141,en,ads
s01,eh,790,1989,3370,61.702,387,-21,19,115,-22,-34,en,ads
s01,iy,632,2648,3415,62.38,-23,-96,-21,22,-12,94,en,ads
s01,ah,646,2178,3223,74.585,-61,216,132,-61,134,13,en,ads
s01,ah,624,1727,3085,38.649,-3,100,73,94,148,232,en,ads
s01,ah,623,1662,3193,51.531,144,-215,-168,101,-256,1092,en,ads
s01,ih,630,2307,3304,136.287,-49,15,61,70,228,29,en,ads
s01,ah,505,1729,2670,153.916,598,342,554,-439,227,-97,en,ads
s01,ah,662,1439,2817,91.633,194,19,5,-12,-226,726,en,ads
s01,ah,543,1521,2819,30,-50,-28,-147,-59,-42,46,en,ads
s01,ah,362,2055,2388,31.19,-57,-155,123,-9,-70,-384,en,ads
s01,ih,335,2296,2301,97.639,83,-21,917,-72,1145,-22,en,ads
s01,iy,343,2589,3062,136.286,120,-385,-345,27,-123,-4,en,ads
s01,iy,309,2633,3066,54.921,7,58,-85,-9,15,-156,en,ads
s01,ah,943,2120,3099,114.589,-200,-39,99,452,-24,-115,en,ads
s01,iy,278,2820,3256,191.887,98,-240,-64,-67,17,-99,en,ads
s01,ih,646,2452,3281,105.57,-70,52,-167,74,47,17,en,ads
s01,ah,491,1526,2871,80,-24,-364,114,78,-508,-328,en,ads
s01,ah,1008,1779,3026,270.755,-149,279,112,-12,-104,-25,en,ads
s01,ah,672,1777,3553,18.307,11,-16,32,-3,-7,6,en,ads
s01,ah,491,1680,2872,40.682,118,95,344,-115,-129,-178,en,ads
s01,ah,584,1267,3355,49.497,-19,-8,47,-22,-134,-139,en,ads
s01,ah,842,2088,3471,96.961,-93,-24,-97,112,-131,29,en,ads
s01,iy,394,2779,3333,137.642,132,-219,13,29,832,380,en,ads
s01,eh,446,1846,2595,84.755,-41,-231,46,-43,90,127,en,ads
s01,iy,574,2646,3448,187.818,45,-124,-39,-11,-101,153,en,ads
s01,eh,759,2086,3071,82.043,17,-34,31,152,-95,-173,en,ads
s01,ih,621,1799,3363,94.926,-19,288,11,-181,242,24,en,ads
s01,iy,597,2865,3334,160.019,26,-116,-11,-8,-71,-20,en,ads
s01,ah,811,1958,3107,57.634,-109,-39,-75,44,36,9,en,ads
s01,eh,828,2048,2852,60.346,-59,-56,63,66,-13,228,en,ads
s01,ih,594,2336,3289,84.779,32,20,-84,16,-9,23,en,ads
s01,ah,599,1726,3045,46.861,-15,177,-0.9,-40,-58,-32,en,ads
s01,ih,506,2034,2650,37.97,-44,22,-372,12,106,150,en,ads
s01,iy,316,1964,2914,33.902,-66,241,24,-2,361,34,en,ads
s01,ah,551,1638,3213,27.8,53,-47,-9,66,7,-117,en,ads
s01,ah,842,1684,3034,51.531,-301,-175,59,197,20,-20,en,ads
s01,ih,444,2462,2556,91.535,-24,-146,508,70,171,37,en,ads
s01,iy,379,2555,3086,94.248,92,-313,-482,58,-133,-57,en,ads
s01,ah,569,1890,3206,48.141,10,-98,27,22,14,-11,en,ads
s01,ah,491,1943,2953,40.381,-17,115,127,32,21,48,en,ads
s01,ah,479,1996,2954,42.039,-30,-53,-70,93,-11,-56,en,ads
s01,eh,556,1588,2382,78.418,-21,-143,-219,-21,-154,-224,en,ads
s01,ah,842,1992,2953,43.495,-163,-185,21,91,261,34,en,ads
s01,ah,505,1315,2541,40.004,-105,-37,94,18,-137,-19,en,ads
s01,iy,506,2334,3144,56.956,-50,-173,113,128,183,145,en,ads
s01,ah,343,1628,2841,23.054,37,-74,-164,-6,-58,18,en,ads
s01,iy,371,2334,3077,50.579,9,-77,38,40,300,112,en,ads
s01,eh,357,1677,2892,31.868,419,274,181,-6,102,208,en,ads
s01,ah,437,1829,2859,59.668,-59,-75,52,85,23,8,en,ads
s01,ah,883,2027,3084,42.039,92,92,-83,-290,64,-119,en,ads
s01,ah,1017,1892,2724,65.092,-114,148,285,578,-25,-129,en,ads
s01,ah,343,1444,2660,56.099,-118,27,138,-40,-92,-275,en,ads
s01,ah,552,1653,2822,29.156,-83,110,217,105,138,92,en,ads
s01,ih,555,2220,3064,58.311,-90,44,-45,37,53,91,en,ads
s01,ih,487,1996,3263,27.122,13,28,-112,36,6,-27,en,ads
s01,iy,575,2218,3173,67.804,-116,-230,-243,-30,1,63,en,ads
s01,ah,488,1811,2844,41.36,18,89,98,60,155,136,en,ads
s01,aa,471,1044,2353,65.77,382,603,569,17,-821,-985,en,ads
s01,ah,845,1793,2877,101.029,-292,-1004,-700,485,127,248,en,ads
s01,ah,744,1724,3175,207.482,209,154,37,-75,222,-292,en,ads
s01,ah,686,2095,3376,63.058,40,-69,-93,58,-1,-105,en,ads
s01,ah,629,1345,2371,40.005,-81,707,160,-66,-738,-893,en,ads
s01,ih,565,2234,3196,69.161,-83,79,-5,77,-50,-96,en,ads
s01,ae,627,1854,3210,269.183,-12,-369,-1122,216,802,908,en,ads
s01,ah,726,1783,2664,136.964,-33,-123,-493,75,-144,-476,en,ads
s01,ih,482,1577,2007,74.426,24,-90,72,21,19,-99,en,ads
s01,iy,392,2943,3535,294.463,16,-61,-47,-58,277,179,en,ads
s01,ah,594,1803,2933,165.178,35,432,157,-169,-11,-168,en,ads
s01,uw,392,1714,2704,286.813,-4,558,63,29,553,-63,en,ads
s01,ah,638,2282,3043,73.907,137,-179,104,191,-280,332,en,ads
s01,iy,404,2754,3283,49.498,-4,27,59,26,288,144,en,ads
s01,ah,592,1994,3424,96.87,-78,43,-45,194,52,1299,en,ads
s01,ah,705,1457,2787,163.408,169,310,-25,184,-106,66,en,ads
s01,ah,300,1932,3339,40.005,9,-77,-213,-488,-79,-21,en,ads
s01,ah,708,1725,2736,51.531,-120,-60,-775,-5,167,-23,en,ads
s01,ah,824,1026,2653,56.278,-239,-26,-34,87,-345,-49,en,ads
s01,ih,553,1876,3169,152.56,2,-121,-93,182,-56,-31,en,ads
s01,ih,569,2613,3331,65.092,18,97,6,29,-250,286,en,ads
s01,iy,384,2652,3367,40.004,-23,84,-20,-15,194,282,en,ads
s01,iy,557,2356,3239,57.534,41,-249,174,128,45,-7,en,ads
s01,eh,682,2137,3111,44.751,8,-34,-32,-33,39,-11,en,ads
s01,ae,797,1938,3116,96.96,-34,29,24,86,66,35,en,ads
s01,eh,655,2246,3092,92.214,-66,224,105,-27,253,156,en,ads
s01,eh,767,2102,3268,166.799,-116,-248,-295,133,-16,25,en,ads
s01,ah,608,1517,2843,255.622,255,93,270,-45,88,-34,en,ads
s01,ae,648,1409,2226,25.766,59,-142,-14,76,-472,46,en,ads
s01,uh,488,2188,2863,57.634,-9,122,80,47,224,111,en,ads
s01,ah,376,1766,2861,13.561,29,-3,-38,33,-29,-81,en,ads
s01,ah,504,1651,2311,40.004,-33,-8,53,99,4,-298,en,ads
s01,ah,565,1736,2840,58.312,10,181,71,128,138,41,en,ads
s01,ah,552,1860,3136,48.623,34,-106,-41,172,-27,-35,en,ads
s01,ah,481,2041,2241,25.088,7,-130,-37,25,-77,-519,en,ads
s01,iy,355,2712,3021,79.331,-0.5,-196,-41,3,465,180,en,ads
s01,ah,535,1449,2067,40.682,-26,-69,170,-37,-103,33,en,ads
s01,ih,414,1662,2569,51.74,3,-127,-114,66,-476,-41,en,ads
s01,ah,406,1957,3037,22.465,-25,-34,-34,24,-89,9,en,ads
s01,ah,796,1501,2104,65.012,-93,-225,257,171,-44,-531,en,ads
s01,ah,667,1841,1893,39.327,-59,-57,285,-8,183,-6,en,ads
