,f1,f2,vowel,learned_cat
0,473.92938357725245,2289.955958759682,iy,0
1,648.1083452437235,1443.7062910678228,ah,0
2,397.39994834480285,1910.475728807108,uw,0
3,907.1149841013242,2423.238798515179,eh,0
4,292.8327180495761,1322.0870127591002,uw,0
5,650.3710430344419,1838.9010956822992,ah,1
6,464.1508555480865,2478.2861880175947,eh,1
7,538.2814504802897,2643.9783822535805,iy,1
8,509.6987983481381,2274.0760338292293,ih,0
9,607.8856042973212,1777.639623622567,ah,0
10,483.9185317443601,1789.8315472053139,ih,0
11,541.6711757518539,1783.031419064495,ah,0
12,642.539534831791,1749.2273774728737,eh,0
13,994.6124443521652,1532.0336914734953,eh,0
14,601.4552113745872,1921.1690014034548,ae,1
15,643.3749378023905,1228.2320252246132,ah,0
16,569.3762122370625,1238.404514115151,eh,1
17,563.0630971121114,1975.6137764253676,ae,0
18,477.5234218682177,1570.4248763182727,ah,1
19,472.3789402087737,1869.3095322547651,ih,0
20,490.5200719580606,1685.478179632916,ah,0
21,660.9809677095184,1658.7942201640258,ih,0
22,620.4257488625067,864.3365094688991,ah,0
23,325.1360875983203,2558.4393738468602,iy,1
24,657.6624512470854,440.5605787549507,ao,1
25,727.4955721203216,1707.0813790639456,ae,0
26,636.5823004147657,2037.888957773371,eh,1
27,536.6190159120412,1953.7027177143789,aa,0
28,716.0745519028403,1714.8119810376738,ih,0
29,599.2288211185163,2510.2147873100425,iy,1
30,489.9438329452224,1391.839670128665,ah,1
31,298.86842664216687,2018.1046603323293,iy,1
32,725.7207662939919,1095.5856460618113,ae,0
33,714.6950181219316,1737.1713225358978,eh,0
34,914.4694596598538,2061.5097173373706,ah,0
35,701.7361845014071,1413.1364019522644,ah,0
36,637.779304398933,1286.2185517497765,aa,0
37,787.1605955814366,1503.6833041393202,eh,0
38,756.9773592237551,1729.507909246885,aa,0
39,629.0434655382878,1556.3976119794258,iy,1
40,673.4442403071563,1905.9484158143969,eh,0
41,571.5349210508915,2314.3850686499254,iy,0
42,779.87201756586,1729.5499282930048,ah,0
43,433.39177513892395,2238.832366756294,iy,1
44,468.47807628201423,1101.0450398486264,iy,0
45,496.07818847918423,1549.6720715984418,ah,0
46,378.90622655652254,2034.7218205265103,iy,0
47,539.4027707986208,1189.1867919004171,uw,1
48,532.0894750353838,1950.9963649021047,ah,1
49,718.523389647938,1798.5950571658714,ah,0
50,519.7799975846547,1284.7355076660465,uw,0
51,533.9896819245796,1963.8239088262526,ih,0
52,554.2291494727026,2397.5601575522455,iy,1
53,436.37207906267815,1577.9983933761778,ah,0
54,626.6719033695529,2512.2287009295287,ih,1
55,782.4359348264485,1678.680994737209,aa,0
56,842.2032254088331,1916.784787281802,eh,0
57,415.1646025306775,1770.750249746793,uw,1
58,737.6329334372572,1849.8796412639774,eh,0
59,371.55366682319175,2161.8362827146184,ah,0
60,838.7488481115707,1220.7149516014415,iy,0
61,561.3937607038489,2602.665379292184,iy,0
62,675.6946723936198,2062.9470405102334,ae,0
63,417.3013828920959,2440.4096294854135,iy,1
64,626.3017212316987,2144.4136834418214,ao,1
65,772.2513879121069,1832.492667491999,ah,0
66,483.93568768591615,1601.7606032795081,uw,0
67,622.3250253591865,1104.347156316728,ah,0
68,377.7725187993568,2098.5424146086857,iy,1
69,472.03123127492125,1754.5210853032715,iy,1
70,723.1790565622166,1893.4491428591186,eh,1
71,944.4888501993889,2195.875877544262,eh,0
72,326.4349893833156,1980.2542524132837,iy,0
73,821.8583382044912,2018.5429789643163,ae,0
74,679.9970981279961,2070.147916302519,ah,0
75,556.1125445604202,2020.3642223319885,ih,1
76,301.07661783492574,1584.4041766423948,ah,0
77,658.0332983199158,2022.8308824089222,ih,0
78,532.4758462822791,2226.0242123223557,ih,1
79,798.7253083945335,2369.0370491127587,uh,0
80,501.11096814057515,2014.8485406095751,uw,1
81,601.8836576737897,1688.9577211028738,ih,0
82,471.6764603650092,1764.997919507689,ah,1
83,558.976564601827,1468.1597757597372,ah,0
84,662.4458170609926,1895.93026623573,ah,1
85,670.0354458400375,2047.2914126395167,ah,0
86,409.94531473612653,1140.0833082138429,iy,0
87,777.1412858571695,2220.360159880935,ae,0
88,561.1358244317876,2122.963102592942,iy,1
89,446.62347300674946,1028.9910712363962,ah,0
90,829.7375095174875,1658.8697621456631,ae,0
91,494.66699571238405,1889.4825608001813,eh,0
92,569.2167494493452,1290.4926989761723,ah,1
93,644.6936131028145,2375.961890145509,ah,1
94,604.1837362806123,1795.5858229327262,uh,0
95,778.8712231506361,1278.7363599181044,ah,0
96,604.4811446426928,1613.6795922387932,ah,1
97,607.8790772718309,1039.4206489728342,ao,0
98,726.2524180847173,1078.218225606219,aa,0
99,658.0017007283892,2118.5200608534074,ah,1
100,735.0333974249596,1365.3066826400268,eh,0
101,197.76368845822964,1470.3025730751528,ah,1
102,756.9048914187154,2122.439587391306,eh,0
103,645.8298800328714,940.9732545320725,ah,1
104,586.9823825415734,1662.1157779198913,ah,1
105,541.9470915758628,1213.4820382595785,iy,1
106,617.42177835158,1651.4109617941303,ih,0
107,533.1225839414668,1464.1633084608438,iy,0
108,387.4147170053127,2702.936673454588,ih,1
109,418.0875695330414,1284.7715674530823,uw,1
110,593.9050796508783,2370.5659899642596,ih,1
111,386.98246899690196,1897.3000277665842,iy,1
112,570.1891624887414,1449.5373248802755,ae,0
113,727.4181251404036,2155.46391214254,ah,0
114,418.62793125152353,1973.2747409197063,uw,0
115,465.9300203869699,949.9392745978942,ah,0
116,691.0871542738325,1888.1563655376053,ah,0
117,652.900085374826,2194.1895488868217,ah,0
118,490.1458346618425,1605.4669369280568,ih,0
119,644.2289146413509,1593.6428862139578,ah,1
120,610.1986363995463,1651.5794299960316,ih,0
121,770.3814567002837,1726.5745619176691,ah,0
122,433.35530635310704,1691.7610466045962,ah,0
123,774.6656619899832,1477.3974984699112,ah,0
124,684.9531400845063,1777.4446212671405,ih,0
125,497.55495261182864,1107.3334409245494,aa,1
126,322.77160588547696,1896.5315919599502,ah,1
127,501.21909359700646,1243.844892119024,ah,0
128,591.4637939760995,2023.6020212822643,ah,0
129,532.2192015347791,2099.074221809699,ah,0
130,681.8441848899366,2127.8684893725517,ae,0
131,455.82366072086097,2122.98517379193,iy,1
132,541.1802646282696,1879.673603475445,ah,1
133,540.9984640657924,2409.1509734475794,uw,1
134,545.3212688225259,1868.5881152202026,ah,1
135,857.8344700968064,1631.4992998130863,aa,0
136,667.9382371224775,1341.7148646975236,ah,0
137,424.4930438895749,1227.3018765118165,ah,0
138,648.2048544395236,1554.7002435034626,ah,0
139,308.0436527731995,1532.5367144719464,iy,1
140,371.7435506547869,2473.1818025664465,iy,1
141,468.7830012659393,2022.570664209466,ah,1
142,635.4370939896836,1317.4317340388716,uh,0
143,573.7503879686483,1725.3808480591151,uw,1
144,776.4010807433825,2179.754464957449,ah,0
145,945.4345027601817,1988.0433806300177,ae,0
146,553.5432716024425,1163.2878092030887,ao,0
147,517.216541144504,1426.7911674885704,ah,1
148,520.8536899302918,1786.956257146123,ih,0
149,569.8740687322661,1261.0430920785611,uh,1
150,444.92357197050444,1524.4631803840555,ah,1
151,586.2752365929074,1766.2305857932408,ah,0
152,680.7328554760412,1729.1871766327256,ah,1
153,694.5852006777866,1992.5909147034658,uh,0
154,512.9389508026536,2225.3606036711208,eh,0
155,782.0633625384768,1746.4466121931032,eh,0
156,657.3269720073944,2181.13602685405,ih,0
157,686.1720669983083,1149.8097839588386,ao,0
158,611.6692916222977,2218.9995638558653,ah,1
159,540.1446327582672,1992.0411880823233,ah,1
160,473.63932966044916,1879.5266801736532,ah,1
161,377.52893613340007,2532.5017432459026,ih,1
162,433.29177627784696,1356.306291598288,ih,1
163,541.5675232415007,2033.3501379935321,ah,0
164,483.4423863789547,2173.9850490296494,iy,1
165,523.702865225902,1899.1469838173011,ah,1
166,454.7959451401017,1361.8410210743805,ah,0
167,573.0280042112507,1353.135162846614,ah,0
168,797.4642140134533,2028.6648994611494,ah,0
169,894.111431615854,1935.802736288176,ae,0
170,748.2169295222523,1551.7682197661225,ah,0
171,446.8168133406193,2282.6271640830214,iy,0
172,851.7096887021096,1686.1269938525659,ae,0
173,270.5373761532485,1507.4445182178442,ah,0
174,534.6367346509396,1908.0389567838604,iy,0
175,284.63896538799764,2552.3909082274286,ih,1
176,622.6305977901543,1340.1270145098147,ah,0
177,764.8640775858217,1756.9358478997212,aa,0
178,650.2661489435297,1947.0834683752103,aa,1
179,733.9859612823238,1730.8752726247255,ah,0
180,353.1573636058697,2026.2951684779596,ah,0
181,995.7390888736153,1644.6778770932617,eh,0
182,531.0414342849336,3647.918302854759,iy,1
183,543.1611783366513,2531.4104275528475,ae,0
184,756.6532085828477,2046.8187170017911,ih,0
185,455.2983443576678,1293.6943163572894,ah,0
186,728.4932978267825,1936.3597644270792,ah,0
187,484.04395881894436,1681.6581078600382,ah,1
188,328.4961489813794,1116.6354097462404,ah,0
189,787.7621024732427,2085.3461725950306,ah,0
190,469.47039536771075,1274.996157264965,ah,0
191,556.2276689237877,1931.4299601759549,eh,0
192,561.1894166800872,1326.9833920425485,ah,0
193,636.3718746852048,1864.1046681526848,ih,1
194,539.2006516705184,1534.5730610735027,ah,0
195,690.0801569036266,1958.501874327402,eh,0
196,719.3779331170014,2044.1080739063923,aa,0
197,676.4370136982644,1933.7283555979968,eh,0
198,466.0349495015641,2683.9838089689338,iy,1
199,425.59186181328903,1352.9134904148318,ah,0
200,785.3341894853678,2070.9681239026104,ae,0
201,312.39701050457234,2005.444849333664,ah,0
202,686.8588788313511,1361.8973639271248,ah,0
203,617.350368895364,1768.2993338311371,ao,0
204,737.3560920611211,1768.185322546533,ae,0
205,584.9992408734988,1728.431332444128,ah,1
206,486.76201219560687,2472.113230152785,iy,1
207,578.1606598664744,1919.1039880870103,ah,1
208,908.9387274215085,1572.0602620736686,ae,0
209,443.52128770500644,1653.7937815936098,iy,1
210,653.284030466305,2155.247992421117,ih,1
211,414.6100045835546,1985.6995120527909,iy,0
212,603.9960394828653,2395.9680837013166,ih,1
213,393.25204572138057,2739.6834953638936,iy,1
214,467.51078555914,1806.0914109744224,ae,0
215,479.10150417862855,1299.0604820395301,ah,0
216,560.2009084432292,1802.2039086379923,eh,1
217,849.5059244992549,2415.8008464669247,eh,0
218,551.5243415365887,1293.6805429720612,uw,0
219,870.2182566382312,1592.6765054310915,eh,0
220,589.3304335245293,1647.202907675889,ah,0
221,450.8329420439227,1608.0925653123486,ah,0
222,637.4546018476203,2318.443941584994,ih,1
223,565.3941816367596,2023.7781373173352,ah,0
224,626.2085523997991,1992.4670455176308,ah,1
225,531.0586489807472,1641.4471847697573,iy,0
226,579.1737875962754,1417.610172143986,ah,0
227,536.9293964235496,1684.8221574311815,uw,0
228,442.6811318502337,1179.1136513404847,ah,0
229,468.7410137798095,1964.6622636096179,ih,0
230,477.4092436774173,1891.1753470743038,ih,1
231,767.4490151797316,1142.7481285416256,ae,0
232,475.96438723792176,2162.8551378436564,ah,1
233,509.20009845117164,2423.7364623203107,iy,1
234,468.2471315768681,614.5669556355817,iy,0
235,575.6395938735349,1476.9461354662453,ih,0
236,581.3264791216295,1422.6024603969506,ae,0
237,551.19810817959,1672.0272960038942,ah,1
238,782.9842586366314,2020.6749647604288,eh,0
239,757.0853545243074,1919.5867271236386,aa,0
240,433.43450082570524,1251.7649515496425,uw,0
241,531.9835344106957,1345.8857935454434,uw,0
242,732.816398720432,2124.3532948845004,eh,0
243,718.6312998391733,1969.0228407467453,eh,0
244,625.939061689307,2253.5281149382026,iy,1
245,915.4679841873866,1570.0817871687354,aa,0
246,576.5795458080463,1675.4802709657033,iy,1
247,637.9777297883131,1997.0883491246034,eh,0
248,612.5795062320869,1254.8067420726015,ah,1
249,712.3639945049179,1722.4820966389323,ah,0
250,684.8163768740862,2039.23607177673,ih,1
251,746.3632084181326,1263.3379689402113,ae,0
252,459.3744948272325,1252.9268678711492,ah,0
253,328.71800691905213,1812.468498271939,ih,0
254,573.4314031524541,2104.734004004032,ah,0
255,842.9510136869729,1565.2480766099768,aa,0
256,540.9981847061945,1335.5695390068793,uh,1
257,496.0690493530819,2794.9167927126446,iy,1
258,883.2889477644617,1995.3817071484464,ae,0
259,791.703887326286,2163.7004615545497,ae,1
260,394.54460423816283,2207.150581169206,iy,1
261,562.9719714863359,1552.0143879232685,iy,0
262,766.3671958765116,2160.2717647580357,aa,0
263,459.70202780196325,1675.5139119004077,ah,0
264,766.004533825403,1459.3211746658367,ah,0
265,759.3608181435195,1468.5471846291423,ao,0
266,220.1772869528226,1900.0081982536688,ih,1
267,453.9206716013256,1527.0901934034007,aa,0
268,798.4864514191398,2018.922871976784,eh,0
269,584.2899287418263,847.8200919054984,ao,1
270,540.9601266745033,2342.573506790741,ih,1
271,687.9392136513943,1550.035061735469,aa,0
272,567.6654075535212,1415.5162946887012,uw,0
273,610.3941372324713,1896.0036721950505,ae,0
274,786.4607341943928,2598.882548225266,ae,0
275,805.3933927268391,2469.677957894763,eh,0
276,764.3254408942905,1884.4452682502586,ah,0
277,593.5718557617881,1926.5211660824348,ih,0
278,425.3583419225534,988.5216911320751,iy,1
279,494.8129116836143,1988.976420606158,ih,0
280,700.8465512299975,1395.6985433276684,ah,0
281,435.7743482088412,1909.8328829292543,iy,1
282,824.0417134628892,813.3522883058322,ah,0
283,570.3626361358863,1333.968735699988,iy,0
284,380.0085201154035,2110.2423470444155,ih,1
285,621.3824628330154,1794.4869532124997,aa,1
286,619.9387746549055,1211.7240195399982,aa,0
287,670.5926211283829,1485.6669885966905,ah,0
288,542.9432916798717,1283.1550264189405,iy,0
289,770.7751842362218,1799.7875327527715,ae,0
290,431.5855760833367,1704.2835746616115,uh,0
291,762.480712885651,1175.1324551491207,ao,0
292,792.1516329234689,2232.785263957775,ah,0
293,789.9851649066853,1737.8199388671624,eh,0
294,356.4657204959921,1410.3737263860678,uw,0
295,437.3745299589817,1670.1951203078338,ah,1
296,819.3356274356521,1820.41107511673,eh,0
297,753.0342281578638,1642.1003566695665,ae,0
298,644.3871044057662,1646.8860120574816,ah,0
299,638.5201257302595,2037.54026994423,ih,0
300,330.88504840133805,1519.491579971925,iy,0
301,709.7711657397563,2077.9910628177477,eh,0
302,765.670766604638,2382.293082878652,ih,0
303,587.3527905322491,1561.8064910407484,ah,0
304,402.00934684309556,2258.382786918077,iy,1
305,884.3160066842813,1968.0676833401305,eh,0
306,358.5610013310659,1796.383903984384,ah,0
307,758.5289651892122,1589.8379515291886,ah,0
308,486.7313761109082,1530.5222883854076,ah,1
309,651.0547111652211,2082.5865858013026,ih,1
310,500.1343506545423,2098.942648556099,ih,0
311,411.3211837142154,1038.171155056097,iy,0
312,534.2578016093881,2136.724860547401,ih,1
313,442.5991559431674,2233.1928656328737,ih,0
314,500.1649759447651,1781.4851941868737,iy,1
315,647.1078142897746,1300.0317887878512,ah,0
316,534.7680870861767,2333.3479044862934,ih,1
317,578.5335640753586,2193.6210139155555,ah,0
318,390.2123127127322,1920.5371466877116,ah,0
319,963.6085458727501,1516.5172104662413,ae,0
320,642.9951461136648,2502.334301789653,ah,0
321,530.8759645860631,1929.065142506931,uh,1
322,570.4696304188703,1115.9940067938373,uw,0
323,459.60029786129434,1329.4892652974256,iy,1
324,486.8751785906678,1053.968057312643,uw,0
325,497.2561884116312,1912.209649990468,eh,0
326,628.5684432574755,1739.816935229088,ah,0
327,475.50917355433097,1534.9920860382313,iy,0
328,710.4133731261002,1948.6695778815995,ah,0
329,606.1010451985828,1901.9061327563063,ih,0
330,981.2751046574249,1408.114192919007,aa,0
331,717.9339832268093,2260.88416933607,eh,0
332,663.185127803414,1810.9754715106315,ah,0
333,701.2215668797824,1349.4384470440482,ae,1
334,742.9354947722761,1504.7226609698066,uh,0
335,405.6802710056869,2151.0055079505846,uw,0
336,398.18078373361953,2684.2220460782605,ah,1
337,801.7395575965936,1949.745554720086,ah,0
338,606.2438353256445,1949.808788285924,ah,0
339,697.4930478032155,1846.169609937287,iy,0
340,599.4702748501949,1610.5499869599696,ah,0
341,435.7613796246124,971.347835792992,ah,1
342,542.1876358964705,1757.5882080672916,ih,0
343,512.5574168390607,1450.555732771872,ih,0
344,526.4135589189673,1773.9530436743785,ah,0
345,458.8845377027376,2443.2401648216373,iy,1
346,464.4926363216769,1384.0169878629597,ah,0
347,473.931904862423,1803.9761076123646,ah,1
348,574.9509330581833,1671.0139518736187,ae,1
349,555.636485191379,1309.0815779944664,ah,0
350,602.3051000689692,1320.3870297846856,ih,1
351,520.3747297905609,2040.7681085800623,ah,1
352,383.63467002672166,2386.8945034765325,ah,1
353,777.6292721344494,1811.6722184743671,ae,0
354,542.3758541424427,938.7646818816676,ah,0
355,582.468122504698,2191.542057926905,iy,0
356,722.8832944891819,1419.8576175715154,aa,0
357,645.3692190947733,688.6821713087571,ao,1
358,490.2834145369031,1949.4990840410378,ae,0
359,418.2070140956695,2653.028976566055,iy,1
360,517.8880591899637,1911.7591108400982,ih,1
361,728.7858071451258,1557.206430862746,ae,0
362,404.910951124088,1604.3255948826736,iy,1
363,739.8012453973472,1936.1684464971368,ah,0
364,486.8569788064526,1415.4559768976744,ah,0
365,738.7987370598448,876.8904008073908,aa,0
366,508.43813765559855,1299.4960086365907,ih,0
367,575.6963616573628,1858.5428841180926,ae,1
368,561.6407120904018,1303.3925667982921,ah,0
369,393.425148994444,1983.9166057930834,eh,1
370,663.2642193607284,1816.5476627784344,ah,0
371,730.4611544921229,2357.8023575723855,ae,0
372,608.8145542093982,2033.9941970989173,eh,0
373,892.6062300183373,2360.781115426503,eh,0
374,528.5582109105599,1546.3161412821457,uh,0
375,860.5834108618104,1561.1444168031055,ah,0
376,628.4961263209435,1763.890810120691,ih,0
377,611.8010952785319,1393.597366989889,ah,0
378,475.2049829823259,1953.918909941791,iy,0
379,658.8591897869727,884.7898415095,ao,0
380,804.8028902289092,2369.491499352981,ah,0
381,412.8023788962405,1678.3678944674914,uw,0
382,611.3155241831294,1383.6404300838215,ah,1
383,496.8731947257656,1740.599090906287,ao,0
384,729.9101388752773,2365.863903848875,ih,1
385,697.516588982544,1731.2231181814877,uh,0
386,693.0954674868076,2007.7624440296736,eh,0
387,588.5592754907245,1437.2315965120738,ah,0
388,658.6964174597783,2107.658835195301,ih,1
389,625.9609904432467,2208.785985811667,ih,1
390,547.4291005291568,1432.7028233240521,ah,0
391,499.44321348328737,1474.0107767475968,ah,0
392,739.6618567440049,1626.4535357782822,ah,0
393,538.7638719154813,1512.1521292427522,ae,0
394,486.3531151014896,1797.1969501149772,ah,1
395,606.2005986986046,2112.1428036115944,iy,0
396,498.8811064278647,1838.9586511193206,ah,1
397,526.3300237729067,1688.3798429217718,uw,0
398,491.7208243077445,1511.9528366894801,iy,1
399,622.8761984834255,1703.886823214525,ah,0
400,772.9477048560923,1095.7502193925582,ah,0
401,464.2901886331806,1949.6327423409882,iy,0
402,330.5565271223105,2127.0644231886786,ih,1
403,605.5781546952744,1754.2945932105147,eh,0
404,784.538309104513,1363.4830228688757,ae,0
405,783.9909940224932,1895.5762727091646,eh,0
406,709.2971733746256,1483.1638824016507,aa,0
407,617.5821733316424,1514.993929342531,ah,1
408,477.45065783126563,1236.2611708326842,ah,1
409,500.41970158193044,1751.549045602406,ae,1
410,622.9564051358387,1492.343379358103,eh,1
411,378.7776136228057,1148.5163995869266,ih,0
412,691.3507243255048,1643.3543876054728,ah,0
413,620.3715866591242,1548.4210127929098,eh,1
414,866.149336980793,2055.2922381652565,eh,0
415,422.1931197858486,1001.087033024919,ah,1
416,561.5860503760731,1099.2552948307994,uw,0
417,647.8429085991702,2300.3120352017363,ih,0
418,684.4090587627137,1856.7487635978705,uh,0
419,602.6122117484385,1701.2841520530756,ah,0
420,486.9872514736502,1800.9982396589298,ih,0
421,755.7351579357119,1180.8394984490992,ao,0
422,687.99435721953,1340.464376937544,ae,0
423,413.73775247730896,1436.7217645629376,ah,1
424,934.7035199176224,1046.1923652284872,aa,0
425,372.42738523195396,2820.1628037277064,iy,1
426,555.8937560956845,1931.327954974302,uw,1
427,707.6388515638569,1321.8070551285398,ah,0
428,844.1873943492982,1627.573898864937,aa,0
429,410.2063224269819,2488.2073769325257,iy,1
430,951.3281129233352,1613.6370668999064,aa,0
431,678.7638699904667,2742.5427537622513,iy,0
432,899.6345209104245,1516.765925006521,ah,0
433,645.5529992291682,1762.0638260220937,eh,1
434,386.81706273786233,1624.04136374544,iy,1
435,769.041315984279,2225.981086967004,ah,0
436,647.3932994533869,1667.9321762656077,ah,0
437,384.86375224583475,1223.6944912668737,iy,0
438,770.4548085554762,2232.7106701456673,aa,0
439,508.71875936195704,3359.826199442805,iy,1
440,417.9874464720365,2814.4988429821997,iy,1
441,778.36057047325,1745.2315800655922,ah,0
442,394.2325613493317,1240.0514967918139,uw,1
443,627.131378394081,1487.2057470641548,ah,1
444,577.5495336270598,2091.2154614525684,ah,1
445,769.1301958302698,2315.7480942334787,ae,0
446,473.8575920791946,1982.7898142967995,ah,1
447,837.6958325926049,1549.7126679495325,aa,0
448,591.400002465523,1820.6641512502783,ah,1
449,585.419430252211,1438.5595073714198,ih,0
450,579.9844928151437,1529.3512176675936,ih,0
451,352.55035299859225,1763.999439860093,ah,1
452,856.6028145843499,1219.1085569278837,ah,0
453,625.6649910446209,1880.4357453725906,ao,0
454,773.1962643171539,2138.680419801133,ah,0
455,743.9685472093283,1416.8463864911932,ae,0
456,1019.2224664590628,1481.3359428583776,ae,0
457,700.1112746892652,1413.7531582851893,ah,0
458,655.1384235738997,1968.6202126801638,ih,0
459,422.03200784734423,942.6423101411609,uw,0
460,808.0942344944987,1715.4745751084536,aa,0
461,605.4239674958816,1751.9318753318928,uh,0
462,604.4442500759902,1684.8277803388387,ah,0
463,677.7467304613685,2315.715968938257,aa,0
464,534.8553584202078,1429.956318865679,ih,0
465,504.42654361622135,1239.38696833199,ah,0
466,509.87275369353705,1959.0114881880004,eh,0
467,596.4955472382499,1750.191761675077,eh,0
468,380.9758351236015,1818.3190886953662,iy,0
469,778.1382673172825,1448.7536937953173,ah,0
470,559.8302722795457,1843.2142946038812,ih,1
471,520.2514049065437,2058.020302911188,ah,1
472,662.0996203434568,1929.3109390883621,ih,0
473,655.3886434232118,1294.249583373895,ae,0
474,720.698449947245,1705.0094321001848,ah,0
475,1091.5303271966511,1828.9585898694709,aa,0
476,808.8347451651296,1926.5562225413528,ae,1
477,644.922403228063,1845.4377319574946,ah,0
478,719.516923006331,1838.319333932297,ah,0
479,794.9085536422898,1890.5113000445124,eh,0
480,531.2721930233698,1817.2978676528428,ah,0
481,690.1858193387609,1848.072496775675,ah,1
482,735.9739713476611,2103.926112502545,ah,0
483,382.81612897685454,2121.3196147897193,ah,0
484,526.4226438458091,1618.96852192685,ah,1
485,502.61134898302936,1178.7647536487593,ah,1
486,581.8836812527135,1879.5563742671052,iy,0
487,582.5819191157511,2547.789140075811,ah,0
488,735.7768021949748,1859.1743341059414,ae,0
489,460.3109122558865,2364.361372867237,iy,1
490,835.4669665893394,2086.649731532214,ae,0
491,756.4317393487772,1849.218447190963,ah,0
492,537.9476305018678,2031.7760425063059,uw,0
493,291.9170953820793,1584.437469967711,ah,0
494,630.8235772984513,1541.560914018084,ae,0
495,821.2726587446307,1920.3196178019111,ah,0
496,691.3858924093158,1352.4599792155125,ah,0
497,678.9189218124592,1554.0492155688667,ae,0
498,522.8502772047437,1851.381604740664,iy,1
499,581.252693578021,1596.0067446267367,ah,0
500,532.6005114500292,2063.270412995792,ah,1
501,629.8135283812632,1806.6764820664514,ah,0
502,635.6183914783767,2232.1488091339274,ih,0
503,232.17697910188795,2033.0495757120116,uw,0
504,708.6858787943058,2146.310828150322,ae,0
505,846.0508325179876,1635.1715835734744,ah,0
506,481.41670481306267,1229.8175507673445,uw,0
507,424.6641949592841,1971.5076453940624,iy,1
508,230.33287994214527,1318.2571674509118,ah,0
509,605.5200142535457,2433.185529724311,ih,1
510,515.2855963844418,2439.67240270904,iy,0
511,546.9557579474476,1757.4164780537794,uh,1
512,611.2245436986952,2308.006156830088,ae,1
513,618.426706962473,1811.1521192514901,ih,1
514,607.2263036529132,1977.539669571189,iy,1
515,614.3388574551495,1352.1653595350112,ah,0
516,711.4332661764224,2198.8800314328137,ih,0
517,587.6847373382177,1621.0469498608225,ah,0
518,490.77640799629734,2063.3939839192053,iy,1
519,839.0237164352278,1607.690374160696,aa,0
520,981.0679114279081,1090.581310765112,aa,0
521,419.85576988801967,1738.4271920669385,ah,1
522,647.7522996645437,1189.16879481653,ao,0
523,790.2362544763591,1339.231444094146,ih,0
524,647.2101434994925,1509.2457866216382,ah,0
525,732.0632844081571,968.6784386508268,uh,1
526,556.680531585602,1485.7657115511738,uh,0
527,678.2856879764565,1820.2643250672356,eh,0
528,853.3282300627641,2005.6189948485396,ae,0
529,515.5358347300703,2751.9632344551746,iy,1
530,432.03438711997063,2031.8763024405325,iy,1
531,677.4164959722267,2250.232310692022,ah,1
