iteration,log_likelihood
2370,-88538.90333670034
2380,-88422.14977217783
2390,-88604.69860445557
2400,-88501.61229125202
2410,-88732.74303792979
2420,-88616.3072177139
2430,-88372.11070552377
2440,-88379.95297969096
2450,-88272.9967548092
2460,-88342.87463318357
2470,-88427.9173906981
2480,-88440.66337162344
2490,-88359.35023560753
2500,-88168.64538695963
2510,-88275.10175331903
2520,-88157.46920010533
2530,-88259.61560225453
2540,-88182.77573775215
2550,-88180.29782527527
2560,-88082.45325548056
2570,-88202.25116867568
2580,-88189.78025926916
2590,-88280.50971988073
2600,-88190.99433204983
2610,-88140.24151752195
2620,-87976.59154067116
2630,-88106.72092029177
2640,-87879.35877829531
2650,-88147.031315394
2660,-88162.9839298928
2670,-88070.94799714092
2680,-87964.41188334778
2690,-87991.9864486193
2700,-87888.98621486344
2710,-87992.26672003417
2720,-87946.64576041349
2730,-88137.95904099394
2740,-87701.14770840056
2750,-87775.2568559587
2760,-87913.4369176773
2770,-87649.52052809765
2780,-87866.68571224062
2790,-87776.38143037826
2800,-87755.05274940665
2810,-87877.1506222158
2820,-87951.21054731823
2830,-87788.69169791279
2840,-87814.3617570849
2850,-87707.97155804676
2860,-87843.24150735745
2870,-87728.6307825995
2880,-87757.90258548915
2890,-87543.93929626652
2900,-87832.67014469611
2910,-87524.39748079458
2920,-87837.68839798092
2930,-87667.0679179478
2940,-87529.78274167943
2950,-87442.12147308407
2960,-87407.22123025937
2970,-87350.37146569199
2980,-87408.57622594587
2990,-87541.07335718142
3000,-87292.12715701154
3010,-87281.50464062704
3020,-87375.3749799148
3030,-87313.60183602093
3040,-87285.72110829351
3050,-87108.17300695156
3060,-87085.13841337287
3070,-87116.20426903092
3080,-86906.31744077423
3090,-87170.8929569099
3100,-86918.75166341284
3110,-87034.53920686546
3120,-86919.62923731696
3130,-87060.4495071781
3140,-87203.15695081327
3150,-87005.88859020897
3160,-86996.78977023927
3170,-87046.10971850173
3180,-86897.42937152863
3190,-86940.0097645506
3200,-86985.79228489229
3210,-86661.43187803088
3220,-87143.38059542267
3230,-86760.52978815245
3240,-86718.8797801402
3250,-86597.28736087366
3260,-86790.52133956285
3270,-86508.90312781566
3280,-86654.33491913913
3290,-86656.67863268172
3300,-86453.35380512459
3310,-86463.979603913
3320,-86715.32649405397
3330,-86519.29796156903
3340,-86632.45687245352
3350,-86627.06530750683
3360,-86496.78762619483
3370,-86574.67296696678
3380,-86429.99002552437
3390,-86463.2910895472
3400,-86324.7381363835
3410,-86106.79940444758
3420,-86358.83350857579
3430,-86318.23575631667
3440,-86101.35168807181
3450,-86008.18736870518
3460,-86094.59279497033
3470,-86197.96689497774
3480,-86181.60183915845
3490,-86270.67314637595
3500,-86152.43922271547
3510,-86090.59835466782
3520,-85984.2796692301
3530,-86222.780137835
3540,-86171.01451611718
3550,-86219.80429035591
3560,-85840.0788255322
3570,-86201.85433965738
3580,-86176.71084144674
3590,-85962.34190449314
3600,-85993.6204978147
3610,-86162.05929038316
3620,-86035.19469498447
3630,-86080.79346407313
3640,-86005.49715412005
3650,-85976.41817951998
3660,-85638.27775320859
3670,-86037.08956679328
3680,-85943.51790966753
3690,-86018.61259346301
3700,-85743.69355626672
3710,-85986.00852320285
3720,-86082.48522759124
3730,-86214.43514111034
