iteration,log_likelihood
3940,-85487.07949030201
3950,-85872.86508334905
3960,-85864.23177859244
3970,-85610.49388982992
3980,-85380.3257503844
3990,-85469.85099462714
4000,-85524.15761418348
4010,-85468.8931962434
4020,-85417.6138268717
4030,-85445.00871116716
4040,-85129.646008928
4050,-85177.55148360145
4060,-85305.16640757566
4070,-85217.80397125427
4080,-85026.72740319655
4090,-85119.92626559587
4100,-85040.98829456142
4110,-84873.91506825377
4120,-84861.74854137181
4130,-85106.3936351141
4140,-84960.41533861436
4150,-85179.08499089268
4160,-84872.76136100205
4170,-84973.88045853344
4180,-84936.15842897861
4190,-84678.86318904537
4200,-84762.41025186211
4210,-84675.3471269575
4220,-85086.67477684944
4230,-84974.10958423158
4240,-84992.9632665725
4250,-84942.1945523926
4260,-84760.66980754485
4270,-84814.70368979256
4280,-85122.54978641377
4290,-84639.28595626063
4300,-84760.07669468588
4310,-84768.77273918911
4320,-85068.87507177309
4330,-84912.94506411582
4340,-84892.4300405131
4350,-84610.55141783495
4360,-84664.20732112824
4370,-84784.84089114082
4380,-84646.25035412623
4390,-84732.6719665641
4400,-84359.08357824032
4410,-84369.48794183534
4420,-84535.68188451673
4430,-84703.29192834171
4440,-84522.56146898145
4450,-84313.26011758376
4460,-84819.34630564823
4470,-84795.85857296915
4480,-84481.50265098065
4490,-84506.50784521337
4500,-84643.1043545253
4510,-84544.21474227188
4520,-84629.50099533831
4530,-84543.76751548714
4540,-84645.61733497283
4550,-84523.36399188027
4560,-84660.96568598377
4570,-84553.30051219274
4580,-84596.15505416592
4590,-84524.42278692039
4600,-84199.90836314992
4610,-84524.49263507611
4620,-84010.88040685083
4630,-84142.0964639847
4640,-84013.47427826427
4650,-83924.28167932146
4660,-83975.09759609049
4670,-83819.96602862346
4680,-83935.60253864515
4690,-84118.87161431942
4700,-83840.34262206126
4710,-84119.43437716244
4720,-84139.65520009553
4730,-83905.7699710541
4740,-83821.74908280454
4750,-83778.38960454188
4760,-84326.71490936782
4770,-83895.5114915065
4780,-83897.33974668724
4790,-83909.09573386375
4800,-83791.97430620976
4810,-83712.367339263
4820,-83968.10242795298
4830,-83835.5847658516
4840,-83691.13948714624
4850,-83610.97928673637
4860,-83928.17300803933
4870,-83951.80969259625
4880,-84108.9692358908
4890,-84090.42181575687
4900,-83873.24235834923
4910,-83761.94979245149
4920,-84144.08453578598
4930,-83766.85126927389
4940,-83792.6132498205
4950,-83686.11858218288
4960,-83377.32645507378
4970,-83248.59637700487
4980,-83026.2574613601
4990,-83125.2482301689
5000,-83693.52570815347
5010,-83188.84042886205
5020,-83420.80481120545
5030,-83242.95038786122
5040,-83562.59849123505
5050,-83560.84717401126
5060,-83373.5733970337
5070,-83305.8495483055
5080,-82860.17124332476
5090,-83005.65815961514
5100,-83013.3138497569
5110,-83244.8956959368
5120,-83074.3389399884
5130,-83174.48821402922
5140,-83230.59472231324
5150,-83211.21646102867
5160,-83070.045032069
5170,-83090.33267198125
5180,-83025.05852255385
5190,-82791.52018746152
5200,-83317.33391438592
5210,-83458.58420701452
5220,-83254.97162936412
5230,-82923.7078015331
5240,-83078.12781975143
5250,-82905.48172034413
5260,-83223.853211285
5270,-82755.26339523091
5280,-82650.33045707256
5290,-82619.18109136555
5300,-82762.84311452802
5310,-82732.15872182377
5320,-83076.0525992217
5330,-82732.5236164494
5340,-82789.47169367032
5350,-82921.87486140932
5360,-82672.34495275251
5370,-82378.3824363578
5380,-82660.54505525384
5390,-82401.13314134793
5400,-82581.76330142525
5410,-82579.48025882096
5420,-82391.06816361543
5430,-82155.26431335871
5440,-82334.95474973539
5450,-82534.84127106378
5460,-82451.77265234172
5470,-82366.3693466456
5480,-82627.98412979228
5490,-82608.04513452786
5500,-82503.39602056216
5510,-82361.42666853355
5520,-82253.11865312656
5530,-82332.80055864752
5540,-82344.36992141184
5550,-82116.9438579155
5560,-82504.62241262989
5570,-82161.23933677658
5580,-82378.08819767903
5590,-82760.86241139214
5600,-82488.33941299138
5610,-82568.77798200918
5620,-82362.94373824314
5630,-82078.6138915694
5640,-81975.68331911387
5650,-82056.1736049705
5660,-82460.32405902042
5670,-82177.54903412322
5680,-82195.0236848548
5690,-82339.4612669029
5700,-82392.54091225882
5710,-82189.61086282633
5720,-82091.33785065191
5730,-82015.36534680479
5740,-81986.69051506021
5750,-82189.70362993686
5760,-82190.01221901402
5770,-82242.29570111417
5780,-82322.3437718001
5790,-81973.8483934877
5800,-81925.50437526382
5810,-82018.51973150719
5820,-82062.75585901305
5830,-81973.22700304147
5840,-81908.20943121226
5850,-81933.63620237442
5860,-82119.83481128338
5870,-81903.59897225144
5880,-81818.787584684
5890,-82090.29979214835
5900,-81866.76964970281
5910,-81843.55113990413
5920,-81793.38148042672
5930,-82051.24104652998
5940,-81594.51837837735
5950,-81965.8098194327
5960,-82047.1727086725
5970,-82138.1156328404
5980,-81840.46730918736
5990,-81794.03470299311
6000,-81511.891461728
6010,-81249.28947718364
6020,-81366.21310266203
6030,-81282.94769778811
6040,-81950.26374188223
6050,-81620.95657194995
6060,-81633.28639760002
6070,-82093.98341298217
6080,-81742.49195758702
6090,-81639.04519364564
6100,-81410.74552288422
6110,-81355.33993454016
6120,-81372.98726731347
6130,-80976.03549675396
6140,-80926.21627098862
6150,-80946.63274000735
6160,-80776.64371118133
6170,-81078.3595694186
6180,-80912.53322466175
6190,-80511.83151119911
6200,-80620.24133918674
6210,-80946.48778755734
6220,-81037.53462442424
6230,-80763.06694065956
6240,-80692.220527091
6250,-80945.77090854237
6260,-80843.53927238741
6270,-80870.24380657636
6280,-80869.2253010984
6290,-80753.59328369841
6300,-80856.39054594655
6310,-80583.623534518
6320,-80738.6970837075
6330,-80455.7886320289
6340,-80337.42028609969
6350,-80375.88489416018
6360,-80298.94000021985
6370,-80302.24417826056
6380,-80604.85745767859
6390,-80246.18204664686
6400,-79647.80690085137
6410,-79858.57639070431
6420,-80100.85006756685
6430,-80325.00008113541
6440,-80104.39696847842
6450,-80016.48998941225
6460,-79898.41478467599
6470,-79829.5754548513
6480,-79968.9551280861
6490,-79883.76037117191
6500,-79605.62265172572
6510,-79531.39788704766
6520,-79828.38158001442
6530,-79589.90697083378
6540,-79581.99269369592
6550,-79920.31438270072
6560,-80023.86456685829
6570,-79913.9402280046
6580,-79796.98933714558
6590,-79377.28570929158
6600,-79021.51488304419
6610,-79223.6722245801
6620,-79574.03538470354
6630,-79393.27618949692
6640,-79556.3031596515
6650,-79218.16562660247
6660,-79651.26503054882
6670,-79542.43205309326
6680,-79214.60814537405
6690,-79204.69090812333
6700,-79331.86093646592
6710,-79024.84704943621
6720,-79219.77155520133
6730,-79617.1483916371
6740,-79875.07402672205
6750,-80056.32012419356
6760,-79312.73543863908
6770,-79165.6789485973
6780,-79620.06796573887
6790,-79766.75486142267
6800,-79590.26331248762
6810,-79875.47741476132
6820,-79768.92044405633
6830,-79881.56959168146
6840,-79890.32222247975
6850,-79875.53559926992
6860,-79612.16708555372
6870,-79026.47246892366
6880,-79178.67253505082
6890,-79057.37651070078
6900,-79531.81942183411
6910,-79212.72004285187
6920,-79660.69201780354
6930,-79466.80345621481
6940,-79041.38447582946
6950,-79605.23183989726
6960,-79611.70421157507
6970,-79535.42408438862
6980,-79511.60766537473
6990,-79436.92596753516
7000,-78823.39224865382
7010,-78365.30598142499
7020,-78425.21528162976
7030,-78901.59378209853
7040,-79074.500931063
7050,-78871.06350253528
7060,-78825.5649987431
7070,-78334.09598929815
7080,-78042.59380078115
7090,-78352.76878533336
7100,-78184.12655801768
7110,-78125.71713717848
7120,-77935.23327443865
7130,-77739.60834992088
7140,-77482.81464227769
7150,-77876.47758258577
7160,-77614.25358822105
7170,-77619.48822499783
7180,-77638.71205675871
7190,-78011.95769181612
7200,-78067.63808418068
7210,-77610.41161885529
7220,-77836.25409365534
7230,-77768.29659317821
7240,-77623.61873515358
7250,-77662.96856490397
7260,-77683.87128357773
7270,-77858.4531662422
7280,-77587.33904560086
7290,-77471.49601633757
7300,-77440.86696048075
7310,-77334.12006914786
7320,-77594.48365883954
7330,-77538.54294128045
7340,-76889.46510744978
7350,-76935.872840275
7360,-77815.45432018417
7370,-77971.0954282804
7380,-78019.00533354763
7390,-77929.17690438523
7400,-77819.13252471203
7410,-77596.25105953681
7420,-77284.73401356339
7430,-77259.30525812038
7440,-77402.68890576427
7450,-77609.044199254
7460,-77191.53904335886
7470,-76321.14096240385
7480,-76246.96633336938
7490,-76794.77904806419
7500,-76382.9781296599
7510,-76219.29827135436
7520,-76574.48052833395
7530,-76138.12372565048
7540,-76311.38834573994
7550,-76032.11692246028
7560,-75783.1380885974
7570,-76168.52991555163
7580,-75676.33601477974
7590,-75730.25073169105
7600,-75643.2400531972
7610,-75440.92492512625
7620,-75710.8090412558
7630,-75937.58152053598
7640,-75864.01729312999
7650,-75661.14205756092
7660,-75919.05733695914
7670,-75723.47275548626
7680,-75414.29960860652
7690,-74895.98674482256
7700,-75815.27275434797
7710,-75496.61496376395
7720,-75532.57259850384
7730,-75463.65947133137
7740,-75404.89718367095
7750,-75263.38528478374
7760,-75503.73637204857
7770,-75715.53539416523
7780,-75978.68900306246
7790,-75768.28585755036
7800,-75568.6229785096
7810,-75318.39457574961
7820,-75244.89471045592
7830,-75563.27409554532
7840,-75534.17621513548
7850,-75616.40497669057
7860,-75375.41131876006
7870,-75372.97917160606
7880,-75518.50033385839
7890,-75562.52745524448
7900,-75416.86316502382
7910,-75375.56825672396
7920,-75265.2914605062
7930,-75014.64794340463
7940,-75019.16568176984
7950,-74687.01600933565
7960,-74805.42793041683
7970,-75243.87043195197
7980,-75235.1908526954
7990,-75072.55918023958
8000,-75449.73727624412
8010,-75251.42622150933
8020,-75149.6129524138
