vowel,f1-f1,f1-f2,f1-f3,f1-duration,f1-df1_on,f1-df2_on,f1-df3_on,f1-df1_off,f1-df2_off,f1-df3_off,f2-f1,f2-f2,f2-f3,f2-duration,f2-df1_on,f2-df2_on,f2-df3_on,f2-df1_off,f2-df2_off,f2-df3_off,f3-f1,f3-f2,f3-f3,f3-duration,f3-df1_on,f3-df2_on,f3-df3_on,f3-df1_off,f3-df2_off,f3-df3_off,duration-f1,duration-f2,duration-f3,duration-duration,duration-df1_on,duration-df2_on,duration-df3_on,duration-df1_off,duration-df2_off,duration-df3_off,df1_on-f1,df1_on-f2,df1_on-f3,df1_on-duration,df1_on-df1_on,df1_on-df2_on,df1_on-df3_on,df1_on-df1_off,df1_on-df2_off,df1_on-df3_off,df2_on-f1,df2_on-f2,df2_on-f3,df2_on-duration,df2_on-df1_on,df2_on-df2_on,df2_on-df3_on,df2_on-df1_off,df2_on-df2_off,df2_on-df3_off,df3_on-f1,df3_on-f2,df3_on-f3,df3_on-duration,df3_on-df1_on,df3_on-df2_on,df3_on-df3_on,df3_on-df1_off,df3_on-df2_off,df3_on-df3_off,df1_off-f1,df1_off-f2,df1_off-f3,df1_off-duration,df1_off-df1_on,df1_off-df2_on,df1_off-df3_on,df1_off-df1_off,df1_off-df2_off,df1_off-df3_off,df2_off-f1,df2_off-f2,df2_off-f3,df2_off-duration,df2_off-df1_on,df2_off-df2_on,df2_off-df3_on,df2_off-df1_off,df2_off-df2_off,df2_off-df3_off,df3_off-f1,df3_off-f2,df3_off-f3,df3_off-duration,df3_off-df1_on,df3_off-df2_on,df3_off-df3_on,df3_off-df1_off,df3_off-df2_off,df3_off-df3_off
aa,16592.14836228108,6699.807865103488,21303.859113475177,1672.0652616391662,-6246.174498697352,-1638.589509118541,-11072.007692430163,6527.843380228687,2588.651412722536,5474.145192357794,6699.807865103488,42704.873388334054,22315.216879432624,-1912.7765394789405,-3339.2042822405556,-4188.42602431611,-11691.39772760168,4447.304874800984,11282.885037776812,12869.593031697785,21303.859113475177,22315.216879432624,194146.58975177305,3584.413429255319,-8828.29864893617,-7988.394329787234,-97305.86416312057,8070.524609929078,12242.665734042554,87428.43808510638,1672.0652616391662,-1912.7765394789405,3584.413429255319,3621.8325430757036,-3.5892922533651985,888.773812518237,1102.00386136561,-256.25239295093354,-1428.1539216628312,-2348.189747083804,-6246.174498697352,-3339.2042822405556,-8828.29864893617,-3.5892922533651985,18287.970775271384,7474.246022036474,19264.982129266176,-3053.9654264003475,-1436.7545899913157,-7558.893689535389,-1638.589509118541,-4188.42602431611,-7988.394329787234,888.773812518237,7474.246022036474,38325.64406489362,33974.84958449848,-2987.679402431611,2722.8864214285713,-11791.448403039514,-11072.007692430163,-11691.39772760168,-97305.86416312057,1102.00386136561,19264.982129266176,33974.84958449848,185916.4282528586,-6964.771919467362,-6113.987928918801,-60122.41500460269,6527.843380228687,4447.304874800984,8070.524609929078,-256.25239295093354,-3053.9654264003475,-2987.679402431611,-6964.771919467362,12666.816933275439,4836.775262440296,14300.47022353452,2588.651412722536,11282.885037776812,12242.665734042554,-1428.1539216628312,-1436.7545899913157,2722.8864214285713,-6113.987928918801,4836.775262440296,34064.269920907514,31521.572960573165,5474.145192357794,12869.593031697785,87428.43808510638,-2348.189747083804,-7558.893689535389,-11791.448403039514,-60122.41500460269,14300.47022353452,31521.572960573165,194584.0866778984
ae,19104.28325533139,-9431.498734645573,2285.9544467699097,1076.0994672255315,-4680.750927973653,-2525.2517907260067,-3675.243555636523,8761.137426279452,-3755.4637306348523,5091.721557369795,-9431.498734645573,65437.20762686732,45908.18356536205,-68.90390672812674,-4241.640084055687,-18096.124307416165,-22837.371312748728,-3380.5797988284176,33303.34756098698,16082.994671177315,2285.9544467699097,45908.18356536205,110503.62426552484,2443.004365469005,-4701.672219821438,-13974.872677123729,-57839.79958908933,4222.272038242137,24502.10280486427,46163.17809922394,1076.0994672255315,-68.90390672812674,2443.004365469005,5585.929485828927,-1060.6547162293002,4217.544290862343,55.26292764818244,-633.5827763088556,-422.8789788386984,-1618.4820192837567,-4680.750927973653,-4241.640084055687,-4701.672219821438,-1060.6547162293002,14277.746232322463,4839.003263908307,9902.547396843958,-1690.7914415154878,-3283.1096350525772,-4493.054753270009,-2525.2517907260067,-18096.124307416165,-13974.872677123729,4217.544290862343,4839.003263908307,64089.043674265806,48785.43229774006,-3517.6070143369648,-7798.607977705048,-12647.1250573818,-3675.243555636523,-22837.371312748728,-57839.79958908933,55.26292764818244,9902.547396843958,48785.43229774006,117024.70748934004,-5267.151159445485,-17517.27617613423,-37592.941507760654,8761.137426279452,-3380.5797988284176,4222.272038242137,-633.5827763088556,-1690.7914415154878,-3517.6070143369648,-5267.151159445485,26285.85540940001,7274.330407807209,14894.38160342413,-3755.4637306348523,33303.34756098698,24502.10280486427,-422.8789788386984,-3283.1096350525772,-7798.607977705048,-17517.27617613423,7274.330407807209,64522.80485854453,42917.82227015529,5091.721557369795,16082.994671177315,46163.17809922394,-1618.4820192837567,-4493.054753270009,-12647.1250573818,-37592.941507760654,14894.38160342413,42917.82227015529,122017.44590295489
ah,23539.198229015823,57.44010731080059,13157.998250814135,5196.926193453204,-5859.074872246679,-2194.9737382301973,-5181.165546278838,4709.913596484307,1810.8837850451857,5073.118014685969,57.44010731080059,71452.4423487935,31177.070006150498,-1579.7051335493225,-1823.2883950134349,-14006.198647752535,-9385.427234422099,2539.3690651589627,8460.875518847464,7021.049471407518,13157.998250814135,31177.070006150498,156957.8006843715,5052.228452668494,-5753.023938437575,-11513.527354841242,-62094.18172503525,4798.150363688641,11433.882788678971,60230.365367736376,5196.926193453204,-1579.7051335493225,5052.228452668494,5957.669413201415,370.05102655395797,811.1848175130881,-678.6794249423997,-49.01961266001207,-693.7828761867638,550.885375060927,-5859.074872246679,-1823.2883950134349,-5753.023938437575,370.05102655395797,19894.374678551365,11095.9949981346,15406.676143256756,-2832.6931603880666,-1025.333696914913,-2610.554802464709,-2194.9737382301973,-14006.198647752535,-11513.527354841242,811.1848175130881,11095.9949981346,46708.37543881697,31620.035484767115,-2844.7245611033395,1884.4134067774883,-6155.142987809522,-5181.165546278838,-9385.427234422099,-62094.18172503525,-678.6794249423997,15406.676143256756,31620.035484767115,123612.28759976511,-3515.868801945297,-7387.384565345141,-33995.92307938762,4709.913596484307,2539.3690651589627,4798.150363688641,-49.01961266001207,-2832.6931603880666,-2844.7245611033395,-3515.868801945297,13616.563086019081,5897.931484011931,10830.795306714192,1810.8837850451857,8460.875518847464,11433.882788678971,-693.7828761867638,-1025.333696914913,1884.4134067774883,-7387.384565345141,5897.931484011931,38376.297683977995,31467.55945586926,5073.118014685969,7021.049471407518,60230.365367736376,550.885375060927,-2610.554802464709,-6155.142987809522,-33995.92307938762,10830.795306714192,31467.55945586926,138574.8237514512
ao,24426.81767923134,18015.9160137965,25748.126114806604,2860.2976071692533,-4989.039569844789,-931.1360522296133,-13612.823716678986,8118.936962798719,7364.46376053215,-5000.889925104706,18015.9160137965,68160.97775806849,32559.44078837152,71.90189610741561,-3812.9620113328406,-12370.918846021188,-7128.371928553831,10308.77954520818,39125.499802414386,14288.509162847991,25748.126114806604,32559.44078837152,168934.4706873614,8859.721113481153,-25.40932446415373,5931.301840847499,-63827.4973022912,6946.992858339492,27443.380570091154,44386.69881941365,2860.2976071692533,71.90189610741561,8859.721113481153,5318.013383597881,1344.410430761764,2522.5149703552597,-1984.1985435560482,584.2711891786155,-1561.3923989120472,-1418.0042043375215,-4989.039569844789,-3812.9620113328406,-25.40932446415373,1344.410430761764,15156.141521261394,16874.212630204485,13186.101435525992,-1442.0060448386303,-3582.252885833949,-3451.353775806849,-931.1360522296133,-12370.918846021188,5931.301840847499,2522.5149703552597,16874.212630204485,78558.15703454053,30625.392539049026,-3709.140738605568,-11050.308220251294,-19382.853862527718,-13612.823716678986,-7128.371928553831,-63827.4973022912,-1984.1985435560482,13186.101435525992,30625.392539049026,129262.91957989652,-3510.0310458240947,-8087.669633752155,-26628.417437546195,8118.936962798719,10308.77954520818,6946.992858339492,584.2711891786155,-1442.0060448386303,-3709.140738605568,-3510.0310458240947,12497.806233456517,12355.454179600887,10180.544277161862,7364.46376053215,39125.499802414386,27443.380570091154,-1561.3923989120472,-3582.252885833949,-11050.308220251294,-8087.669633752155,12355.454179600887,66852.14674698202,38053.60532421779,-5000.889925104706,14288.509162847991,44386.69881941365,-1418.0042043375215,-3451.353775806849,-19382.853862527718,-26628.417437546195,10180.544277161862,38053.60532421779,121908.96121419068
eh,12142.604145601263,-1301.4950119582961,8413.74000906757,1717.4294208455683,-3252.0620251695336,996.2100200646328,-3382.4684266134914,2794.446307432771,2129.5422958078307,286.37376772331965,-1301.4950119582961,64834.371948174274,40887.11888918763,1060.7143467287337,635.664456661061,-17578.74343707968,-18377.906229678014,813.0736666543658,21997.707743297116,19096.02116778342,8413.74000906757,40887.11888918763,139190.1863323967,1860.8090222362805,-1709.61144880953,-17910.667316579416,-63255.23745959098,4492.74517198332,17630.273607347368,40155.94421060027,1717.4294208455683,1060.7143467287337,1860.8090222362805,2281.457948880267,-485.0594099820125,1075.7809966040688,-118.97163173773951,-93.64348799120656,846.7885461158934,274.52930112321525,-3252.0620251695336,635.664456661061,-1709.61144880953,-485.0594099820125,14623.723567614034,5610.634270826572,8680.264539393494,-208.55382563602146,-1683.5121904347882,-1002.353685519345,996.2100200646328,-17578.74343707968,-17910.667316579416,1075.7809966040688,5610.634270826572,59107.95662853213,45740.447549355085,-2014.9232523904468,-6962.981043008598,-12934.18624873211,-3382.4684266134914,-18377.906229678014,-63255.23745959098,-118.97163173773951,8680.264539393494,45740.447549355085,112966.0355138011,-2193.4344749363145,-10508.313340766272,-27572.087680787703,2794.446307432771,813.0736666543658,4492.74517198332,-93.64348799120656,-208.55382563602146,-2014.9232523904468,-2193.4344749363145,8664.867147006384,2271.766069939908,5006.578176167785,2129.5422958078307,21997.707743297116,17630.273607347368,846.7885461158934,-1683.5121904347882,-6962.981043008598,-10508.313340766272,2271.766069939908,54190.711092948084,47455.19975238164,286.37376772331965,19096.02116778342,40155.94421060027,274.52930112321525,-1002.353685519345,-12934.18624873211,-27572.087680787703,5006.578176167785,47455.19975238164,125737.20866232725
ih,9610.951329538899,127.54033448117949,4179.821216241131,1349.546749793685,-3533.3147073931996,-2197.6973821727,-2988.9126324882095,2342.4295745636105,1160.2162923673584,2287.1006297924955,127.54033448117949,100891.3817582862,41589.824916885234,1303.940199314266,-439.67059262166873,-17058.270526292814,-5797.1192401300095,-1501.1342974241857,17432.735830806527,15991.799897066747,4179.821216241131,41589.824916885234,90866.8284608751,1256.8922223733057,-1232.5223825158646,-9674.58232396441,-27336.28071390559,418.4470969394734,13822.562995259217,32005.22971930808,1349.546749793685,1303.940199314266,1256.8922223733057,1646.9438033228837,-226.68791141572015,-125.37508548573578,-64.38051072344935,286.932776046166,495.57681973995705,380.08808652556496,-3533.3147073931996,-439.67059262166873,-1232.5223825158646,-226.68791141572015,17426.431916196703,6712.241472760243,8132.842886393895,-2121.524915916903,-2513.4351722054084,-2027.9078482993843,-2197.6973821727,-17058.270526292814,-9674.58232396441,-125.37508548573578,6712.241472760243,51306.21959080116,27158.46881078547,-2238.158802588423,-616.0543593334642,-5036.5118463997715,-2988.9126324882095,-5797.1192401300095,-27336.28071390559,-64.38051072344935,8132.842886393895,27158.46881078547,68797.3886962604,-1733.5461160508085,-7376.078017299115,-14270.275834650678,2342.4295745636105,-1501.1342974241857,418.4470969394734,286.932776046166,-2121.524915916903,-2238.158802588423,-1733.5461160508085,14320.407341728062,4530.576312740042,8720.490658528866,1160.2162923673584,17432.735830806527,13822.562995259217,495.57681973995705,-2513.4351722054084,-616.0543593334642,-7376.078017299115,4530.576312740042,54965.54747983742,28142.2512576687,2287.1006297924955,15991.799897066747,32005.22971930808,380.08808652556496,-2027.9078482993843,-5036.5118463997715,-14270.275834650678,8720.490658528866,28142.2512576687,67121.40946882451
iy,6930.83617378489,-2535.046507783125,2487.9527364426244,240.72692931756285,-487.38282669016763,-3111.5275714544064,36.14759860154772,1497.4885658981161,-1243.6315008731892,648.9311456862835,-2535.046507783125,104678.68453307997,55942.57080794967,5944.71527793598,-145.56466475136378,-23544.607396195755,-11507.149332286946,-1019.8841609259314,28772.800948564163,7898.163084287723,2487.9527364426244,55942.57080794967,82347.0791138187,2794.6214113735477,694.9710904074703,-6975.311706448284,-14635.895805619362,863.1798367954992,8143.47762159193,20778.51701288325,240.72692931756285,5944.71527793598,2794.6214113735477,3938.270577234242,632.994654464567,-1684.2147879051377,-39.45327495603241,243.01899369764624,216.08818870441402,731.3086548783879,-487.38282669016763,-145.56466475136378,694.9710904074703,632.994654464567,10445.28531000703,-1182.5316684322543,4400.387407123361,478.67911314480904,-2269.5278839798802,-556.6938333856527,-3111.5275714544064,-23544.607396195755,-6975.311706448284,-1684.2147879051377,-1182.5316684322543,82446.85613936117,23460.893743083092,-2167.6077577423225,1824.7564804942763,5142.073324097592,36.14759860154772,-11507.149332286946,-14635.895805619362,-39.45327495603241,4400.387407123361,23460.893743083092,53943.40636958297,243.8910577559893,3924.964903109066,-1436.2543886616318,1497.4885658981161,-1019.8841609259314,863.1798367954992,243.01899369764624,478.67911314480904,-2167.6077577423225,243.8910577559893,8712.631673859772,349.8156015544657,3442.291181640354,-1243.6315008731892,28772.800948564163,8143.47762159193,216.08818870441402,-2269.5278839798802,1824.7564804942763,3924.964903109066,349.8156015544657,68534.29503318659,19103.00280083864,648.9311456862835,7898.163084287723,20778.51701288325,731.3086548783879,-556.6938333856527,5142.073324097592,-1436.2543886616318,3442.291181640354,19103.00280083864,41045.514052880986
uh,7534.541722296395,-2041.653516163628,1015.1806124012344,1324.5916933452254,-2957.704421086038,-2274.5890044649695,-1734.2455735516207,622.7788871500799,-119.8954361553109,1367.859592845105,-2041.653516163628,91794.2096128171,9865.103657335463,179.68798705377662,-833.5218282299898,2792.205893103373,-5484.240594016065,53.76350653330123,18194.575880080545,-1741.324770841997,1015.1806124012344,9865.103657335463,85718.06242202719,1097.0644553393595,-1628.665893759986,307.8642058263477,-31606.5386044781,2604.0458272231826,4386.983148679114,31795.835479218193,1324.5916933452254,179.68798705377662,1097.0644553393595,1449.7202392609327,-583.6595876137583,-139.01687335627832,-399.14150296986145,-47.996516460745475,-582.3047526633873,249.07774098453675,-2957.704421086038,-833.5218282299898,-1628.665893759986,-583.6595876137583,13835.953040729715,6792.708234684497,9743.09427192103,363.0142905841669,-344.3875017827048,-1159.4067525739238,-2274.5890044649695,2792.205893103373,307.8642058263477,-139.01687335627832,6792.708234684497,30377.477762864146,12841.17840572129,-691.0973114425792,5621.143240117972,-1838.063396424741,-1734.2455735516207,-5484.240594016065,-31606.5386044781,-399.14150296986145,9743.09427192103,12841.17840572129,64996.859500334875,-287.47985828098666,-3797.6816028562675,-20712.004720429424,622.7788871500799,53.76350653330123,2604.0458272231826,-47.996516460745475,363.0142905841669,-691.0973114425792,-287.47985828098666,2398.0036334238002,544.4489477500055,1865.3140311398804,-119.8954361553109,18194.575880080545,4386.983148679114,-582.3047526633873,-344.3875017827048,5621.143240117972,-3797.6816028562675,544.4489477500055,28125.288184566853,9911.612566650068,1367.859592845105,-1741.324770841997,31795.835479218193,249.07774098453675,-1159.4067525739238,-1838.063396424741,-20712.004720429424,1865.3140311398804,9911.612566650068,53557.974486683335
uw,8050.4648125021095,-8702.113686417795,3891.3645808721776,1762.715083234887,-2140.8279154171028,-956.5820174587369,-1819.5929253721267,1987.0377299422823,174.8569875029534,905.7740768133797,-8702.113686417795,201910.77625139232,10556.124464171195,-8018.263780154082,-1165.0450522876092,-30838.280043541363,16538.22419688966,-2227.3791326323962,24598.023687852296,7055.569341310291,3891.3645808721776,10556.124464171195,70817.62173439768,155.59187664334897,-1700.3653428376144,-13318.159960930907,-21511.267298410236,-98.63158963951801,-1358.12665073244,26157.05771481672,1762.715083234887,-8018.263780154082,155.59187664334897,5621.959594318641,-18.00368438646969,5508.888702289508,465.6036823368464,344.9178290016286,2948.647076267214,-687.7191904044242,-2140.8279154171028,-1165.0450522876092,-1700.3653428376144,-18.00368438646969,2672.1323763741857,1109.9875947031003,1165.8600169315573,-288.6169294496996,501.1758235032656,-1012.0691830792225,-956.5820174587369,-30838.280043541363,-13318.159960930907,5508.888702289508,1109.9875947031003,50529.043755948966,15633.987487279339,-414.30760988709625,6884.244492418234,-7463.883941541922,-1819.5929253721267,16538.22419688966,-21511.267298410236,465.6036823368464,1165.8600169315573,15633.987487279339,56277.71607634084,605.0899759720862,5138.661401572046,-19498.04988679878,1987.0377299422823,-2227.3791326323962,-98.63158963951801,344.9178290016286,-288.6169294496996,-414.30760988709625,605.0899759720862,17317.139813430316,6943.606412035474,7326.7273124557,174.8569875029534,24598.023687852296,-1358.12665073244,2948.647076267214,501.1758235032656,6884.244492418234,5138.661401572046,6943.606412035474,60516.47789296925,14439.641618875941,905.7740768133797,7055.569341310291,26157.05771481672,-687.7191904044242,-1012.0691830792225,-7463.883941541922,-19498.04988679878,7326.7273124557,14439.641618875941,52588.91952064165
