vowel,f1-f1,f1-f2,f1-f3,f1-duration,f1-df1_on,f1-df2_on,f1-df3_on,f1-df1_off,f1-df2_off,f1-df3_off,f2-f1,f2-f2,f2-f3,f2-duration,f2-df1_on,f2-df2_on,f2-df3_on,f2-df1_off,f2-df2_off,f2-df3_off,f3-f1,f3-f2,f3-f3,f3-duration,f3-df1_on,f3-df2_on,f3-df3_on,f3-df1_off,f3-df2_off,f3-df3_off,duration-f1,duration-f2,duration-f3,duration-duration,duration-df1_on,duration-df2_on,duration-df3_on,duration-df1_off,duration-df2_off,duration-df3_off,df1_on-f1,df1_on-f2,df1_on-f3,df1_on-duration,df1_on-df1_on,df1_on-df2_on,df1_on-df3_on,df1_on-df1_off,df1_on-df2_off,df1_on-df3_off,df2_on-f1,df2_on-f2,df2_on-f3,df2_on-duration,df2_on-df1_on,df2_on-df2_on,df2_on-df3_on,df2_on-df1_off,df2_on-df2_off,df2_on-df3_off,df3_on-f1,df3_on-f2,df3_on-f3,df3_on-duration,df3_on-df1_on,df3_on-df2_on,df3_on-df3_on,df3_on-df1_off,df3_on-df2_off,df3_on-df3_off,df1_off-f1,df1_off-f2,df1_off-f3,df1_off-duration,df1_off-df1_on,df1_off-df2_on,df1_off-df3_on,df1_off-df1_off,df1_off-df2_off,df1_off-df3_off,df2_off-f1,df2_off-f2,df2_off-f3,df2_off-duration,df2_off-df1_on,df2_off-df2_on,df2_off-df3_on,df2_off-df1_off,df2_off-df2_off,df2_off-df3_off,df3_off-f1,df3_off-f2,df3_off-f3,df3_off-duration,df3_off-df1_on,df3_off-df2_on,df3_off-df3_on,df3_off-df1_off,df3_off-df2_off,df3_off-df3_off
a,0.9881043232714262,0.30320478264412937,0.07583370741462771,15.360510641316878,0.1938279322573862,0.116775771148707,-0.019178456213555215,-0.3429747447200692,-0.13309424618927967,-0.1048281556791306,0.30320478264412937,1.5773532557696834,0.41955854409063537,-9.935940200436205,-0.04952308819777859,0.27331092352158365,0.14715447226202893,-0.1299160564785272,-0.38769492854057674,-0.16879724462462525,0.07583370741462771,0.41955854409063537,0.6156284332760118,-6.952169160355838,-0.001969350199692018,0.12087947900382766,0.3049941523719212,-0.03495156330162959,-0.17877516118066744,-0.3266836328368169,15.360510641316878,-9.935940200436205,-6.952169160355838,3742.350867912131,8.21747457170892,0.48554160076560277,-3.246966646759356,-4.275664461948912,-0.7858914414933428,-0.1987325141889794,0.1938279322573862,-0.04952308819777859,-0.001969350199692018,8.21747457170892,0.7660109890611738,0.20022914244954862,0.09119779176514506,-0.06983098340489673,-0.05368013521704721,-0.03349898838172301,0.116775771148707,0.27331092352158365,0.12087947900382766,0.48554160076560277,0.20022914244954862,0.9625777935411259,0.32520077673730147,-0.07471863352012796,-0.14512625099166707,-0.05883601909592575,-0.019178456213555215,0.14715447226202893,0.3049941523719212,-3.246966646759356,0.09119779176514506,0.32520077673730147,0.6514727761942731,-0.02191013449041355,-0.1086373188165106,-0.19584395203117996,-0.3429747447200692,-0.1299160564785272,-0.03495156330162959,-4.275664461948912,-0.06983098340489673,-0.07471863352012796,-0.02191013449041355,0.5021797342178007,0.12219978594131044,0.08074153704067974,-0.13309424618927967,-0.38769492854057674,-0.17877516118066744,-0.7858914414933428,-0.05368013521704721,-0.14512625099166707,-0.1086373188165106,0.12219978594131044,0.8171015199864897,0.31210298945044684,-0.1048281556791306,-0.16879724462462525,-0.3266836328368169,-0.1987325141889794,-0.03349898838172301,-0.05883601909592575,-0.19584395203117996,0.08074153704067974,0.31210298945044684,0.6219568162127324
e,0.8309546102588617,0.16076285209330987,0.038817433094339236,3.1922301332935814,0.14233453472306115,0.06193390444270537,0.051382964620571576,-0.18404172075444247,-0.06450478431295385,-0.029785061482629827,0.16076285209330987,1.4514418167582952,0.3081371960353413,8.833357790229806,0.04265290667493269,0.5369836801987462,0.15674253524512308,-0.06165757923192639,-0.5220884384648989,-0.069461883229361407,0.038817433094339236,0.3081371960353413,0.469126337757611,-2.4114835805105272,0.025540670430849847,0.11316729016349797,0.2561687814534325,-0.022466005432213693,-0.16867182410213669,-0.2164775896618083,3.1922301332935814,8.833357790229806,-2.4114835805105272,3745.1511276441115,-2.235690921890447,0.6897092283032278,-1.3515456588876456,-4.980497318551531,-3.3009413931300036,-0.89657532850718,0.14233453472306115,0.04265290667493269,0.025540670430849847,-2.235690921890447,0.468782903781586,0.13695700654205212,0.06998928284286819,0.0030488984455265666,-0.035467542897048385,-0.022890511231342336,0.06193390444270537,0.5369836801987462,0.11316729016349797,0.6897092283032278,0.13695700654205212,1.2802616892217062,0.3539135497974848,-0.006151373057339658,-0.32442178348424894,-0.0221923420006874,0.051382964620571576,0.15674253524512308,0.2561687814534325,-1.3515456588876456,0.06998928284286819,0.3539135497974848,0.4897917632331438,-0.027741123357725328,-0.13568743731800792,-0.1427312776225249,-0.18404172075444247,-0.06165757923192639,-0.022466005432213693,-4.980497318551531,0.0030488984455265666,-0.006151373057339658,-0.027741123357725328,0.33299669860694786,0.11638681945714592,0.05093513953930914,-0.06450478431295385,-0.5220884384648989,-0.16867182410213669,-3.3009413931300036,-0.035467542897048385,-0.32442178348424894,-0.13568743731800792,0.11638681945714592,1.2267565509907272,0.26014251493657736,-0.029785061482629827,-0.069461883229361407,-0.2164775896618083,-0.89657532850718,-0.022890511231342336,-0.0221923420006874,-0.1427312776225249,0.05093513953930914,0.26014251493657736,0.3944998345260136
i,0.9773501102811959,0.261318041058531,0.06826180297788144,0.5804735599614054,0.14626319863666346,-0.046919439351433744,0.016847298787937434,-0.215627190772455,-0.02765981312387137,-0.02721228691416254,0.261318041058531,3.7856184177012673,0.7596282333785241,4.155185604711032,0.1541061496691014,1.2624655817427477,0.20676081981380282,-0.05066755843439223,-1.386785390058029,-0.24162906869381115,0.06826180297788144,0.7596282333785241,0.39343885086302655,4.826001563490119,0.0454767372575679,0.21019657512857812,0.11606752661535352,-0.04939875240632297,-0.2746925245675446,-0.14745539475826627,0.5804735599614054,4.155185604711032,4.826001563490119,3641.4522311473343,3.2139318075537164,-4.683888143751379,-0.8945597825142203,-9.2603937394291,-8.973217597591399,-2.699950523849644,0.14626319863666346,0.1541061496691014,0.0454767372575679,3.2139318075537164,0.6096113885911736,0.14979163646296054,0.044047003254340085,-0.10875427827280133,0.009448540268119697,-0.04475903451028309,-0.046919439351433744,1.2624655817427477,0.21019657512857812,-4.683888143751379,0.14979163646296054,2.3219916487578516,0.3971606731338913,-0.04900766713022283,-0.8435166449169041,-0.19562200430071294,0.016847298787937434,0.20676081981380282,0.11606752661535352,-0.8945597825142203,0.044047003254340085,0.3971606731338913,0.30255897885730204,0.0026680980176901257,-0.16783841946949996,-0.07236061487868316,-0.215627190772455,-0.05066755843439223,-0.04939875240632297,-9.2603937394291,-0.10875427827280133,-0.04900766713022283,0.0026680980176901257,0.4878331678805007,0.19253764225270673,0.049537202390851076,-0.02765981312387137,-1.386785390058029,-0.2746925245675446,-8.973217597591399,0.009448540268119697,-0.8435166449169041,-0.16783841946949996,0.19253764225270673,2.797624238726543,0.40628205189234773,-0.02721228691416254,-0.24162906869381115,-0.14745539475826627,-2.699950523849644,-0.04475903451028309,-0.19562200430071294,-0.07236061487868316,0.049537202390851076,0.40628205189234773,0.2820471624791342
o,1.1304731683385643,0.41237644281754726,0.13608565030437045,-6.02937996484556,0.36564573010678186,0.33176719486752315,0.08487768784040108,-0.5242531485608444,-0.21746323380755145,-0.18162669401280615,0.41237644281754726,2.4143462512647718,0.309039316115364,-44.91113721974419,0.281910090270169,1.097731562271318,0.26718266445283506,-0.16323700475358058,-0.9499408034276735,-0.17621057269095972,0.13608565030437045,0.309039316115364,0.5151643726735962,-4.226701739751619,0.0513756818021109,0.13805255750725035,0.31465629840199255,-0.10471578922264384,-0.2088821643050516,-0.2962511617123899,-6.02937996484556,-44.91113721974419,-4.226701739751619,5251.962205939056,-9.174153435866762,-19.913221721889172,-6.6067598468753355,2.1893441014136967,12.902810621221994,2.3757537749124342,0.36564573010678186,0.281910090270169,0.0513756818021109,-9.174153435866762,1.5684101453527732,1.0726159531350468,0.265511221317277,-0.27446087170715283,-0.14519251208627038,-0.03491490650388164,0.33176719486752315,1.097731562271318,0.13805255750725035,-19.913221721889172,1.0726159531350468,3.394104273764361,0.8271306844747117,-0.23250436524506507,-0.4546784243781611,-0.13023342213407058,0.08487768784040108,0.26718266445283506,0.31465629840199255,-6.6067598468753355,0.265511221317277,0.8271306844747117,0.7231437064667258,-0.07559417928905557,-0.17327223043985363,-0.21193723339270235,-0.5242531485608444,-0.16323700475358058,-0.10471578922264384,2.1893441014136967,-0.27446087170715283,-0.23250436524506507,-0.07559417928905557,0.8008234331889467,0.42567424387419484,0.13688934507372927,-0.21746323380755145,-0.9499408034276735,-0.2088821643050516,12.902810621221994,-0.14519251208627038,-0.4546784243781611,-0.17327223043985363,0.42567424387419484,1.692194567051945,0.30221168151810673,-0.18162669401280615,-0.17621057269095972,-0.2962511617123899,2.3757537749124342,-0.03491490650388164,-0.13023342213407058,-0.21193723339270235,0.13688934507372927,0.30221168151810673,0.5625990063117295
u,0.5747522972685458,0.2084709863957052,0.018971241070666677,7.12045968584433,0.03753867688704855,0.09105942337230578,0.00994671572303132,-0.19625082780801226,-0.23137093319805918,-0.09240923483017931,0.2084709863957052,3.5194533792206775,0.5391852229635913,-14.160266987706146,0.21999012135652266,1.268863285710901,0.23558358037933122,-0.056344275015352635,-0.9668659979906027,-0.3420629770659253,0.018971241070666677,0.5391852229635913,0.5442168047227534,4.656902026296635,0.04966779139184708,0.325118738433107,0.21554162780375757,-0.023453351692013482,-0.20292653526470503,-0.18768088963415494,7.12045968584433,-14.160266987706146,4.656902026296635,5395.559187992158,-0.12259365011756353,4.457744911269212,1.9578773676005932,-4.404298104212747,-20.369645779272986,-4.769963866266504,0.03753867688704855,0.21999012135652266,0.04966779139184708,-0.12259365011756353,0.3670893856743391,0.2160773251396205,0.06606869904927401,-0.02598216579786073,-0.01875754370398636,-0.00636951865467079,0.09105942337230578,1.268863285710901,0.325118738433107,4.457744911269212,0.2160773251396205,3.186018163756468,0.8292279051870647,-0.16948664686124484,-0.9080622637506832,-0.18074943255830947,0.00994671572303132,0.23558358037933122,0.21554162780375757,1.9578773676005932,0.06606869904927401,0.8292279051870647,0.5520631034983234,-0.03921062997119164,-0.2679601280980826,-0.12082556380245371,-0.19625082780801226,-0.056344275015352635,-0.023453351692013482,-4.404298104212747,-0.02598216579786073,-0.16948664686124484,-0.03921062997119164,0.6026768506428765,0.42235334430955057,0.08858696029842322,-0.23137093319805918,-0.9668659979906027,-0.20292653526470503,-20.369645779272986,-0.01875754370398636,-0.9080622637506832,-0.2679601280980826,0.42235334430955057,2.1847998157190656,0.4503288513144041,-0.09240923483017931,-0.3420629770659253,-0.18768088963415494,-4.769963866266504,-0.00636951865467079,-0.18074943255830947,-0.12082556380245371,0.08858696029842322,0.4503288513144041,0.33429402276577536
