vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
a,7.16710275727651,12.0171423170698,15.061095700268456,104.18415704697986,0.49506623600536914,0.02588284682416107,-0.20924969150604028,-0.17248865112348993,-0.004664820539597315,0.0560352362442953
e,5.580256352084489,13.050618591186634,15.355123258221942,89.18851197982346,0.21378224360907944,0.18562050458764187,-0.06649361590542245,-0.03859163710214376,-0.07144691074401009,-0.009465556316519547
i,5.027154331980916,13.839170134019083,15.782720630534351,84.25220992366413,0.05776652678244275,0.33677318085114505,0.07804091148091603,-0.06645344776335878,-0.045516154599236636,-0.051326775961832063
o,5.856507026516065,9.935139758064256,15.309621856164659,116.21197590361446,0.17536824881325302,-0.7092408871004016,-0.24087926646385543,-0.0369060952188755,0.12272882657831324,-0.04201355502008032
u,4.8590591312960525,9.993294625710526,15.454924216447369,89.00435526315789,0.13171549240789474,-0.5271964723881579,-0.010824578085526315,0.06960436075657894,0.10374690792763158,-0.031374353480263156
