vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
aa,6.810781509586564,11.414560822533591,15.26151669497416,124.35051873385012,0.09011611548772609,-0.15142789125064599,15.634247392235142,NA,NA,NA
ae,6.801045037504632,12.739846922175037,15.524197557820575,135.60341979522184,0.22297335662603607,0.21714950415602147,15.88400034050707,NA,NA,NA
ah,5.589832119728499,12.107392345444953,15.584838528491948,70.20850739625605,NA,NA,NA,NA,NA,NA
ao,6.577687386589965,10.507387419382352,15.346549868200691,134.27760899653978,-0.011299721264705883,-0.0738871496349481,15.732601933044982,NA,NA,NA
eh,6.1976407307506545,12.639574229357255,15.397389709135673,115.75714353064431,0.07109691283446831,0.18926751868831848,15.758170879292823,NA,NA,NA
ih,5.389871015482302,13.107982712777705,15.598421396513396,79.50630201786305,0.07251303855474694,0.0955983583681773,15.951615805858419,NA,NA,NA
iy,4.717640558414715,13.771078793375183,15.807374876420205,128.52523169838946,NA,NA,NA,NA,NA,NA
uh,5.299501847228774,11.852703935819575,15.25289668870283,60.53543867924528,NA,NA,NA,NA,NA,NA
uw,4.683052895875862,11.791521628469733,15.447576046068965,119.07132260536399,NA,NA,NA,NA,NA,NA
