vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
a,6.539486995071208,12.035457291724459,15.38217192735294,82.77695665634675,0.7447241203993809,0.03197911150154799,-0.05908085845356037,-0.06975832092260062,-0.050523710267801857,-0.009074911184210527
e,5.139182563558045,13.16487799947556,15.523491753686354,68.92683604887984,0.3320485095549898,0.2180365505407332,0.014359803469450101,-0.07694629454989817,-0.0424759363604888,-0.025639256496945012
i,3.948013624318777,14.3987880949738,15.692177966113537,87.01794323144105,0.13899377552401748,0.5963133182532752,0.12213104690829694,-0.030334458196506552,-0.09252635141921398,0.01398273741048035
o,5.01326790958363,9.936489231464414,15.419283467740213,80.17945017793595,0.4899440993896797,-0.27947717040391457,0.02161700262099644,0.001519351743772241,0.06579442075978648,-0.03247737944128114
u,3.7237097257619047,9.811069259171429,15.200592359047619,63.99608571428571,0.3181369462952381,-0.30294950143809524,0.0142211494,0.1404996034952381,-0.2314199477904762,-0.026914942285714283
