,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2,learned_cats
38,HS10,a,608,1752,2822,74.46,67.0,-82.0,-63,171.0,114.0,-116.0,sp,ads,0.6175017633389135,-0.0570268152251574,4
39,HS10,e,533,2145,2909,227.135,22.0,34.0,-8,90.0,374.0,28.0,sp,ads,0.0762308176659044,0.7481879170518375,2
40,HS10,e,571,1566,2576,50.0,-45.0,444.0,321,-30.0,210.0,598.0,sp,ads,0.3504747634735623,-0.4381208106539642,3
41,HS10,a,842,1785,2672,68.889,-63.0,73.0,8,12.0,171.0,2.0,sp,ads,2.3062671138387016,0.0105866355767276,2
42,HS10,a,698,1201,2423,80.0,-133.0,159.0,-552,313.0,-563.0,-933.0,sp,ads,1.2670268981465242,-1.185966554371784,3
43,HS10,e,406,1351,2825,30.0,29.0,100.0,21,16.0,52.0,-56.0,sp,ads,-0.8403213170070575,-0.8786326870904881,3
44,HS10,u,385,1174,3045,40.0,-47.0,-196.0,-439,-24.0,-168.0,303.0,sp,ads,-0.9918771817955,-1.2412866504824172,3
45,HS10,a,493,1179,2778,39.903,-11.0,98.0,-336,55.0,66.0,78.0,sp,ads,-0.212447020026367,-1.2310421882397071,3
46,HS10,a,541,1228,2127,47.094,22.0,76.0,201,94.0,-74.0,-101.0,sp,ads,0.1339663852043587,-1.1306464582611506,3
47,HS10,a,492,1298,2747,40.0,31.0,121.0,-761,46.0,-132.0,-187.0,sp,ads,-0.2196639659686738,-0.9872239868632128,3
48,HS10,u,214,1047,2772,35.989,1.0,-48.0,244,-2.0,-14.0,174.0,sp,ads,-2.2259749379299603,-1.5014959914472474,3
49,HS10,e,551,2502,3118,100.0,-118.0,6.0,48,12.0,-99.0,-25.0,sp,ads,0.2061358446274266,1.4796425211813211,2
50,HS10,e,452,2341,3101,110.0,2.0,-117.0,-43,22.0,304.0,122.0,sp,ads,-0.5083418036609453,1.149770836966064,2
51,HS10,e,605,2032,3272,35.463,6.0,99.0,-70,59.0,38.0,-105.0,sp,ads,0.595850925511993,0.5166630703665946,2
52,HS10,e,596,1849,3447,46.039,-21.0,110.0,44,26.0,0.3,184.0,sp,ads,0.530898412031232,0.1417157522834138,2
53,HS10,u,282,869,2739,70.842,-27.0,-141.0,-115,15.0,73.0,14.0,sp,ads,-1.735222613853099,-1.8661988472877185,3
54,HS10,o,507,1073,3045,233.363,-36.0,0.8,-45,-27.0,-91.0,203.0,sp,ads,-0.111409776834072,-1.4482247877851562,3
55,HS10,o,604,1034,2788,60.0,-2.0,-146.0,63,46.0,-567.0,-342.0,sp,ads,0.5886339795696863,-1.528131593278293,3
56,HS10,a,675,1612,1655,65.773,-2.0,14.0,1441,84.0,-62.0,-1590.0,sp,ads,1.101037141473468,-0.3438717580210335,2
57,HS10,e,375,1808,3194,40.0,-119.0,-213.0,-388,-6.0,109.0,-158.0,sp,ads,-1.0640466412185678,0.0577111618931929,1
58,HS10,e,427,2105,2973,50.0,-36.0,130.0,-48,138.0,72.0,-17.0,sp,ads,-0.688765452218615,0.6662322191101586,0
59,HS10,i,397,2044,2618,50.0,-14.0,328.0,243,-4.0,-266.0,-84.0,sp,ads,-0.9052738304878184,0.5412497797490984,1
60,HS10,e,474,2157,2888,60.0,-47.0,24.0,-58,132.0,192.0,-212.0,sp,ads,-0.3495689929301959,0.7727746264343411,2
61,HS10,e,390,1704,2951,40.0,52.0,142.0,-57,29.0,582.0,146.0,sp,ads,-0.955792452083966,-0.155373652755172,1
62,HS10,u,382,1094,2982,60.0,-44.0,-134.0,-89,-45.0,-126.0,36.0,sp,ads,-1.0135280196224203,-1.405198046365775,3
63,HS10,o,488,897,2800,50.0,38.0,251.0,47,193.0,-18.0,289.0,sp,ads,-0.2485317497379009,-1.8088298587285436,3
64,HS10,a,555,1290,2760,55.873,-31.0,-148.0,-146,34.0,-81.0,-120.0,sp,ads,0.2350036283966537,-1.0036151264515485,3
65,HS10,a,542,1487,2721,49.147,-9.0,-225.0,234,4.0,-160.0,-289.0,sp,ads,0.1411833311466655,-0.5999833140887799,1
66,HS10,u,210,839,2651,40.0,31.0,32.0,-157,14.0,-225.0,61.0,sp,ads,-2.2548427216991875,-1.9276656207439775,3
67,HS10,e,565,2384,3254,80.0,7.0,-84.0,-95,28.0,118.0,238.0,sp,ads,0.3071730878197216,1.2378732122533689,2
68,HS10,e,542,2305,2917,139.79,8.0,404.0,-96,319.0,378.0,-543.0,sp,ads,0.1411833311466655,1.0760107088185529,2
69,HS10,a,633,1816,3019,70.0,19.0,60.0,-106,64.0,-78.0,16.0,sp,ads,0.7979254118965831,0.0741023014815287,2
70,HS10,i,359,2251,2785,80.0,22.0,134.0,69,44.0,555.0,118.0,sp,ads,-1.1795177762954765,0.9653705165972865,2
71,HS10,e,575,2312,3037,40.356,-18.0,71.0,16,-21.0,139.0,-4.0,sp,ads,0.3793425472427895,1.0903529559583467,2
72,HS10,a,438,1478,2978,50.0,36.0,152.0,-35,33.0,-103.0,22.0,sp,ads,-0.6093790468532403,-0.6184233461256577,1
73,HS10,e,556,2095,2861,190.0,-55.0,-76.0,-12,12.0,283.0,31.0,sp,ads,0.2422205743389605,0.6457432946247389,2
74,HS10,u,339,903,2678,100.0,204.0,624.0,885,72.0,82.0,-354.0,sp,ads,-1.3238566951416122,-1.7965365040372914,3
75,HS10,a,657,1778,3252,80.0,31.0,-39.0,-77,171.0,5.0,58.0,sp,ads,0.971132114511946,-0.0037556115630661,2
76,HS10,u,399,1763,2893,39.849,-14.0,-263.0,-246,-27.0,61.0,30.0,sp,ads,-0.890839938603205,-0.0344889982911957,1
77,HS10,a,752,1677,2766,130.0,13.0,-1.0,52,189.0,-214.0,-153.0,sp,ads,1.6567419790310909,-0.2106937488658053,4
78,HS10,o,495,948,2584,38.865,19.0,144.0,610,-0.4,43.0,-167.0,sp,ads,-0.1980131281417534,-1.704336343852903,3
79,HS10,o,586,1754,3123,40.0,-129.0,-414.0,-399,121.0,49.0,-69.0,sp,ads,0.4587289526081641,-0.0529290303280734,2
80,HS10,a,673,1912,3197,60.0,49.0,-48.0,-101,112.0,27.0,23.0,sp,ads,1.0866032495888545,0.270795976541558,2
81,HS10,i,445,2663,3143,50.0,-87.0,44.0,-290,-27.0,275.0,74.0,sp,ads,-0.5588604252570928,1.809514205396579,2
82,HS10,o,458,1378,1762,30.0,-30.0,65.0,293,-4.0,49.0,261.0,sp,ads,-0.4650401280071045,-0.8233125909798549,3
83,HS10,a,422,1053,2179,30.0,59.0,200.0,1286,-13.0,-159.0,-375.0,sp,ads,-0.7248501819301488,-1.4892026367559956,3
84,HS10,e,595,2361,2993,107.967,7.0,-121.0,546,52.0,-66.0,-100.0,sp,ads,0.5236814660889252,1.1907486859369034,2
85,HS10,i,387,2706,3092,91.67,5.0,11.0,248,186.0,214.0,97.0,sp,ads,-0.9774432899108864,1.897616580683884,2
86,HS10,a,756,1536,3522,582.25,23.0,54.0,-612,361.0,384.0,672.0,sp,ads,1.685609762800318,-0.4995875841102233,2
87,HS10,o,337,1499,3326,70.0,196.0,20.0,265,124.0,55.0,293.0,sp,ads,-1.3382905870262256,-0.5753966047062763,1
88,HS10,e,561,1964,2940,30.0,-285.0,-72.0,-93,-20.0,-31.0,-145.0,sp,ads,0.2783053040504945,0.3773383838657406,2
89,HS10,e,372,1948,3333,30.0,15.0,-30.0,214,123.0,1175.0,613.0,sp,ads,-1.085697479045488,0.344556104689069,1
90,HS10,o,627,1422,3259,60.0,-153.0,-173.0,-537,143.0,-274.0,343.0,sp,ads,0.7546237362427424,-0.7331613232440081,2
91,HS10,o,285,1502,2170,30.0,78.0,45.0,578,47.0,-52.0,-266.0,sp,ads,-1.7135717760261786,-0.5692499273606504,1
92,HS10,u,298,922,2900,90.0,24.0,-4.0,-301,75.0,4.0,138.0,sp,ads,-1.6197514787761904,-1.757607547514994,3
93,HS10,a,733,1680,2847,140.0,-93.0,-34.0,-57,83.0,-101.0,-107.0,sp,ads,1.5196200061272618,-0.2045470715201794,4
94,HS10,e,577,2079,3087,70.664,-85.0,215.0,-96,90.0,148.0,-131.0,sp,ads,0.393776439127403,0.6129610154480674,2
95,HS10,a,740,1589,3229,80.0,-33.0,-150.0,72,142.0,-88.0,-116.0,sp,ads,1.5701386277234093,-0.3909962843374988,2
96,HS10,e,478,964,2175,30.034,46.0,1140.0,702,69.0,-530.0,7.0,sp,ads,-0.3207012091609688,-1.6715540646762312,3
97,HS10,i,386,2744,3788,102.749,4.0,-146.0,-596,6.0,195.0,-84.0,sp,ads,-0.9846602358531932,1.9754744937284785,2
98,HS10,o,517,1164,2539,91.406,-12.0,43.0,44,-12.0,-306.0,-511.0,sp,ads,-0.0392403174110041,-1.2617755749678368,3
99,HS10,o,415,1334,3035,40.0,30.0,109.0,-17,135.0,148.0,126.0,sp,ads,-0.7753688035262963,-0.9134638587157016,1
100,HS10,a,545,1286,2635,52.47,-60.0,-135.0,-244,-29.0,182.0,1143.0,sp,ads,0.1628341689735858,-1.0118106962457163,3
101,HS10,a,548,1396,2972,40.0,18.0,45.0,16,-0.6,-358.0,-118.0,sp,ads,0.1844850068005062,-0.7864325269060994,3
102,HS10,u,236,876,2513,38.808,12.0,-20.0,46,33.0,-193.0,19.0,sp,ads,-2.067202127199211,-1.8518566001479249,3
103,HS10,e,513,2276,3064,54.859,-241.0,-34.0,-155,0.9,89.0,19.0,sp,ads,-0.0681081011802312,1.0165928278108358,2
