,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2,learned_cats
0,JoseAntonio,e,527,2259,2845,30.0,0.6,71.0,-108.0,5.0,269.0,74.0,sp,ids,-0.5389840020419532,1.5409345432976431,2
1,JoseAntonio,e,521,1997,3081,40.0,0.6,-40.0,-247.0,44.0,73.0,25.0,sp,ids,-0.5665936521065863,1.0044415770520132,2
2,JoseAntonio,o,617,948,3269,70.0,-53.0,-24.0,-477.0,208.0,-123.0,382.0,sp,ids,-0.1248392510724563,-1.143577971007781,2
3,JoseAntonio,e,378,929,2573,80.0,373.0,-139.0,-128.0,-221.0,-69.0,-223.0,sp,ids,-1.2246236453136758,-1.1824839494759756,2
4,JoseAntonio,i,420,1020,2715,170.0,-44.0,-88.0,-133.0,-112.0,-199.0,49.0,sp,ids,-1.031356094861244,-0.9961447894440963,0
5,JoseAntonio,e,560,884,2288,40.0,-7.0,46.0,83.0,10.0,-19.0,56.0,sp,ids,-0.387130926686471,-1.2746296879532784,2
6,JoseAntonio,e,411,652,2068,50.0,99.0,1459.0,1140.0,-85.0,-1380.0,-1368.0,sp,ids,-1.0727705699581935,-1.7496921618807066,2
7,JoseAntonio,o,600,982,2834,80.0,-54.0,-29.0,495.0,-105.0,-13.0,-79.0,sp,ids,-0.2030665929222501,-1.0739567463804855,2
8,JoseAntonio,e,358,928,2347,90.0,-99.0,-131.0,269.0,-180.0,25.0,-82.0,sp,ids,-1.316655812195786,-1.184531632553249,2
9,JoseAntonio,e,494,2322,2972,30.0,-15.0,61.0,123.0,10.0,94.0,251.0,sp,ids,-0.6908370773974354,1.6699385771658672,1
10,JoseAntonio,e,454,583,2267,90.0,131.0,1567.0,1056.0,-42.0,-1639.0,-1213.0,sp,ids,-0.8749014111616562,-1.8909822942125711,2
11,JoseAntonio,a,877,1569,1579,120.0,99.0,270.0,977.0,49.0,175.0,-1268.0,sp,ids,1.071578918394979,0.1280332199789989,0
12,JoseAntonio,e,583,1136,2527,130.0,112.0,1135.0,477.0,-81.0,-126.0,-67.0,sp,ids,-0.281293934772044,-0.7586135524803822,0
13,JoseAntonio,e,574,2492,3071,50.0,-106.0,-201.0,116.0,-16.0,185.0,-92.0,sp,ids,-0.3227084098689937,2.0180447003023447,2
14,JoseAntonio,e,587,2033,2980,40.0,2.0,7.0,227.0,88.0,-15.0,-249.0,sp,ids,-0.2628875013956219,1.0781581678338554,2
15,JoseAntonio,o,576,965,2856,50.0,30.0,229.0,19.0,64.0,-61.0,104.0,sp,ids,-0.3135051931807827,-1.1087673586941331,2
16,JoseAntonio,e,655,951,2551,90.0,11.0,-42.0,-40.0,154.0,-79.0,-132.0,sp,ids,0.0500218660035534,-1.1374349217759607,2
17,JoseAntonio,e,385,1838,2893,30.0,201.0,-277.0,-599.0,133.0,-32.0,147.0,sp,ids,-1.192412386904937,0.6788599677655429,2
18,JoseAntonio,e,558,1950,2700,30.0,322.0,-695.0,-136.0,-24.0,-132.0,-181.0,sp,ids,-0.396334143374682,0.9082004724201634,2
19,JoseAntonio,o,298,1082,3060,90.0,45.0,-28.0,-221.0,71.0,-180.0,197.0,sp,ids,-1.5927523128421175,-0.8691884386531457,2
20,JoseAntonio,e,844,2512,3189,100.0,-14.0,-4.0,100.0,-60.0,222.0,-8.0,sp,ids,0.9197258430394968,2.058998361847813,2
21,JoseAntonio,e,373,510,2920,90.0,253.0,1232.0,-114.0,-65.0,-2341.0,-709.0,sp,ids,-1.2476316870342032,-2.040463158853529,0
22,JoseAntonio,e,547,812,2783,50.0,0.7,1362.0,-66.0,53.0,186.0,273.0,sp,ids,-0.4469518351598427,-1.422062869516963,2
23,JoseAntonio,e,797,2235,2920,30.0,-11.0,-2.0,440.0,167.0,359.0,418.0,sp,ids,0.7034502508665373,1.491790149443082,1
