vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off
a,801.4556962025316,1741.1173762945914,2732.621403912543,122.1958757192175,-16.985926352128885,9.296892980437285,30.402186421173763,53.67154200230149,-10.08860759493671,-116.27686996547756
e,585.2529274004684,2036.6744730679156,2890.692037470726,95.72953278688524,-1.5253635831381733,-11.680327868852459,0.7308782201405152,15.013981264637003,39.386416861826696,-31.854449648711945
i,512.8054711246201,2353.6990881458964,3154.145896656535,97.49362310030395,5.74434650455927,3.2857142857142856,-28.401823708206688,-33.40881458966565,76.73252279635258,44.37689969604863
o,622.6689075630252,1306.0974789915967,2881.6806722689075,142.61394285714286,1.1947899159663866,23.057142857142857,-26.20890756302521,-4.218991596638656,-214.87899159663866,-137.54302521008404
u,498.05405405405406,1386.2216216216216,2970.881081081081,114.17047027027027,14.660540540540541,13.962162162162162,-22.16291891891892,0.42486486486486486,-111.07567567567567,-30.410810810810812
