vowel,f1-f1,f1-f2,f1-f3,f1-duration,f1-df1_on,f1-df2_on,f1-df3_on,f1-df1_off,f1-df2_off,f1-df3_off,f2-f1,f2-f2,f2-f3,f2-duration,f2-df1_on,f2-df2_on,f2-df3_on,f2-df1_off,f2-df2_off,f2-df3_off,f3-f1,f3-f2,f3-f3,f3-duration,f3-df1_on,f3-df2_on,f3-df3_on,f3-df1_off,f3-df2_off,f3-df3_off,duration-f1,duration-f2,duration-f3,duration-duration,duration-df1_on,duration-df2_on,duration-df3_on,duration-df1_off,duration-df2_off,duration-df3_off,df1_on-f1,df1_on-f2,df1_on-f3,df1_on-duration,df1_on-df1_on,df1_on-df2_on,df1_on-df3_on,df1_on-df1_off,df1_on-df2_off,df1_on-df3_off,df2_on-f1,df2_on-f2,df2_on-f3,df2_on-duration,df2_on-df1_on,df2_on-df2_on,df2_on-df3_on,df2_on-df1_off,df2_on-df2_off,df2_on-df3_off,df3_on-f1,df3_on-f2,df3_on-f3,df3_on-duration,df3_on-df1_on,df3_on-df2_on,df3_on-df3_on,df3_on-df1_off,df3_on-df2_off,df3_on-df3_off,df1_off-f1,df1_off-f2,df1_off-f3,df1_off-duration,df1_off-df1_on,df1_off-df2_on,df1_off-df3_on,df1_off-df1_off,df1_off-df2_off,df1_off-df3_off,df2_off-f1,df2_off-f2,df2_off-f3,df2_off-duration,df2_off-df1_on,df2_off-df2_on,df2_off-df3_on,df2_off-df1_off,df2_off-df2_off,df2_off-df3_off,df3_off-f1,df3_off-f2,df3_off-f3,df3_off-duration,df3_off-df1_on,df3_off-df2_on,df3_off-df3_on,df3_off-df1_off,df3_off-df2_off,df3_off-df3_off
a,19684.903159382688,-2299.162495869488,-4875.777056383018,3162.4383238535534,-4575.016134605735,-3143.8581098777368,-4015.610113329009,2567.706631338041,1827.3748489609468,541.1200361955231,-2299.162495869488,46232.140648520974,27789.175205607706,-1514.3822514747458,-1131.3326882595552,-11520.84344472457,-12473.172482529464,1309.0358090907978,8388.71420489175,11456.891766206905,-4875.777056383018,27789.175205607706,106754.7351515745,-1615.9031591302671,90.01074131980565,-10692.752770349656,-48534.18526722882,4480.910129024955,13343.252493987811,56781.99925497803,3162.4383238535534,-1514.3822514747458,-1615.9031591302671,3663.9565952132293,-167.55360043728354,393.336932210803,-245.76293317137643,944.0078840682178,-41.702114654322024,-1263.046671953212,-4575.016134605735,-1131.3326882595552,90.01074131980565,-167.55360043728354,5753.05431115789,3832.075050447319,5486.825464514313,-339.54751205864716,-2433.3650149854975,-1455.7971178083199,-3143.8581098777368,-11520.84344472457,-10692.752770349656,393.336932210803,3832.075050447319,33595.905931659916,33698.98783610129,-1364.1732352984372,-4703.208263564908,-9970.626942136118,-4015.610113329009,-12473.172482529464,-48534.18526722882,-245.76293317137643,5486.825464514313,33698.98783610129,104278.25916055759,-2189.98989725734,-8491.728202370608,-37555.41787532585,2567.706631338041,1309.0358090907978,4480.910129024955,944.0078840682178,-339.54751205864716,-1364.1732352984372,-2189.98989725734,13808.834649645694,5825.518836193687,9568.618089849344,1827.3748489609468,8388.71420489175,13343.252493987811,-41.702114654322024,-2433.3650149854975,-4703.208263564908,-8491.728202370608,5825.518836193687,42502.464495415436,36950.06676471074,541.1200361955231,11456.891766206905,56781.99925497803,-1263.046671953212,-1455.7971178083199,-9970.626942136118,-37555.41787532585,9568.618089849344,36950.06676471074,110661.36920987896
e,10686.463358235213,3791.8492729905984,492.2249433366336,365.52154913634394,-1738.7818866699943,-3173.6023321250605,-649.7475538608822,473.0214855375451,3021.268652721069,1718.2086966198358,3791.8492729905984,97920.80019965142,44363.650966754765,6867.190212146007,-3195.9802694230566,-27646.03736931423,-14586.68018295926,1247.2310339652902,33346.66589222096,16874.424752931358,492.2249433366336,44363.650966754765,65387.0488540499,1735.6384955430274,-745.2119230131001,-14032.810921031314,-20809.16449804849,2164.412080302423,21417.223213553385,29655.86018655953,365.52154913634394,6867.190212146007,1735.6384955430274,3748.844829351748,-62.58728811175734,-337.5278816952043,-262.16944414587647,7.056733286327958,1339.3355706927578,1192.108928883343,-1738.7818866699943,-3195.9802694230566,-745.2119230131001,-62.58728811175734,3036.134895838185,2535.18892995192,1556.8416604870185,34.3449525947076,-2191.354517933694,-881.0619031839902,-3173.6023321250605,-27646.03736931423,-14032.810921031314,-337.5278816952043,2535.18892995192,52469.08014204872,23541.765891697283,-1538.953888759952,-15169.8788195345,-8181.138260451015,-649.7475538608822,-14586.68018295926,-20809.16449804849,-262.16944414587647,1556.8416604870185,23541.765891697283,42213.075146670155,-749.9027797124692,-10461.962263601254,-15795.354042818686,473.0214855375451,1247.2310339652902,2164.412080302423,7.056733286327958,34.3449525947076,-1538.953888759952,-749.9027797124692,8897.538669558966,7112.49354715018,4848.965593318632,3021.268652721069,33346.66589222096,21417.223213553385,1339.3355706927578,-2191.354517933694,-15169.8788195345,-10461.962263601254,7112.49354715018,70305.33949018453,34438.02768733584,1718.2086966198358,16874.424752931358,29655.86018655953,1192.108928883343,-881.0619031839902,-8181.138260451015,-15795.354042818686,4848.965593318632,34438.02768733584,56688.05432582663
i,4280.801758593126,-480.2314148681055,-1849.6994404476418,-900.5872054356514,-714.7612549960032,-2198.8917665867307,-1506.017585931255,351.9712629896083,2268.885931254996,-1631.0519584332535,-480.2314148681055,112959.0457182641,45519.897849462366,7823.447618898429,-867.9211518527114,-45472.9515007349,-15798.391119362574,-1712.7323934400868,31887.84483252108,12783.0786338671,-1849.6994404476418,45519.897849462366,61166.853665454735,5717.189305665145,-303.30088213300326,-15889.225246899256,-23318.480067558856,-1350.6643794641707,6145.789605734767,23906.967380933962,-900.5872054356514,7823.447618898429,5717.189305665145,6426.809919922204,-15.476068815915019,-164.33029304298495,-1407.1054693148708,-634.7020004937986,968.4713653232251,2325.4642384801837,-714.7612549960032,-867.9211518527114,-303.30088213300326,-15.476068815915019,1092.6631678296073,1033.5972249297336,210.76805471751632,404.7249391454578,-54.764332276114594,414.6011276140378,-2198.8917665867307,-45472.9515007349,-15889.225246899256,-164.33029304298495,1033.5972249297336,94898.35821020603,25408.494017689074,300.5700237229571,-5668.69125834816,-1174.6497189345298,-1506.017585931255,-15798.391119362574,-23318.480067558856,-1407.1054693148708,210.76805471751632,25408.494017689074,42734.36685490317,846.6019674582915,-2772.164870684098,-7233.204481576029,351.9712629896083,-1712.7323934400868,-1350.6643794641707,-634.7020004937986,404.7249391454578,300.5700237229571,846.6019674582915,3540.056200458988,4726.13584177819,345.87219514710813,2268.885931254996,31887.84483252108,6145.789605734767,968.4713653232251,-54.764332276114594,-5668.69125834816,-2772.164870684098,4726.13584177819,101767.31898068642,31545.79457208427,-1631.0519584332535,12783.0786338671,23906.967380933962,2325.4642384801837,414.6011276140378,-1174.6497189345298,-7233.204481576029,345.87219514710813,31545.79457208427,63138.676594208504
o,15235.520957204571,5815.9222255325485,8511.788742525165,621.0369198442255,-3745.126992828414,1054.6776838117937,-3431.599106211828,1149.6736341001467,4212.859911472409,5791.250975080335,5815.9222255325485,86737.10500521376,26573.387665723225,-6035.644241412186,-1206.7742869060032,-15813.378197527187,-13134.688008342024,805.6000566065842,21810.7615164606,7235.918961716074,8511.788742525165,26573.387665723225,125787.70718648251,1091.2813092166584,-2535.972174927114,-5706.5022289374565,-65726.10981677343,4312.486454427443,9675.816527420144,71036.80914472984,621.0369198442255,-6035.644241412186,1091.2813092166584,3231.295270360835,55.33766568908937,1051.6520105926668,-393.90972143601965,-187.00752811942712,-2630.100345783661,-323.3968504969037,-3745.126992828414,-1206.7742869060032,-2535.972174927114,55.33766568908937,5046.27707315188,4100.3176145219295,6729.24901713094,857.5200889532038,585.6430378583133,-1682.0165158434593,1054.6776838117937,-15813.378197527187,-5706.5022289374565,1051.6520105926668,4100.3176145219295,40974.021208827224,19576.22126619991,2829.5920344746864,3040.7953921389203,-3639.104991594135,-3431.599106211828,-13134.688008342024,-65726.10981677343,-393.90972143601965,6729.24901713094,19576.22126619991,138252.98519290928,-561.0539133025472,-4504.751431550722,-46186.5197527186,1149.6736341001467,805.6000566065842,4312.486454427443,-187.00752811942712,857.5200889532038,2829.5920344746864,-561.0539133025472,8270.440029452448,7025.0664820071925,7662.807531016578,4212.859911472409,21810.7615164606,9675.816527420144,-2630.100345783661,585.6430378583133,3040.7953921389203,-4504.751431550722,7025.0664820071925,53915.022306824714,28534.02490327935,5791.250975080335,7235.918961716074,71036.80914472984,-323.3968504969037,-1682.0165158434593,-3639.104991594135,-46186.5197527186,7662.807531016578,28534.02490327935,136731.17899608435
u,12127.177895815861,13746.52408908769,4776.648215450564,67.62329610474325,-3948.365539092349,3549.5749510763208,1277.4809896561364,4158.819285248346,11200.244464635169,1516.7368837946137,13746.52408908769,154534.11080048457,47967.512673562574,-1464.4017492777932,-4489.010236697419,-36782.014481409,-9397.467570589879,5233.8808405554,71613.74352809617,25049.62249557357,4776.648215450564,47967.512673562574,92183.83543006243,1568.799188798807,-3894.385516261299,-15893.806555772993,-40396.08065417948,5228.402618581679,7725.463642717361,37484.748299319726,67.62329610474325,-1464.4017492777932,1568.799188798807,1102.9236581577672,104.45359612338086,1551.2357334637966,288.29242186189543,-804.840744404063,-1278.4414454151524,285.54744539185543,-3948.365539092349,-4489.010236697419,-3894.385516261299,104.45359612338086,7559.552185024695,4556.632539138944,8078.533505731059,-505.3876232410773,1310.7897560805145,4713.025528841674,3549.5749510763208,-36782.014481409,-15893.806555772993,1551.2357334637966,4556.632539138944,93713.68232876713,40303.30048923679,31.335772994129158,5655.720636007828,-3784.419667318982,1277.4809896561364,-9397.467570589879,-40396.08065417948,288.29242186189543,8078.533505731059,40303.30048923679,97393.9787531451,60.122574783337996,4457.2401873078,-18509.933743360358,4158.819285248346,5233.8808405554,5228.402618581679,-804.840744404063,-505.3876232410773,31.335772994129158,60.122574783337996,13593.937523995899,15158.468182834778,6361.074750722207,11200.244464635169,71613.74352809617,7725.463642717361,-1278.4414454151524,1310.7897560805145,5655.720636007828,4457.2401873078,15158.468182834778,180346.71025719878,57615.84572267263,1516.7368837946137,25049.62249557357,37484.748299319726,285.54744539185543,4713.025528841674,-3784.419667318982,-18509.933743360358,6361.074750722207,57615.84572267263,104730.22206690896
