vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off
aa,809.9141156462586,1476.6360544217687,2728.2916666666665,112.1305586734694,-36.036989795918366,20.03392857142857,33.692687074829934,32.70170068027211,-17.22168367346939,35.53367346938776
ae,791.1488340192044,1842.8786008230452,2858.2229080932784,143.27073388203019,-50.94238683127572,73.76612482853224,20.879080932784635,33.68917009602195,66.64997942386832,21.003875171467765
ah,633.3998516320474,1593.589762611276,2880.5467359050444,89.74021884272997,-11.790155539070227,-8.3061078140455,-10.972675568743819,43.264310089020775,8.3115628090999,27.708958951533134
ao,667.6031042128603,1160.9955654101996,2682.1773835920176,123.6671241685144,-27.952549889135256,45.15964523281596,39.166075388026606,12.047671840354766,-36.19445676274945,85.76164079822617
eh,650.9702430846605,1880.6957250628668,2869.0834031852473,91.41579882648784,-31.66253562447611,5.640251466890192,22.662246856663874,32.91891869237217,54.14235917854149,62.096310142497906
ih,516.3742989514752,1980.7378688124847,2929.299683004145,68.56779273347964,-10.947934650085346,-9.983272372592051,-10.181548402828579,22.5911168007803,25.669202145818094,2.6733562545720555
iy,438.01280227596015,2382.0014224751067,2943.245614035088,101.7803703176861,13.962765291607397,-141.40293978188714,-8.232513039355144,12.60507728781413,64.80014224751066,30.052773826458036
uh,500.29672897196264,1617.677570093458,2828.9439252336447,67.64768457943926,-15.929859813084112,-59.5535046728972,-16.948504672897197,31.882009345794394,-38.36731308411215,-16.059182242990655
uw,429.98258345428155,1790.0653120464442,2804.3193033381713,119.39177213352686,-7.185400580551524,151.83933236574745,23.772278664731495,2.4965166908563137,168.27561683599419,-24.261262699564586
