vowel,n,mean_f1,mean_f2,mean_f3,mean_duration,mean_df1_on,mean_df2_on,mean_df3_on,mean_df1_off,mean_df2_off,mean_df3_off,sd_f1,sd_f2,sd_f3,sd_duration,sd_df1_on,sd_df2_on,sd_df3_on,sd_df1_off,sd_df2_off,sd_df3_off
aa,1176,809.9141156462586,1476.6360544217687,2728.2916666666665,112.1305586734694,-36.036989795918366,20.03392857142857,33.692687074829934,32.70170068027211,-17.22168367346939,35.53367346938776,128.81051339964873,206.65157485084418,440.6206869312573,60.181662847379876,135.23302398183435,195.76936446975972,431.18027349689663,112.54695434917569,184.56508315742585,441.1168628355738
ae,1458,791.1488340192044,1842.8786008230452,2858.2229080932784,143.27073388203019,-50.94238683127572,73.76612482853224,20.879080932784635,33.68917009602195,66.64997942386832,21.003875171467765,138.21824501610266,255.80697337419736,332.4208541375298,74.7390760300723,119.4895235253805,253.15813965635354,342.08874212598704,162.1291318961525,254.01339503763288,349.30995677614874
ah,4044,633.3998516320474,1593.589762611276,2880.5467359050444,89.74021884272997,-11.790155539070227,-8.3061078140455,-10.972675568743819,43.264310089020775,8.3115628090999,27.708958951533134,153.4248944240009,267.30589658440664,396.1790008119707,77.18594051510557,141.0474199641786,216.12120543532274,351.5853916188287,116.69002993409111,195.89869239986774,372.2563951787144
ao,451,667.6031042128603,1160.9955654101996,2682.1773835920176,123.6671241685144,-27.952549889135256,45.15964523281596,39.166075388026606,12.047671840354766,-36.19445676274945,85.76164079822617,156.2908112437559,261.0765745103694,411.01638737082175,72.92471037719575,123.110281947778,280.28228098568866,359.5315279358634,111.79358762226265,258.5578208969553,349.15463796746377
eh,2386,650.9702430846605,1880.6957250628668,2869.0834031852473,91.41579882648784,-31.66253562447611,5.640251466890192,22.662246856663874,32.91891869237217,54.14235917854149,62.096310142497906,110.19348504154527,254.6259451591182,373.08201019668144,47.76460979512203,120.92858871091663,243.12127967031626,336.1042033563417,93.08526815241166,232.78898404552584,354.59442841410697
ih,4101,516.3742989514752,1980.7378688124847,2929.299683004145,68.56779273347964,-10.947934650085346,-9.983272372592051,-10.181548402828579,22.5911168007803,25.669202145818094,2.6733562545720555,98.03545955183205,317.63403746809973,301.4412520888193,40.5825554065153,132.00921148236856,226.50876272409675,262.2925631737591,119.6679043926485,234.44732346486154,259.0779988127601
iy,2109,438.01280227596015,2382.0014224751067,2943.245614035088,101.7803703176861,13.962765291607397,-141.40293978188714,-8.232513039355144,12.60507728781413,64.80014224751066,30.052773826458036,83.2516436701696,323.54085450384775,286.96180776162305,62.75564179605083,102.20217859716607,287.13560583696545,232.25719874652532,93.34147884975775,261.7905556607927,202.59692508249228
uh,428,500.29672897196264,1617.677570093458,2828.9439252336447,67.64768457943926,-15.929859813084112,-59.5535046728972,-16.948504672897197,31.882009345794394,-38.36731308411215,-16.059182242990655,86.80173801426095,302.97559243743893,292.7764717698934,38.07519191364546,117.62632800835753,174.29135883016158,254.94481657867624,48.969415285704606,167.70595751065866,231.42595897323906
uw,689,429.98258345428155,1790.0653120464442,2804.3193033381713,119.39177213352686,-7.185400580551524,151.83933236574745,23.772278664731495,2.4965166908563137,168.27561683599419,-24.261262699564586,89.72438248604506,449.3448300040764,266.1158051194962,74.97972788906773,51.69267236634401,224.7866627626047,237.2292479361279,131.5946040437461,246.00097132525565,229.3227409583307
